Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,187.032656,[537  61] ; [55 87],[478.4 119.6] ; [113.6  28.4],1
a5,1,1e-06,23.201603,[467 131] ; [83 59],[444.45945946 153.54054054] ; [105.54054054  36.45945946],1
p4,1,6e-06,20.414279,[382 212] ; [62 80],[358.33695652 235.66304348] ; [85.66304348 56.33695652],1
s7,1,6e-06,20.350896,[315 253] ; [47 91],[291.2407932 276.7592068] ; [70.7592068 67.2407932],1
a4,1,2e-05,18.227404,[298 296] ; [43 99],[275.20923913 318.79076087] ; [65.79076087 76.20923913],1
p6,1,3.6e-05,17.088745,[249 340] ; [ 33 108],[227.53150685 361.46849315] ; [54.46849315 86.53150685],1
p3,1,4.5e-05,16.639261,[327 268] ; [51 91],[305.16960651 289.83039349] ; [72.83039349 69.16960651],1
s4,1,5.8e-05,16.156157,[ 86 502] ; [ 41 101],[102.29589041 485.70410959] ; [ 24.70410959 117.29589041],1
s8,1,5.9e-05,16.132765,[292 301] ; [43 98],[270.64713896 322.35286104] ; [64.35286104 76.64713896],1
r1,1,0.000174,14.088253,[505  92] ; [101  41],[489.55615697 107.44384303] ; [116.44384303  25.55615697],1
d1,1,0.000206,13.779645,[380 219] ; [66 76],[360.5317139 238.4682861] ; [85.4682861 56.5317139],1
v3,1,0.000212,13.719448,[261 321] ; [37 98],[241.89121339 340.10878661] ; [56.10878661 78.89121339],1
r4,1,0.000248,13.427678,[572  27] ; [124  18],[562.62348178  36.37651822] ; [133.37651822   8.62348178],1
u1,1,0.000309,13.013372,[130 469] ; [ 12 130],[114.78812416 484.21187584] ; [ 27.21187584 114.78812416],1
a2,1,0.000443,12.340479,[165 434] ; [ 19 123],[148.73954116 450.26045884] ; [ 35.26045884 106.73954116],1
p10,1,0.000453,12.301145,[509  85] ; [102  37],[495.13506139  98.86493861] ; [115.86493861  23.13506139],1
p5,1,0.000673,11.561396,[ 82 510] ; [  5 136],[ 70.26466576 521.73533424] ; [ 16.73533424 124.26466576],1
d2,1,0.000724,11.426265,[316 279] ; [53 89],[297.9036635 297.0963365] ; [71.0963365 70.9036635],1
v1,1,0.000767,11.320101,[338 246] ; [58 80],[320.31024931 263.68975069] ; [75.68975069 62.31024931],1
a3,1,0.001391,10.217258,[443 152] ; [86 55],[427.65625 167.34375] ; [101.34375  39.65625],0
p11,1,0.001567,9.998321,[496 103] ; [101  41],[482.5951417 116.4048583] ; [114.4048583  27.5951417],0
a8,1,0.002029,9.523161,[ 84 456] ; [  7 125],[ 73.125 466.875] ; [ 17.875 114.125],0
p8,1,0.002723,8.98435,[329 256] ; [60 82],[313.01925722 271.98074278] ; [75.98074278 66.01925722],0
d5,1,0.002794,8.937341,[498 100] ; [102  39],[485.52097429 112.47902571] ; [114.47902571  26.52097429],0
n1,1,0.004045,8.263515,[50 55] ; [13 41],[41.60377358 63.39622642] ; [21.39622642 32.60377358],0
p2,1,0.005534,7.696271,[508  87] ; [106  34],[497.04761905  97.95238095] ; [116.95238095  23.04761905],0
p12,1,0.009584,6.710543,[ 56 537] ; [  4 138],[ 48.40816327 544.59183673] ; [ 11.59183673 130.40816327],0
s3,1,0.015459,5.863391,[345 242] ; [67 74],[332.2032967 254.7967033] ; [79.7967033 61.2032967],0
p9,1,0.015903,5.813515,[514  76] ; [110  29],[505.02057613  84.97942387] ; [118.97942387  20.02057613],0
b1,1,0.018888,5.511893,[232 367] ; [ 40 102],[219.87584345 379.12415655] ; [52.12415655 89.87584345],0
s2,1,0.027139,4.881958,[321 270] ; [62 79],[309.22540984 281.77459016] ; [73.77459016 67.22540984],0
p1,1,0.030838,4.661939,[ 60 535] ; [  6 134],[ 53.42857143 541.57142857] ; [ 12.57142857 127.42857143],0
n3,1,0.031857,4.606155,[83 23] ; [33 20],[77.33333333 28.66666667] ; [38.66666667 14.33333333],0
a6,1,0.033224,4.534188,[413 184] ; [85 57],[402.30852503 194.69147497] ; [95.69147497 46.30852503],0
s6,1,0.046778,3.953357,[412 170] ; [87 53],[402.24099723 179.75900277] ; [96.75900277 43.24099723],0
p7,1,0.049247,3.866899,[387 198] ; [79 59],[377.05394191 207.94605809] ; [88.94605809 49.05394191],0
v2,1,0.063587,3.441276,[339 238] ; [68 68],[329.36746143 247.63253857] ; [77.63253857 58.36746143],0
v4,1,0.066213,3.374497,[585  13] ; [134   7],[581.81596752  16.18403248] ; [137.18403248   3.81596752],0
d4,1,0.071852,3.2402,[496 100] ; [109  33],[488.59078591 107.40921409] ; [116.40921409  25.59078591],0
b3,1,0.088397,2.903333,[155 229] ; [19 46],[148.81069042 235.18930958] ; [25.18930958 39.81069042],0
b2,1,0.088397,2.903333,[155 229] ; [19 46],[148.81069042 235.18930958] ; [25.18930958 39.81069042],0
a1,1,0.102875,2.660404,[ 32 567] ; [  3 139],[ 28.2928475 570.7071525] ; [  6.7071525 135.2928475],0
d3,1,0.265119,1.24183,[419 179] ; [92 49],[413.50202977 184.49797023] ; [97.49797023 43.50202977],0
u3,1,0.305867,1.048437,[84 72] ; [34 21],[87.24170616 68.75829384] ; [30.75829384 24.24170616],0
u2,1,0.363072,0.827238,[81 73] ; [25 30],[78.10526316 75.89473684] ; [27.89473684 27.10526316],0
u4,1,0.379553,0.772148,[ 16 583] ; [  2 140],[ 14.55060729 584.44939271] ; [  3.44939271 138.55060729],0
s1,1,0.4335,0.613429,[ 20 570] ; [  3 139],[ 18.53825137 571.46174863] ; [  4.46174863 137.53825137],0
b5,1,0.434387,0.611064,[354 245] ; [89 53],[358.10661269 240.89338731] ; [84.89338731 57.10661269],0
s5,1,0.585961,0.296697,[209 363] ; [47 91],[206.24225352 365.75774648] ; [49.75774648 88.24225352],0
n2,1,0.678026,0.172356,[80 27] ; [38 15],[78.9125 28.0875] ; [39.0875 13.9125],0
a7,1,0.82112,0.051124,[434 162] ; [104  37],[435.07191316 160.92808684] ; [102.92808684  38.07191316],0
