Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,30.492718,[93 20] ; [ 6 17],[82.25735294 30.74264706] ; [16.74264706  6.25735294],1
r2,1,4.2e-05,16.794681,[106   6] ; [13  7],[100.96969697  11.03030303] ; [18.03030303  1.96969697],1
p10,1,4.2e-05,16.768894,[71 40] ; [ 4 19],[62.12686567 48.87313433] ; [12.87313433 10.12686567],1
r3,1,0.000364,12.70943,[99 14] ; [13 10],[93.05882353 19.94117647] ; [18.94117647  4.05882353],1
p9,1,0.000723,11.429245,[72 37] ; [ 6 16],[64.90076336 44.09923664] ; [13.09923664  8.90076336],1
n6,1,0.00094,10.941205,[86 27] ; [ 9 13],[79.51851852 33.48148148] ; [15.48148148  6.51851852],1
s8,1,0.000983,10.86002,[51 61] ; [ 2 21],[43.97037037 68.02962963] ; [ 9.02962963 13.97037037],1
r1,1,0.001341,10.285415,[83 30] ; [ 9 14],[76.44117647 36.55882353] ; [15.55882353  7.44117647],0
s2,1,0.001637,9.91818,[55 58] ; [ 3 20],[48.19117647 64.80882353] ; [ 9.80882353 13.19117647],0
s6,1,0.002018,9.53287,[68 43] ; [ 6 17],[61.29850746 49.70149254] ; [12.70149254 10.29850746],0
a8,1,0.005653,7.657822,[  5 101] ; [ 5 18],[ 8.21705426 97.78294574] ; [ 1.78294574 21.21705426],0
p4,1,0.023436,5.13587,[42 70] ; [ 3 20],[37.33333333 74.66666667] ; [ 7.66666667 15.33333333],0
u3,1,0.02768,4.847902,[22  9] ; [1 4],[19.80555556 11.19444444] ; [3.19444444 1.80555556],0
p8,1,0.040846,4.182403,[26 87] ; [ 1 22],[22.43382353 90.56617647] ; [ 4.56617647 18.43382353],0
v1,1,0.052135,3.771429,[44 66] ; [ 4 18],[40. 70.] ; [ 8. 14.],0
p6,1,0.052935,3.745973,[24 87] ; [ 1 22],[20.70895522 90.29104478] ; [ 4.29104478 18.70895522],0
d2,1,0.090496,2.865521,[65 47] ; [17  5],[68.53731343 43.46268657] ; [13.46268657  8.53731343],0
n2,1,0.092617,2.828283,[30 14] ; [5 7],[27.5 16.5] ; [7.5 4.5],0
p3,1,0.118664,2.434865,[38 74] ; [ 4 19],[34.84444444 77.15555556] ; [ 7.15555556 15.84444444],0
a6,1,0.131279,2.277314,[73 40] ; [11 12],[69.79411765 43.20588235] ; [14.20588235  8.79411765],0
b4,1,0.143073,2.14459,[65 48] ; [17  6],[68.13235294 44.86764706] ; [13.86764706  9.13235294],0
a2,1,0.16845,1.896687,[30 83] ; [ 3 20],[27.41911765 85.58088235] ; [ 5.58088235 17.41911765],0
p1,1,0.17383,1.849603,[  6 107] ; [ 3 20],[  7.47794118 105.52205882] ; [ 1.52205882 21.47794118],0
v2,1,0.175031,1.839318,[58 48] ; [ 9 14],[55.05426357 50.94573643] ; [11.94573643 11.05426357],0
s7,1,0.179583,1.80107,[49 57] ; [ 6 14],[46.26984127 59.73015873] ; [ 8.73015873 11.26984127],0
n5,1,0.180022,1.797439,[71 42] ; [11 12],[68.13235294 44.86764706] ; [13.86764706  9.13235294],0
n4,1,0.21485,1.538438,[68 45] ; [17  6],[70.625 42.375] ; [14.375  8.625],0
u1,1,0.216679,1.526228,[22 91] ; [ 2 21],[19.94117647 93.05882353] ; [ 4.05882353 18.94117647],0
p11,1,0.221985,1.491496,[60 53] ; [ 9 14],[57.33088235 55.66911765] ; [11.66911765 11.33088235],0
b1,1,0.252722,1.308195,[54 59] ; [14  9],[56.5 56.5] ; [11.5 11.5],0
p7,1,0.253433,1.304279,[37 72] ; [ 5 18],[34.68181818 74.31818182] ; [ 7.31818182 15.68181818],0
v3,1,0.256744,1.286232,[37 68] ; [ 5 17],[34.72440945 70.27559055] ; [ 7.27559055 14.72440945],0
