Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,9.6e-05,15.214341,[67 12] ; [11 13],[59.82524272 19.17475728] ; [18.17475728  5.82524272],1
v4,1,0.000445,12.333772,[71  9] ; [13 10],[65.24271845 14.75728155] ; [18.75728155  4.24271845],1
r4,1,0.000495,12.134099,[63 17] ; [10 14],[56.15384615 23.84615385] ; [16.84615385  7.15384615],1
b5,1,0.000822,11.191937,[51 29] ; [ 6 18],[43.84615385 36.15384615] ; [13.15384615 10.84615385],1
r1,1,0.00366,8.445113,[64 16] ; [12 12],[58.46153846 21.53846154] ; [17.53846154  6.46153846],0
p11,1,0.003722,8.41465,[47 33] ; [ 6 18],[40.76923077 39.23076923] ; [12.23076923 11.76923077],0
s6,1,0.004353,8.130298,[46 33] ; [ 6 18],[39.88349515 39.11650485] ; [12.11650485 11.88349515],0
p4,1,0.012903,6.182399,[35 43] ; [ 4 20],[29.82352941 48.17647059] ; [ 9.17647059 14.82352941],0
v3,1,0.016199,5.781176,[31 49] ; [ 3 21],[26.15384615 53.84615385] ; [ 7.84615385 16.15384615],0
r2,1,0.019935,5.417565,[73  6] ; [18  6],[69.7961165  9.2038835] ; [21.2038835  2.7961165],0
a1,1,0.033545,4.51773,[ 5 75] ; [ 5 19],[ 7.69230769 72.30769231] ; [ 2.30769231 21.69230769],0
p8,1,0.04305,4.093435,[28 52] ; [ 3 20],[24.0776699 55.9223301] ; [ 6.9223301 16.0776699],0
p3,1,0.051519,3.791326,[26 53] ; [ 3 21],[22.24271845 56.75728155] ; [ 6.75728155 17.24271845],0
n4,1,0.052799,3.750282,[70 10] ; [17  7],[66.92307692 13.07692308] ; [20.07692308  3.92307692],0
s2,1,0.082743,3.01018,[31 46] ; [ 5 19],[27.44554455 49.55445545] ; [ 8.55445545 15.44554455],0
d5,1,0.090555,2.864476,[58 22] ; [13 11],[54.61538462 25.38461538] ; [16.38461538  7.61538462],0
d4,1,0.093864,2.806824,[56 23] ; [12 11],[52.66666667 26.33333333] ; [15.33333333  7.66666667],0
u1,1,0.102961,2.659076,[14 66] ; [ 1 23],[11.53846154 68.46153846] ; [ 3.46153846 20.53846154],0
v1,1,0.10563,2.61841,[31 49] ; [ 5 19],[27.69230769 52.30769231] ; [ 8.30769231 15.69230769],0
p2,1,0.112729,2.515542,[48 32] ; [10 14],[44.61538462 35.38461538] ; [13.38461538 10.61538462],0
u3,1,0.116551,2.463069,[18 17] ; [2 7],[15.90909091 19.09090909] ; [4.09090909 4.90909091],0
s8,1,0.186035,1.748744,[24 55] ; [ 4 20],[21.47572816 57.52427184] ; [ 6.52427184 17.47572816],0
n2,1,0.199053,1.649306,[17  7] ; [7 7],[15.15789474  8.84210526] ; [8.84210526 5.15789474],0
b3,1,0.215613,1.533333,[16 38] ; [7 8],[18. 36.] ; [ 5. 10.],0
b2,1,0.215613,1.533333,[16 38] ; [7 8],[18. 36.] ; [ 5. 10.],0
s7,1,0.275195,1.190665,[27 50] ; [ 5 17],[24.88888889 52.11111111] ; [ 7.11111111 14.88888889],0
a6,1,0.285895,1.138854,[47 33] ; [17  7],[49.23076923 30.76923077] ; [14.76923077  9.23076923],0
p10,1,0.291551,1.112447,[25 53] ; [ 5 19],[22.94117647 55.05882353] ; [ 7.05882353 16.94117647],0
s4,1,0.303751,1.057655,[13 64] ; [ 2 22],[11.43564356 65.56435644] ; [ 3.56435644 20.43564356],0
d1,1,0.332232,0.940179,[39 41] ; [ 9 15],[36.92307692 43.07692308] ; [11.07692308 12.92307692],0
a7,1,0.358065,0.844669,[51 28] ; [13 11],[49.08737864 29.91262136] ; [14.91262136  9.08737864],0
