Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.005745,7.628515,[ 7 20] ; [16  9],[11.94230769 15.05769231] ; [11.05769231 13.94230769],0
v2,1,0.0067,7.351817,[ 1 25] ; [ 8 16],[ 4.68 21.32] ; [ 4.32 19.68],0
p9,1,0.02354,5.128205,[ 9 16] ; [17  8],[13. 12.] ; [13. 12.],0
v4,1,0.034625,4.46359,[10 17] ; [16  8],[13.76470588 13.23529412] ; [12.23529412 11.76470588],0
n6,1,0.034625,4.46359,[10 17] ; [16  8],[13.76470588 13.23529412] ; [12.23529412 11.76470588],0
p10,1,0.035863,4.403624,[ 9 17] ; [16  9],[12.74509804 13.25490196] ; [12.25490196 12.74509804],0
s8,1,0.049862,3.846079,[ 2 25] ; [ 7 18],[ 4.67307692 22.32692308] ; [ 4.32692308 20.67307692],0
p8,1,0.062621,3.466573,[ 6 20] ; [12 13],[ 9.17647059 16.82352941] ; [ 8.82352941 16.17647059],0
p2,1,0.079877,3.067399,[13 14] ; [18  7],[16.09615385 10.90384615] ; [14.90384615 10.09615385],0
b5,1,0.093494,2.813164,[11 16] ; [16  9],[14.01923077 12.98076923] ; [12.98076923 12.01923077],0
d4,1,0.100462,2.69819,[ 8 19] ; [13 12],[10.90384615 16.09615385] ; [10.09615385 14.90384615],0
p1,1,0.101573,2.680666,[ 5 22] ; [ 1 24],[ 3.11538462 23.88461538] ; [ 2.88461538 22.11538462],0
p7,1,0.124965,2.353968,[ 9 17] ; [14 11],[11.7254902 14.2745098] ; [11.2745098 13.7254902],0
s6,1,0.155619,2.016285,[ 5 22] ; [ 9 16],[ 7.26923077 19.73076923] ; [ 6.73076923 18.26923077],0
a7,1,0.165205,1.925926,[ 6 21] ; [10 15],[ 8.30769231 18.69230769] ; [ 7.69230769 17.30769231],0
p6,1,0.201652,1.63037,[ 2 24] ; [ 5 20],[ 3.56862745 22.43137255] ; [ 3.43137255 21.56862745],0
d3,1,0.243812,1.35842,[ 8 19] ; [ 4 21],[ 6.23076923 20.76923077] ; [ 5.76923077 19.23076923],0
n3,1,0.309558,1.032561,[7 7] ; [9 4],[8.2962963 5.7037037] ; [7.7037037 5.2962963],0
v1,1,0.324198,0.971935,[ 6 21] ; [ 8 15],[ 7.56 19.44] ; [ 6.44 16.56],0
s5,1,0.357193,0.847739,[ 3 24] ; [ 1 23],[ 2.11764706 24.88235294] ; [ 1.88235294 22.11764706],0
d2,1,0.381214,0.766783,[ 7 20] ; [ 4 21],[ 5.71153846 21.28846154] ; [ 5.28846154 19.71153846],0
