Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1e-06,24.097618,[128  40] ; [17 28],[114.36619718  53.63380282] ; [30.63380282 14.36619718],1
s2,1,5e-05,16.456901,[116  53] ; [16 29],[104.24299065  64.75700935] ; [27.75700935 17.24299065],1
r3,1,0.010334,6.576315,[166   4] ; [41  5],[162.91666667   7.08333333] ; [44.08333333  1.91666667],0
d5,1,0.013877,6.053678,[145  25] ; [32 14],[139.30555556  30.69444444] ; [37.69444444  8.30555556],0
v3,1,0.015078,5.907289,[63 96] ; [27 18],[70.14705882 88.85294118] ; [19.85294118 25.14705882],0
s7,1,0.020667,5.354689,[121  41] ; [25 19],[114.81553398  47.18446602] ; [31.18446602 12.81553398],0
r4,1,0.031967,4.600274,[158  12] ; [38  8],[154.25925926  15.74074074] ; [41.74074074  4.25925926],0
s4,1,0.059498,3.551334,[ 25 145] ; [ 2 44],[ 21.25 148.75] ; [ 5.75 40.25],0
a6,1,0.074093,3.189943,[113  57] ; [24 22],[107.82407407  62.17592593] ; [29.17592593 16.82407407],0
b5,1,0.081426,3.036211,[109  61] ; [23 23],[103.88888889  66.11111111] ; [28.11111111 17.88888889],0
a2,1,0.13079,2.2831,[ 44 126] ; [ 7 39],[ 40.13888889 129.86111111] ; [10.86111111 35.13888889],0
u1,1,0.132222,2.266217,[ 35 135] ; [ 5 41],[ 31.48148148 138.51851852] ; [ 8.51851852 37.48148148],0
a3,1,0.136514,2.216821,[122  48] ; [38  8],[125.92592593  44.07407407] ; [34.07407407 11.92592593],0
v2,1,0.152445,2.047612,[87 72] ; [30 15],[91.19117647 67.80882353] ; [25.80882353 19.19117647],0
r1,1,0.174265,1.845862,[143  26] ; [35 11],[139.91627907  29.08372093] ; [38.08372093  7.91627907],0
r2,1,0.184132,1.763959,[158   9] ; [41  5],[156.02347418  10.97652582] ; [42.97652582  3.02347418],0
u3,1,0.242755,1.364522,[34 14] ; [4 4],[32.57142857 15.42857143] ; [5.42857143 2.57142857],0
