Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.003393,8.582874,[23  7] ; [23 30],[16.62650602 13.37349398] ; [29.37349398 23.62650602],0
p5,1,0.010689,6.516271,[ 5 24] ; [ 1 52],[ 2.12195122 26.87804878] ; [ 3.87804878 49.12195122],0
s4,1,0.012484,6.240772,[ 2 28] ; [16 37],[ 6.5060241 23.4939759] ; [11.4939759 41.5060241],0
v2,1,0.027846,4.837581,[17 12] ; [17 34],[12.325 16.675] ; [21.675 29.325],0
s6,1,0.044188,4.049357,[17 13] ; [18 35],[12.65060241 17.34939759] ; [22.34939759 30.65060241],0
s5,1,0.045817,3.988313,[ 7 22] ; [ 4 46],[ 4.03797468 24.96202532] ; [ 6.96202532 43.03797468],0
p9,1,0.050133,3.83699,[23  7] ; [28 23],[18.88888889 11.11111111] ; [32.11111111 18.88888889],0
d4,1,0.056785,3.628887,[25  5] ; [33 19],[21.2195122  8.7804878] ; [36.7804878 15.2195122],0
p3,1,0.069176,3.302459,[12 15] ; [13 40],[ 8.4375 18.5625] ; [16.5625 36.4375],0
n6,1,0.091818,2.842202,[16 14] ; [38 15],[19.51807229 10.48192771] ; [34.48192771 18.51807229],0
d1,1,0.121228,2.401382,[16 14] ; [19 34],[12.65060241 17.34939759] ; [22.34939759 30.65060241],0
d3,1,0.150781,2.064336,[21  9] ; [28 24],[17.92682927 12.07317073] ; [31.07317073 20.92682927],0
s3,1,0.208754,1.580048,[14 16] ; [17 35],[11.34146341 18.65853659] ; [19.65853659 32.34146341],0
s1,1,0.262351,1.25631,[ 2 28] ; [ 1 52],[ 1.08433735 28.91566265] ; [ 1.91566265 51.08433735],0
p2,1,0.31218,1.021432,[22  6] ; [36 17],[20.04938272  7.95061728] ; [37.95061728 15.04938272],0
r3,1,0.332417,0.939457,[20 10] ; [29 23],[17.92682927 12.07317073] ; [31.07317073 20.92682927],0
a6,1,0.337211,0.921005,[18 12] ; [26 27],[15.90361446 14.09638554] ; [28.09638554 24.90361446],0
a3,1,0.353619,0.860426,[19 11] ; [28 25],[16.98795181 13.01204819] ; [30.01204819 22.98795181],0
n5,1,0.367674,0.811509,[16 14] ; [33 19],[17.92682927 12.07317073] ; [31.07317073 20.92682927],0
n2,1,0.375678,0.784798,[14  4] ; [17  9],[12.68181818  5.31818182] ; [18.31818182  7.68181818],0
b4,1,0.383512,0.759413,[14 16] ; [30 23],[15.90361446 14.09638554] ; [28.09638554 24.90361446],0
a5,1,0.383512,0.759413,[16 14] ; [23 30],[14.09638554 15.90361446] ; [24.90361446 28.09638554],0
d5,1,0.39869,0.712274,[23  7] ; [36 17],[21.3253012  8.6746988] ; [37.6746988 15.3253012],0
n1,1,0.402114,0.701994,[ 7 11] ; [ 7 19],[ 5.72727273 12.27272727] ; [ 8.27272727 17.72727273],0
p8,1,0.440152,0.595886,[ 9 20] ; [21 32],[10.6097561 18.3902439] ; [19.3902439 33.6097561],0
a1,1,0.463286,0.537944,[ 3 27] ; [ 3 50],[ 2.1686747 27.8313253] ; [ 3.8313253 49.1686747],0
u3,1,0.477688,0.504137,[6 5] ; [10 14],[5.02857143 5.97142857] ; [10.97142857 13.02857143],0
p6,1,0.494891,0.465875,[ 8 19] ; [12 41],[ 6.75 20.25] ; [13.25 39.75],0
a4,1,0.545043,0.366272,[11 19] ; [16 37],[ 9.75903614 20.24096386] ; [17.24096386 35.75903614],0
u1,1,0.554368,0.34955,[ 2 28] ; [ 2 51],[ 1.44578313 28.55421687] ; [ 2.55421687 50.44578313],0
p7,1,0.58145,0.303896,[13 15] ; [20 30],[11.84615385 16.15384615] ; [21.15384615 28.84615385],0
a2,1,0.583072,0.301294,[ 4 26] ; [ 5 48],[ 3.25301205 26.74698795] ; [ 5.74698795 47.25301205],0
p1,1,0.634393,0.22615,[ 1 29] ; [ 3 50],[ 1.44578313 28.55421687] ; [ 2.55421687 50.44578313],0
s7,1,0.649564,0.206451,[ 9 19] ; [19 32],[ 9.92405063 18.07594937] ; [18.07594937 32.92405063],0
r2,1,0.65378,0.201167,[20  9] ; [32 18],[19.08860759  9.91139241] ; [32.91139241 17.08860759],0
p4,1,0.697688,0.150889,[13 16] ; [21 31],[12.17283951 16.82716049] ; [21.82716049 30.17283951],0
p11,1,0.736092,0.113591,[17 13] ; [28 25],[16.26506024 13.73493976] ; [28.73493976 24.26506024],0
s2,1,0.76666,0.088059,[10 20] ; [16 37],[ 9.39759036 20.60240964] ; [16.60240964 36.39759036],0
n4,1,0.773361,0.082933,[16 14] ; [30 23],[16.62650602 13.37349398] ; [29.37349398 23.62650602],0
u2,1,0.828969,0.046667,[6 4] ; [14 11],[5.71428571 4.28571429] ; [14.28571429 10.71428571],0
b5,1,0.863688,0.029474,[17 13] ; [29 24],[16.62650602 13.37349398] ; [29.37349398 23.62650602],0
d2,1,0.871739,0.026066,[11 19] ; [20 32],[11.34146341 18.65853659] ; [19.65853659 32.34146341],0
r1,1,0.872952,0.025571,[ 8 22] ; [15 38],[ 8.31325301 21.68674699] ; [14.68674699 38.31325301],0
n3,1,0.888117,0.019793,[10  8] ; [15 11],[10.22727273  7.77272727] ; [14.77272727 11.22727273],0
v3,1,0.902665,0.014956,[ 7 23] ; [13 40],[ 7.22891566 22.77108434] ; [12.77108434 40.22891566],0
p10,1,0.923763,0.009158,[17 11] ; [31 21],[16.8 11.2] ; [31.2 20.8],0
b2,1,0.939225,0.005813,[ 5 10] ; [10 19],[5.11363636 9.88636364] ; [ 9.88636364 19.11363636],0
b3,1,0.939225,0.005813,[ 5 10] ; [10 19],[5.11363636 9.88636364] ; [ 9.88636364 19.11363636],0
s8,1,0.942545,0.005194,[ 7 23] ; [12 41],[ 6.86746988 23.13253012] ; [12.13253012 40.86746988],0
a7,1,0.964222,0.002012,[16 14] ; [28 24],[16.09756098 13.90243902] ; [27.90243902 24.09756098],0
