Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,64.429362,[102   2] ; [21 28],[83.60784314 20.39215686] ; [39.39215686  9.60784314],1
r1,1,0.0,62.796755,[87 16] ; [10 42],[64.45806452 38.54193548] ; [32.54193548 19.45806452],1
r3,1,0.0,59.463206,[101   3] ; [23 29],[82.66666667 21.33333333] ; [41.33333333 10.66666667],1
v4,1,0.0,41.159067,[97  6] ; [26 26],[81.73548387 21.26451613] ; [41.26451613 10.73548387],1
p2,1,0.000767,11.319758,[73 31] ; [22 30],[63.33333333 40.66666667] ; [31.66666667 20.33333333],1
p11,1,0.001517,10.057895,[60 44] ; [16 36],[50.66666667 53.33333333] ; [25.33333333 26.66666667],0
a7,1,0.002767,8.955163,[70 34] ; [22 30],[61.33333333 42.66666667] ; [30.66666667 21.33333333],0
u3,1,0.003232,8.671847,[25 18] ; [ 6 21],[19.04285714 23.95714286] ; [11.95714286 15.04285714],0
n6,1,0.008594,6.905224,[71 32] ; [24 27],[63.53896104 39.46103896] ; [31.46103896 19.53896104],0
p7,1,0.011864,6.331041,[52 52] ; [15 37],[44.66666667 59.33333333] ; [22.33333333 29.66666667],0
n3,1,0.017435,5.652093,[28 12] ; [12 17],[23.1884058 16.8115942] ; [16.8115942 12.1884058],0
n2,1,0.017435,5.652093,[28 12] ; [12 17],[23.1884058 16.8115942] ; [16.8115942 12.1884058],0
s8,1,0.021849,5.257777,[23 79] ; [ 4 48],[17.88311688 84.11688312] ; [ 9.11688312 42.88311688],0
s6,1,0.022279,5.223845,[49 53] ; [15 37],[42.38961039 59.61038961] ; [21.61038961 30.38961039],0
p9,1,0.023634,5.121276,[41 60] ; [11 39],[34.78145695 66.21854305] ; [17.21854305 32.78145695],0
a1,1,0.027008,4.890282,[  4 100] ; [ 7 45],[ 7.33333333 96.66666667] ; [ 3.66666667 48.33333333],0
b1,1,0.031437,4.628966,[45 59] ; [32 20],[51.33333333 52.66666667] ; [25.66666667 26.33333333],0
p3,1,0.03219,4.588343,[38 66] ; [10 41],[32.20645161 71.79354839] ; [15.79354839 35.20645161],0
p6,1,0.040412,4.200485,[30 73] ; [ 7 43],[24.90849673 78.09150327] ; [12.09150327 37.90849673],0
d5,1,0.055807,3.657813,[74 30] ; [29 23],[68.66666667 35.33333333] ; [34.33333333 17.66666667],0
d3,1,0.088481,2.901786,[61 43] ; [23 29],[56. 48.] ; [28. 24.],0
d4,1,0.088956,2.893166,[77 26] ; [32 20],[72.43225806 30.56774194] ; [36.56774194 15.43225806],0
v1,1,0.102553,2.665385,[34 70] ; [10 40],[29.71428571 74.28571429] ; [14.28571429 35.71428571],0
p8,1,0.105586,2.619077,[33 70] ; [10 41],[28.75974026 74.24025974] ; [14.24025974 36.75974026],0
n1,1,0.112289,2.521702,[19 22] ; [ 8 21],[15.81428571 25.18571429] ; [11.18571429 17.81428571],0
a2,1,0.15789,1.994318,[19 85] ; [ 5 47],[16. 88.] ; [ 8. 44.],0
a5,1,0.171353,1.871064,[62 42] ; [25 27],[58. 46.] ; [29. 23.],0
d1,1,0.171353,1.871064,[50 54] ; [19 33],[46. 58.] ; [23. 29.],0
u1,1,0.175504,1.835294,[16 88] ; [ 4 48],[13.33333333 90.66666667] ; [ 6.66666667 45.33333333],0
u2,1,0.194791,1.681007,[19 23] ; [ 8 19],[16.43478261 25.56521739] ; [10.56521739 16.43478261],0
a4,1,0.212609,1.55357,[43 60] ; [16 35],[39.46103896 63.53896104] ; [19.53896104 31.46103896],0
s2,1,0.245803,1.347003,[33 70] ; [12 40],[29.90322581 73.09677419] ; [15.09677419 36.90322581],0
a6,1,0.255595,1.292461,[60 44] ; [25 27],[56.66666667 47.33333333] ; [28.33333333 23.66666667],0
a3,1,0.280779,1.163317,[61 42] ; [25 25],[57.89542484 45.10457516] ; [28.10457516 21.89542484],0
p4,1,0.290001,1.119617,[41 63] ; [16 36],[38. 66.] ; [19. 33.],0
b5,1,0.290001,1.119617,[69 35] ; [30 22],[66. 38.] ; [33. 19.],0
s7,1,0.33333,0.935917,[28 71] ; [10 38],[25.59183673 73.40816327] ; [12.40816327 35.59183673],0
b4,1,0.362494,0.829236,[60 44] ; [26 26],[57.33333333 46.66666667] ; [28.66666667 23.33333333],0
s3,1,0.376609,0.781741,[44 59] ; [18 33],[41.46753247 61.53246753] ; [20.53246753 30.46753247],0
s1,1,0.385565,0.752884,[ 6 97] ; [ 5 47],[ 7.30967742 95.69032258] ; [ 3.69032258 48.30967742],0
p5,1,0.387961,0.745323,[ 5 99] ; [ 1 50],[ 4.02580645 99.97419355] ; [ 1.97419355 49.02580645],0
a8,1,0.407293,0.686689,[12 82] ; [ 4 45],[10.51748252 83.48251748] ; [ 5.48251748 43.51748252],0
s4,1,0.471451,0.518573,[15 87] ; [10 42],[16.55844156 85.44155844] ; [ 8.44155844 43.55844156],0
p12,1,0.480165,0.498488,[  2 101] ; [ 2 50],[  2.65806452 100.34193548] ; [ 1.34193548 50.65806452],0
d2,1,0.489203,0.478278,[51 53] ; [22 29],[48.98064516 55.01935484] ; [24.01935484 26.98064516],0
v2,1,0.747935,0.103274,[34 68] ; [16 36],[33.11688312 68.88311688] ; [16.88311688 35.11688312],0
b2,1,0.750609,0.10102,[24 40] ; [12 23],[23.27272727 40.72727273] ; [12.72727273 22.27272727],0
b3,1,0.750609,0.10102,[24 40] ; [12 23],[23.27272727 40.72727273] ; [12.72727273 22.27272727],0
n4,1,0.767834,0.087149,[60 43] ; [29 23],[59.14193548 43.85806452] ; [29.85806452 22.14193548],0
n5,1,0.770665,0.084975,[58 45] ; [28 24],[57.1483871 45.8516129] ; [28.8516129 23.1483871],0
s5,1,0.780203,0.077871,[18 83] ; [ 8 42],[17.39072848 83.60927152] ; [ 8.60927152 41.39072848],0
p1,1,0.850064,0.035735,[ 7 95] ; [ 4 48],[ 7.28571429 94.71428571] ; [ 3.71428571 48.28571429],0
