Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1.6e-05,18.59278,[19 15] ; [ 1 26],[11.14754098 22.85245902] ; [ 8.85245902 18.14754098],1
d4,1,9.7e-05,15.198731,[29  5] ; [10 17],[21.73770492 12.26229508] ; [17.26229508  9.73770492],1
d3,1,0.000309,13.012963,[22 12] ; [ 5 22],[15.04918033 18.95081967] ; [11.95081967 15.04918033],1
a7,1,0.002591,9.074844,[22 12] ; [ 7 20],[16.16393443 17.83606557] ; [12.83606557 14.16393443],0
v2,1,0.003379,8.590547,[16 18] ; [ 3 23],[10.76666667 23.23333333] ; [ 8.23333333 17.76666667],0
a5,1,0.003729,8.411383,[24 10] ; [ 9 18],[18.39344262 15.60655738] ; [14.60655738 12.39344262],0
b4,1,0.004549,8.050482,[26  8] ; [11 16],[20.62295082 13.37704918] ; [16.37704918 10.62295082],0
r4,1,0.005483,7.71278,[13 21] ; [ 2 25],[ 8.36065574 25.63934426] ; [ 6.63934426 20.36065574],0
p11,1,0.010188,6.601739,[20 14] ; [ 7 20],[15.04918033 18.95081967] ; [11.95081967 15.04918033],0
d2,1,0.011004,6.464646,[18 15] ; [ 6 21],[13.2 19.8] ; [10.8 16.2],0
r3,1,0.012827,6.192748,[24 10] ; [10 16],[19.26666667 14.73333333] ; [14.73333333 11.26666667],0
a3,1,0.012827,6.192748,[24 10] ; [10 16],[19.26666667 14.73333333] ; [14.73333333 11.26666667],0
a6,1,0.023044,5.165172,[20 14] ; [ 8 19],[15.60655738 18.39344262] ; [12.39344262 14.60655738],0
a4,1,0.02767,4.848485,[15 18] ; [ 5 22],[11. 22.] ; [ 9. 18.],0
r2,1,0.036707,4.363942,[20 11] ; [10 17],[16.03448276 14.96551724] ; [13.96551724 13.03448276],0
n6,1,0.047416,3.930567,[20 13] ; [ 9 17],[16.22033898 16.77966102] ; [12.77966102 13.22033898],0
a2,1,0.052331,3.765171,[ 7 27] ; [ 1 26],[ 4.45901639 29.54098361] ; [ 3.54098361 23.45901639],0
