Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,30.959044,[ 26 113] ; [105 115],[50.72144847 88.27855153] ; [ 80.27855153 139.72144847],1
a6,1,3.4e-05,17.175541,[61 78] ; [146  75],[79.925 59.075] ; [127.075  93.925],1
r3,1,0.000314,12.98469,[112  27] ; [204  15],[122.69273743  16.30726257] ; [193.30726257  25.69273743],1
r4,1,0.000354,12.762134,[98 41] ; [190  31],[111.2  27.8] ; [176.8  44.2],1
p2,1,0.000628,11.690891,[91 46] ; [181  39],[104.38095238  32.61904762] ; [167.61904762  52.38095238],1
p10,1,0.001421,10.17867,[84 52] ; [166  48],[97.14285714 38.85714286] ; [152.85714286  61.14285714],0
p8,1,0.006808,7.322974,[49 88] ; [109 107],[61.32011331 75.67988669] ; [ 96.67988669 119.32011331],0
d5,1,0.011136,6.443486,[64 75] ; [132  89],[75.67777778 63.32222222] ; [120.32222222 100.67777778],0
u3,1,0.014337,5.996201,[22 41] ; [50 41],[29.45454545 33.54545455] ; [42.54545455 48.45454545],0
p9,1,0.016117,5.790107,[93 43] ; [173  44],[102.4815864  33.5184136] ; [163.5184136  53.4815864],0
r1,1,0.020246,5.390594,[86 53] ; [161  58],[95.90223464 43.09776536] ; [151.09776536  67.90223464],0
b2,1,0.021773,5.263837,[42 48] ; [36 80],[34.0776699 55.9223301] ; [43.9223301 72.0776699],0
b3,1,0.021773,5.263837,[42 48] ; [36 80],[34.0776699 55.9223301] ; [43.9223301 72.0776699],0
r2,1,0.033216,4.534603,[114  24] ; [196  21],[120.50704225  17.49295775] ; [189.49295775  27.50704225],0
u1,1,0.041106,4.171635,[  1 138] ; [ 10 211],[  4.24722222 134.75277778] ; [  6.75277778 214.24722222],0
d4,1,0.050646,3.819927,[71 68] ; [136  85],[79.925 59.075] ; [127.075  93.925],0
d2,1,0.052908,3.746836,[ 28 110] ; [ 28 193],[ 21.5264624 116.4735376] ; [ 34.4735376 186.5264624],0
s6,1,0.054215,3.706074,[66 69] ; [130  89],[74.74576271 60.25423729] ; [121.25423729  97.74576271],0
v2,1,0.060276,3.52978,[53 80] ; [105 104],[61.44444444 71.55555556] ; [ 96.55555556 112.44444444],0
a5,1,0.067329,3.346959,[70 69] ; [133  88],[78.38055556 60.61944444] ; [124.61944444  96.38055556],0
p7,1,0.107171,2.595452,[71 65] ; [131  84],[78.26780627 57.73219373] ; [123.73219373  91.26780627],0
v4,1,0.121594,2.396665,[118  20] ; [198  20],[122.49438202  15.50561798] ; [193.50561798  24.49438202],0
p11,1,0.148062,2.092107,[94 45] ; [165  56],[100.00277778  38.99722222] ; [158.99722222  62.00277778],0
n3,1,0.164045,1.936534,[30 16] ; [39 11],[33.0625 12.9375] ; [35.9375 14.0625],0
p3,1,0.176279,1.828715,[50 88] ; [ 96 125],[56.12256267 81.87743733] ; [ 89.87743733 131.12256267],0
p6,1,0.184898,1.75781,[ 34 101] ; [ 69 148],[39.50284091 95.49715909] ; [ 63.49715909 153.50284091],0
a1,1,0.19713,1.663507,[ 10 129] ; [  9 212],[  7.33611111 131.66388889] ; [ 11.66388889 209.33611111],0
a2,1,0.20227,1.625905,[  6 133] ; [ 17 204],[  8.88055556 130.11944444] ; [ 14.11944444 206.88055556],0
n4,1,0.220692,1.499865,[92 47] ; [159  61],[97.18384401 41.81615599] ; [153.81615599  66.18384401],0
p5,1,0.236037,1.404108,[ 12 125] ; [ 28 190],[ 15.43661972 121.56338028] ; [ 24.56338028 193.43661972],0
b5,1,0.244392,1.355078,[75 64] ; [133  88],[80.31111111 58.68888889] ; [127.68888889  93.31111111],0
a8,1,0.280609,1.164137,[ 17 115] ; [ 36 173],[ 20.51612903 111.48387097] ; [ 32.48387097 176.51612903],0
