Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,1.2e-05,19.135295,[47  7] ; [12 17],[38.38554217 15.61445783] ; [20.61445783  8.38554217],1
d1,1,1.5e-05,18.695119,[38 16] ; [ 6 23],[28.62650602 25.37349398] ; [15.37349398 13.62650602],1
a4,1,6.7e-05,15.879834,[32 22] ; [ 4 25],[23.42168675 30.57831325] ; [12.57831325 16.42168675],1
a3,1,0.00016,14.254436,[45  9] ; [12 16],[37.53658537 16.46341463] ; [19.46341463  8.53658537],1
d2,1,0.002244,9.338374,[30 24] ; [ 6 23],[23.42168675 30.57831325] ; [12.57831325 16.42168675],0
p3,1,0.002853,8.898983,[37 17] ; [10 19],[30.57831325 23.42168675] ; [16.42168675 12.57831325],0
n4,1,0.003304,8.631232,[47  7] ; [17 12],[41.63855422 12.36144578] ; [22.36144578  6.63855422],0
d4,1,0.004358,8.12821,[44 10] ; [15 14],[38.38554217 15.61445783] ; [20.61445783  8.38554217],0
n6,1,0.004409,8.107377,[49  5] ; [19 10],[44.24096386  9.75903614] ; [23.75903614  5.24096386],0
p9,1,0.010067,6.622984,[48  6] ; [19 10],[43.59036145 10.40963855] ; [23.40963855  5.59036145],0
p10,1,0.010671,6.519311,[44 10] ; [16 13],[39.03614458 14.96385542] ; [20.96385542  8.03614458],0
u1,1,0.011169,6.438304,[14 40] ; [ 1 28],[ 9.75903614 44.24096386] ; [ 5.24096386 23.75903614],0
d3,1,0.012419,6.25,[41 13] ; [13 14],[36. 18.] ; [18.  9.],0
p4,1,0.024838,5.035156,[41 13] ; [15 14],[36.43373494 17.56626506] ; [19.56626506  9.43373494],0
s8,1,0.042631,4.109959,[21 33] ; [ 5 24],[16.91566265 37.08433735] ; [ 9.08433735 19.91566265],0
d5,1,0.051481,3.792556,[42 12] ; [16 12],[38.19512195 15.80487805] ; [19.80487805  8.19512195],0
a6,1,0.051946,3.777503,[41 13] ; [16 13],[37.08433735 16.91566265] ; [19.91566265  9.08433735],0
r4,1,0.055997,3.65215,[48  6] ; [21  8],[44.89156627  9.10843373] ; [24.10843373  4.89156627],0
p2,1,0.084985,2.966897,[53  1] ; [26  3],[51.39759036  2.60240964] ; [27.60240964  1.39759036],0
r2,1,0.095764,2.774704,[51  2] ; [25  4],[49.12195122  3.87804878] ; [26.87804878  2.12195122],0
a7,1,0.108375,2.577753,[45  9] ; [19  9],[42.14634146 11.85365854] ; [21.85365854  6.14634146],0
v1,1,0.11968,2.421504,[32 22] ; [12 17],[28.62650602 25.37349398] ; [15.37349398 13.62650602],0
n5,1,0.127374,2.324221,[42 12] ; [18 11],[39.03614458 14.96385542] ; [20.96385542  8.03614458],0
n1,1,0.130134,2.290909,[3 8] ; [6 4],[4.71428571 6.28571429] ; [4.28571429 5.71428571],0
p8,1,0.131541,2.274222,[37 17] ; [15 14],[33.8313253 20.1686747] ; [18.1686747 10.8313253],0
b5,1,0.132457,2.263466,[30 24] ; [21  8],[33.18072289 20.81927711] ; [17.81927711 11.18072289],0
v2,1,0.171219,1.872238,[33 20] ; [13 15],[30.09876543 22.90123457] ; [15.90123457 12.09876543],0
v3,1,0.184278,1.76278,[24 28] ; [ 9 20],[21.18518519 30.81481481] ; [11.81481481 17.18518519],0
p11,1,0.195667,1.674422,[44 10] ; [20  9],[41.63855422 12.36144578] ; [22.36144578  6.63855422],0
s4,1,0.286829,1.134445,[ 5 49] ; [ 5 24],[ 6.5060241 47.4939759] ; [ 3.4939759 25.5060241],0
s7,1,0.34936,0.87578,[23 29] ; [ 9 18],[21.06329114 30.93670886] ; [10.93670886 16.06329114],0
b4,1,0.351035,0.869714,[30 24] ; [13 16],[27.97590361 26.02409639] ; [15.02409639 13.97590361],0
n3,1,0.363722,0.825,[9 3] ; [9 1],[9.81818182 2.18181818] ; [8.18181818 1.81818182],0
a8,1,0.367943,0.810601,[ 4 43] ; [ 4 22],[ 5.15068493 41.84931507] ; [ 2.84931507 23.15068493],0
b3,1,0.416304,0.660724,[19 16] ; [10  5],[20.3 14.7] ; [8.7 6.3],0
b2,1,0.416304,0.660724,[19 16] ; [10  5],[20.3 14.7] ; [8.7 6.3],0
s3,1,0.481699,0.495015,[17 37] ; [ 7 22],[15.61445783 38.38554217] ; [ 8.38554217 20.61445783],0
u3,1,0.484118,0.489574,[5 4] ; [ 7 10],[4.15384615 4.84615385] ; [7.84615385 9.15384615],0
s5,1,0.510541,0.432959,[10 41] ; [ 4 25],[ 8.925 42.075] ; [ 5.075 23.925],0
p7,1,0.643813,0.21379,[42 12] ; [23  5],[42.80487805 11.19512195] ; [22.19512195  5.80487805],0
s1,1,0.671512,0.179838,[ 1 51] ; [ 1 28],[ 1.28395062 50.71604938] ; [ 0.71604938 28.28395062],0
p1,1,0.720437,0.128074,[ 6 48] ; [ 4 25],[ 6.5060241 47.4939759] ; [ 3.4939759 25.5060241],0
n2,1,0.793166,0.06875,[9 3] ; [7 3],[8.72727273 3.27272727] ; [7.27272727 2.72727273],0
b1,1,0.80307,0.062188,[22 32] ; [11 18],[21.46987952 32.53012048] ; [11.53012048 17.46987952],0
p5,1,0.806603,0.059932,[ 3 51] ; [ 2 27],[ 3.25301205 50.74698795] ; [ 1.74698795 27.25301205],0
s2,1,0.858215,0.031915,[14 40] ; [ 7 22],[13.6626506 40.3373494] ; [ 7.3373494 21.6626506],0
u2,1,0.872518,0.025748,[5 4] ; [10  7],[5.19230769 3.80769231] ; [9.80769231 7.19230769],0
r3,1,0.873056,0.025529,[49  5] ; [26  3],[48.79518072  5.20481928] ; [26.20481928  2.79518072],0
