Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.007447,7.161779,[82 38] ; [10 15],[76.13793103 43.86206897] ; [15.86206897  9.13793103],0
n6,1,0.00819,6.991413,[101  20] ; [15 10],[96.1369863 24.8630137] ; [19.8630137  5.1369863],0
a6,1,0.016722,5.725344,[75 46] ; [ 9 16],[69.61643836 51.38356164] ; [14.38356164 10.61643836],0
r2,1,0.023547,5.127683,[107  13] ; [18  7],[103.44827586  16.55172414] ; [21.55172414  3.44827586],0
d3,1,0.029281,4.750997,[36 85] ; [ 2 22],[31.71034483 89.28965517] ; [ 6.28965517 17.71034483],0
v3,1,0.040604,4.192456,[44 74] ; [ 4 21],[39.60839161 78.39160839] ; [ 8.39160839 16.60839161],0
b1,1,0.051378,3.795915,[47 74] ; [15 10],[51.38356164 69.61643836] ; [10.61643836 14.38356164],0
n1,1,0.064561,3.416149,[18 14] ; [3 9],[15.27272727 16.72727273] ; [5.72727273 6.27272727],0
n3,1,0.08599,2.947891,[21 10] ; [12  1],[23.25  7.75] ; [9.75 3.25],0
r4,1,0.121784,2.394228,[95 26] ; [16  9],[91.99315068 29.00684932] ; [19.00684932  5.99315068],0
s5,1,0.137597,2.204629,[30 86] ; [ 3 22],[27.14893617 88.85106383] ; [ 5.85106383 19.14893617],0
p1,1,0.138134,2.198622,[ 18 102] ; [ 1 24],[ 15.72413793 104.27586207] ; [ 3.27586207 21.72413793],0
v1,1,0.157966,1.993594,[56 62] ; [ 8 17],[52.81118881 65.18881119] ; [11.18881119 13.81118881],0
b3,1,0.164023,1.936743,[24 53] ; [1 9],[22.12643678 54.87356322] ; [2.87356322 7.12643678],0
b2,1,0.164023,1.936743,[24 53] ; [1 9],[22.12643678 54.87356322] ; [2.87356322 7.12643678],0
a4,1,0.194811,1.680851,[34 85] ; [ 4 21],[31.40277778 87.59722222] ; [ 6.59722222 18.40277778],0
a8,1,0.205896,1.600052,[14 95] ; [ 1 24],[12.20149254 96.79850746] ; [ 2.79850746 22.20149254],0
b4,1,0.211518,1.561004,[65 56] ; [10 15],[62.15753425 58.84246575] ; [12.84246575 12.15753425],0
p2,1,0.213183,1.549675,[87 33] ; [15 10],[84.4137931 35.5862069] ; [17.5862069  7.4137931],0
p6,1,0.217725,1.519304,[38 79] ; [ 5 20],[35.42957746 81.57042254] ; [ 7.57042254 17.42957746],0
p3,1,0.219426,1.508121,[54 65] ; [ 8 17],[51.23611111 67.76388889] ; [10.76388889 14.23611111],0
u2,1,0.258403,1.277295,[22 37] ; [8 7],[23.91891892 35.08108108] ; [6.08108108 8.91891892],0
b5,1,0.265165,1.24159,[68 53] ; [11 14],[65.47260274 55.52739726] ; [13.52739726 11.47260274],0
a3,1,0.271315,1.210084,[62 57] ; [10 15],[59.5 59.5] ; [12.5 12.5],0
a5,1,0.299411,1.076814,[67 54] ; [11 14],[64.64383562 56.35616438] ; [13.35616438 11.64383562],0
s7,1,0.325831,0.965397,[46 65] ; [ 7 16],[43.90298507 67.09701493] ; [ 9.09701493 13.90298507],0
a7,1,0.326439,0.962972,[71 50] ; [12 13],[68.78767123 52.21232877] ; [14.21232877 10.78767123],0
p10,1,0.356921,0.848696,[83 34] ; [20  5],[84.86619718 32.13380282] ; [18.13380282  6.86619718],0
s6,1,0.372588,0.795015,[67 49] ; [12 13],[64.9929078 51.0070922] ; [14.0070922 10.9929078],0
p8,1,0.5099,0.434272,[52 64] ; [ 9 15],[50.54285714 65.45714286] ; [10.45714286 13.54285714],0
p5,1,0.555294,0.347919,[ 15 104] ; [ 2 22],[ 14.14685315 104.85314685] ; [ 2.85314685 21.14685315],0
u3,1,0.588363,0.292909,[23 36] ; [7 8],[23.91891892 35.08108108] ; [6.08108108 8.91891892],0
p9,1,0.596052,0.280992,[87 29] ; [20  5],[88.02836879 27.97163121] ; [18.97163121  6.02836879],0
s1,1,0.597096,0.279399,[  8 109] ; [ 1 24],[  7.41549296 109.58450704] ; [ 1.58450704 23.41549296],0
d2,1,0.675682,0.175027,[34 87] ; [ 6 19],[33.15068493 87.84931507] ; [ 6.84931507 18.15068493],0
v2,1,0.686749,0.162628,[47 65] ; [ 9 15],[46.11764706 65.88235294] ; [ 9.88235294 14.11764706],0
p7,1,0.687029,0.162321,[66 51] ; [13 12],[65.0915493 51.9084507] ; [13.9084507 11.0915493],0
s8,1,0.693385,0.155445,[38 81] ; [ 9 16],[38.84027778 80.15972222] ; [ 8.15972222 16.84027778],0
p11,1,0.694879,0.153854,[87 34] ; [17  8],[86.19178082 34.80821918] ; [17.80821918  7.19178082],0
s3,1,0.697786,0.150785,[56 60] ; [11 14],[55.12056738 60.87943262] ; [11.87943262 13.12056738],0
v4,1,0.72502,0.123733,[104  16] ; [21  4],[103.44827586  16.55172414] ; [21.55172414  3.44827586],0
s2,1,0.792726,0.069049,[41 77] ; [ 8 17],[40.43356643 77.56643357] ; [ 8.56643357 16.43356643],0
s4,1,0.860178,0.031028,[22 97] ; [ 5 20],[22.3125 96.6875] ; [ 4.6875 20.3125],0
n2,1,0.891778,0.018511,[24  8] ; [10  3],[24.17777778  7.82222222] ; [9.82222222 3.17777778],0
p4,1,0.915458,0.011269,[59 61] ; [12 13],[58.75862069 61.24137931] ; [12.24137931 12.75862069],0
r3,1,0.923499,0.009221,[97 23] ; [20  5],[96.82758621 23.17241379] ; [20.17241379  4.82758621],0
d5,1,0.935141,0.006622,[57 64] ; [12 13],[57.18493151 63.81506849] ; [11.81506849 13.18493151],0
