Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.000123,14.74359,[40 29] ; [10 36],[30. 39.] ; [20. 26.],1
p4,1,0.001659,9.89295,[44 25] ; [16 31],[35.68965517 33.31034483] ; [24.31034483 22.68965517],0
b1,1,0.002077,9.480416,[45 24] ; [17 30],[36.87931034 32.12068966] ; [25.12068966 21.87931034],0
p6,1,0.01344,6.11031,[24 43] ; [ 7 40],[18.21929825 48.78070175] ; [12.78070175 34.21929825],0
r2,1,0.018515,5.5468,[54 13] ; [45  2],[58.18421053  8.81578947] ; [40.81578947  6.18421053],0
p11,1,0.023944,5.098701,[52 17] ; [26 21],[46.39655172 22.60344828] ; [31.60344828 15.39655172],0
p3,1,0.02501,5.023191,[35 34] ; [14 33],[29.14655172 39.85344828] ; [19.85344828 27.14655172],0
s6,1,0.028331,4.807791,[45 24] ; [21 26],[39.25862069 29.74137931] ; [26.74137931 20.25862069],0
u2,1,0.053007,3.743704,[22  5] ; [8 7],[19.28571429  7.71428571] ; [10.71428571  4.28571429],0
a2,1,0.085403,2.958961,[14 55] ; [ 4 43],[10.70689655 58.29310345] ; [ 7.29310345 39.70689655],0
s8,1,0.094143,2.802058,[28 41] ; [12 35],[23.79310345 45.20689655] ; [16.20689655 30.79310345],0
p10,1,0.11704,2.456484,[48 21] ; [26 21],[44.01724138 24.98275862] ; [29.98275862 17.01724138],0
n5,1,0.122494,2.385135,[33 35] ; [16 31],[28.97391304 39.02608696] ; [20.02608696 26.97391304],0
p1,1,0.178069,1.813668,[ 3 66] ; [ 5 41],[ 4.8 64.2] ; [ 3.2 42.8],0
r4,1,0.203419,1.617656,[52 17] ; [40  7],[54.72413793 14.27586207] ; [37.27586207  9.72413793],0
p5,1,0.221686,1.493425,[ 5 64] ; [ 1 46],[ 3.56896552 65.43103448] ; [ 2.43103448 44.56896552],0
b2,1,0.281959,1.157623,[ 9 34] ; [ 7 14],[10.75 32.25] ; [ 5.25 15.75],0
b3,1,0.281959,1.157623,[ 9 34] ; [ 7 14],[10.75 32.25] ; [ 5.25 15.75],0
a7,1,0.290394,1.117792,[45 24] ; [35 12],[47.5862069 21.4137931] ; [32.4137931 14.5862069],0
b4,1,0.307785,1.040155,[39 30] ; [31 16],[41.63793103 27.36206897] ; [28.36206897 18.63793103],0
s7,1,0.308854,1.035569,[25 39] ; [13 31],[22.51851852 41.48148148] ; [15.48148148 28.51851852],0
v4,1,0.344625,0.893149,[63  4] ; [41  5],[61.66371681  5.33628319] ; [42.33628319  3.66371681],0
u1,1,0.34697,0.884509,[ 8 61] ; [ 3 44],[ 6.54310345 62.45689655] ; [ 4.45689655 42.54310345],0
d4,1,0.362495,0.829233,[50 18] ; [38  9],[52.03478261 15.96521739] ; [35.96521739 11.03478261],0
n2,1,0.420287,0.649513,[15  4] ; [10  5],[13.97058824  5.02941176] ; [11.02941176  3.97058824],0
d2,1,0.427291,0.630176,[27 42] ; [15 32],[24.98275862 44.01724138] ; [17.01724138 29.98275862],0
s2,1,0.431066,0.619949,[24 44] ; [20 27],[26.0173913 41.9826087] ; [17.9826087 29.0173913],0
