Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.000423,12.427491,[ 5 38] ; [8 6],[ 9.80701754 33.19298246] ; [ 3.19298246 10.80701754],1
s8,1,0.000858,11.111111,[ 7 41] ; [9 7],[12. 36.] ; [ 4. 12.],1
s6,1,0.004947,7.898803,[14 34] ; [11  5],[18.75 29.25] ; [6.25 9.75],0
u3,1,0.005019,7.872671,[ 3 21] ; [4 2],[ 5.6 18.4] ; [1.4 4.6],0
p4,1,0.009237,6.776471,[18 30] ; [12  4],[22.5 25.5] ; [7.5 8.5],0
d5,1,0.01993,5.417989,[23 25] ; [13  3],[27. 21.] ; [9. 7.],0
v1,1,0.021135,5.315615,[12 36] ; [9 7],[15.75 32.25] ; [ 5.25 10.75],0
v2,1,0.022651,5.195048,[13 34] ; [9 6],[16.67741935 30.32258065] ; [5.32258065 9.67741935],0
p10,1,0.024509,5.058216,[22 25] ; [12  3],[25.77419355 21.22580645] ; [8.22580645 6.77419355],0
d1,1,0.040026,4.216764,[11 37] ; [8 8],[14.25 33.75] ; [ 4.75 11.25],0
d4,1,0.0457,3.992617,[29 19] ; [14  2],[32.25 15.75] ; [10.75  5.25],0
p3,1,0.050861,3.812838,[ 9 38] ; [7 9],[11.93650794 35.06349206] ; [ 4.06349206 11.93650794],0
p5,1,0.051326,3.797609,[ 5 42] ; [ 5 11],[ 7.46031746 39.53968254] ; [ 2.53968254 13.46031746],0
p11,1,0.054485,3.697778,[26 22] ; [13  3],[29.25 18.75] ; [9.75 6.25],0
a2,1,0.059779,3.543503,[ 2 46] ; [ 3 13],[ 3.75 44.25] ; [ 1.25 14.75],0
d2,1,0.061707,3.490909,[12 36] ; [8 8],[15. 33.] ; [ 5. 11.],0
p8,1,0.069361,3.29807,[12 35] ; [8 8],[14.92063492 32.07936508] ; [ 5.07936508 10.92063492],0
p7,1,0.080856,3.047619,[18 30] ; [10  6],[21. 27.] ; [7. 9.],0
p9,1,0.103251,2.654602,[26 20] ; [12  3],[28.6557377 17.3442623] ; [9.3442623 5.6557377],0
n5,1,0.107954,2.583917,[25 23] ; [12  4],[27.75 20.25] ; [9.25 6.75],0
r4,1,0.108462,2.57649,[11 37] ; [7 9],[13.5 34.5] ; [ 4.5 11.5],0
p12,1,0.137395,2.206897,[ 3 45] ; [ 3 13],[ 4.5 43.5] ; [ 1.5 14.5],0
n4,1,0.14812,2.091503,[23 25] ; [11  5],[25.5 22.5] ; [8.5 7.5],0
a5,1,0.191966,1.702463,[24 24] ; [11  5],[26.25 21.75] ; [8.75 7.25],0
n6,1,0.211734,1.559534,[27 20] ; [12  4],[29.0952381 17.9047619] ; [9.9047619 6.0952381],0
b4,1,0.233038,1.422222,[32 16] ; [8 8],[30. 18.] ; [10.  6.],0
s5,1,0.233038,1.422222,[ 6 42] ; [ 4 12],[ 7.5 40.5] ; [ 2.5 13.5],0
r1,1,0.233038,1.422222,[16 32] ; [8 8],[18. 30.] ; [ 6. 10.],0
d3,1,0.248213,1.333333,[22 26] ; [10  6],[24. 24.] ; [8. 8.],0
n3,1,0.304807,1.053044,[13  7] ; [3 4],[11.85185185  8.14814815] ; [4.14814815 2.85185185],0
s2,1,0.321121,0.984375,[10 38] ; [ 5 10],[11.42857143 36.57142857] ; [ 3.57142857 11.42857143],0
a4,1,0.335504,0.927536,[12 36] ; [ 6 10],[13.5 34.5] ; [ 4.5 11.5],0
b3,1,0.351055,0.86964,[ 8 19] ; [5 6],[ 9.23684211 17.76315789] ; [3.76315789 7.23684211],0
b2,1,0.351055,0.86964,[ 8 19] ; [5 6],[ 9.23684211 17.76315789] ; [3.76315789 7.23684211],0
p6,1,0.377624,0.778424,[ 7 39] ; [ 4 12],[ 8.16129032 37.83870968] ; [ 2.83870968 13.16129032],0
p1,1,0.41981,0.650847,[ 3 45] ; [ 2 14],[ 3.75 44.25] ; [ 1.25 14.75],0
a3,1,0.427939,0.628409,[24 23] ; [10  6],[25.36507937 21.63492063] ; [8.63492063 7.36507937],0
p2,1,0.459543,0.547009,[28 20] ; [11  5],[29.25 18.75] ; [9.75 6.25],0
u2,1,0.464214,0.535714,[12 12] ; [4 2],[12.8 11.2] ; [3.2 2.8],0
b5,1,0.464986,0.533867,[29 19] ; [8 8],[27.75 20.25] ; [9.25 6.75],0
b1,1,0.464986,0.533867,[29 19] ; [8 8],[27.75 20.25] ; [9.25 6.75],0
v4,1,0.468525,0.525452,[25 23] ; [10  6],[26.25 21.75] ; [8.75 7.25],0
s3,1,0.55539,0.34775,[12 35] ; [ 5 10],[12.88709677 34.11290323] ; [ 4.11290323 10.88709677],0
a6,1,0.563703,0.333333,[23 25] ; [9 7],[24. 24.] ; [8. 8.],0
r3,1,0.602681,0.270971,[32 15] ; [12  4],[32.82539683 14.17460317] ; [11.17460317  4.82539683],0
u1,1,0.732779,0.116576,[ 2 46] ; [ 1 15],[ 2.25 45.75] ; [ 0.75 15.25],0
a8,1,0.784846,0.074534,[ 8 38] ; [ 2 12],[ 7.66666667 38.33333333] ; [ 2.33333333 11.66666667],0
n1,1,0.852777,0.034439,[ 5 15] ; [2 5],[ 5.18518519 14.81481481] ; [1.81481481 5.18518519],0
a7,1,0.885178,0.020854,[25 23] ; [8 8],[24.75 23.25] ; [8.25 7.75],0
n2,1,0.921775,0.009643,[11  9] ; [4 3],[11.11111111  8.88888889] ; [3.88888889 3.11111111],0
s1,1,1.0,0.0,[ 3 45] ; [ 1 15],[ 3. 45.] ; [ 1. 15.],0
