Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,7.9e-05,15.57823,[18 24] ; [104  34],[28.46666667 13.53333333] ; [93.53333333 44.46666667],1
n4,1,0.000502,12.107428,[18 25] ; [98 40],[27.55801105 15.44198895] ; [88.44198895 49.55801105],1
p11,1,0.004076,8.249712,[23 20] ; [106  33],[30.47802198 12.52197802] ; [98.52197802 40.47802198],0
v3,1,0.004645,8.012807,[ 6 34] ; [52 81],[13.41040462 26.58959538] ; [44.58959538 88.41040462],0
p4,1,0.005018,7.872915,[12 30] ; [73 64],[19.94413408 22.05586592] ; [65.05586592 71.94413408],0
r4,1,0.016907,5.705994,[35  8] ; [130   9],[38.98351648  4.01648352] ; [126.01648352  12.98351648],0
s6,1,0.017248,5.670977,[20 22] ; [93 44],[26.51396648 15.48603352] ; [86.48603352 50.51396648],0
p10,1,0.018395,5.558163,[23 18] ; [103  34],[29.02247191 11.97752809] ; [96.97752809 40.02247191],0
p3,1,0.023409,5.137921,[10 33] ; [59 80],[16.3021978 26.6978022] ; [52.6978022 86.3021978],0
p2,1,0.039342,4.24605,[27 16] ; [109  30],[32.13186813 10.86813187] ; [103.86813187  35.13186813],0
u2,1,0.043787,4.064771,[17  5] ; [36 32],[12.95555556  9.04444444] ; [40.04444444 27.95555556],0
p9,1,0.064099,3.428026,[25 16] ; [103  33],[29.64971751 11.35028249] ; [98.35028249 37.64971751],0
v4,1,0.071262,3.253721,[37  5] ; [133   6],[39.44751381  2.55248619] ; [130.55248619   8.44751381],0
b1,1,0.075114,3.167576,[21 22] ; [47 92],[16.06593407 26.93406593] ; [51.93406593 87.06593407],0
r2,1,0.081032,3.044086,[38  5] ; [132   6],[40.38674033  2.61325967] ; [129.61325967   8.38674033],0
s7,1,0.093145,2.819163,[11 28] ; [57 75],[15.50877193 23.49122807] ; [52.49122807 79.50877193],0
a7,1,0.099531,2.713048,[25 18] ; [98 39],[29.38333333 13.61666667] ; [93.61666667 43.38333333],0
s8,1,0.132068,2.268029,[11 32] ; [53 86],[15.12087912 27.87912088] ; [48.87912088 90.12087912],0
b5,1,0.215891,1.531479,[29 14] ; [79 60],[25.51648352 17.48351648] ; [82.48351648 56.51648352],0
p7,1,0.239973,1.380754,[20 20] ; [81 53],[23.2183908 16.7816092] ; [77.7816092 56.2183908],0
v2,1,0.287735,1.130189,[15 23] ; [65 67],[17.88235294 20.11764706] ; [62.11764706 69.88235294],0
s5,1,0.292832,1.106554,[ 8 32] ; [38 96],[10.57471264 29.42528736] ; [35.42528736 98.57471264],0
b3,1,0.314615,1.011202,[ 3 18] ; [18 55],[ 4.69148936 16.30851064] ; [16.30851064 56.69148936],0
b2,1,0.314615,1.011202,[ 3 18] ; [18 55],[ 4.69148936 16.30851064] ; [16.30851064 56.69148936],0
s4,1,0.334264,0.932307,[ 9 34] ; [ 20 116],[ 6.96648045 36.03351955] ; [ 22.03351955 113.96648045],0
b4,1,0.334935,0.929723,[28 15] ; [79 60],[25.28021978 17.71978022] ; [81.71978022 57.28021978],0
u4,1,0.377288,0.779521,[ 1 42] ; [  1 138],[ 0.47252747 42.52747253] ; [  1.52747253 137.47252747],0
p8,1,0.387524,0.746696,[16 26] ; [63 75],[18.43333333 23.56666667] ; [60.56666667 77.43333333],0
r3,1,0.403564,0.697681,[38  4] ; [129   8],[39.18435754  2.81564246] ; [127.81564246   9.18435754],0
s2,1,0.419511,0.651684,[18 25] ; [67 70],[20.30555556 22.69444444] ; [64.69444444 72.30555556],0
a4,1,0.438206,0.600976,[ 7 36] ; [ 30 108],[ 8.79005525 34.20994475] ; [ 28.20994475 109.79005525],0
a8,1,0.447015,0.578209,[ 4 38] ; [ 18 110],[ 5.43529412 36.56470588] ; [ 16.56470588 111.43529412],0
a6,1,0.452964,0.563224,[26 17] ; [75 64],[23.86263736 19.13736264] ; [77.13736264 61.86263736],0
v1,1,0.50548,0.443413,[17 25] ; [63 73],[18.87640449 23.12359551] ; [61.12359551 74.87640449],0
p1,1,0.534049,0.386682,[ 3 40] ; [ 14 124],[ 4.03867403 38.96132597] ; [ 12.96132597 125.03867403],0
n1,1,0.566477,0.328613,[ 6 11] ; [14 18],[ 6.93877551 10.06122449] ; [13.06122449 18.93877551],0
u3,1,0.582603,0.302046,[16  7] ; [43 25],[14.91208791  8.08791209] ; [44.08791209 23.91208791],0
a3,1,0.6,0.274996,[20 23] ; [70 67],[21.5 21.5] ; [68.5 68.5],0
d1,1,0.600122,0.274812,[18 25] ; [52 87],[16.53846154 26.46153846] ; [53.46153846 85.53846154],0
d5,1,0.705497,0.142817,[31 12] ; [96 43],[30.00549451 12.99450549] ; [96.99450549 42.00549451],0
s1,1,0.738717,0.111258,[ 3 38] ; [  8 128],[ 2.5480226 38.4519774] ; [  8.4519774 127.5480226],0
u1,1,0.753446,0.098658,[ 2 41] ; [  5 134],[ 1.65384615 41.34615385] ; [  5.34615385 133.65384615],0
d4,1,0.76701,0.087787,[32 10] ; [102  36],[31.26666667 10.73333333] ; [102.73333333  35.26666667],0
n3,1,0.773848,0.082567,[11  6] ; [22 10],[11.44897959  5.55102041] ; [21.55102041 10.44897959],0
s3,1,0.821192,0.051081,[26 17] ; [79 56],[25.36516854 17.63483146] ; [79.63483146 55.36516854],0
d3,1,0.863618,0.029505,[26 17] ; [82 57],[25.51648352 17.48351648] ; [82.48351648 56.51648352],0
p6,1,0.867572,0.027803,[12 28] ; [43 94],[12.42937853 27.57062147] ; [42.57062147 94.42937853],0
d2,1,0.913722,0.011739,[10 33] ; [ 31 107],[ 9.74033149 33.25966851] ; [ 31.25966851 106.74033149],0
a1,1,0.947858,0.004277,[ 1 42] ; [  3 136],[ 0.94505495 42.05494505] ; [  3.05494505 135.94505495],0
n2,1,0.977929,0.000765,[12  5] ; [22  9],[12.04166667  4.95833333] ; [21.95833333  9.04166667],0
