Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.031972,4.6,[19  4] ; [26 20],[15.  8.] ; [30. 16.],0
s7,1,0.041167,4.169118,[ 7 14] ; [ 5 37],[ 4. 17.] ; [ 8. 34.],0
s1,1,0.062713,3.464139,[ 5 18] ; [ 3 43],[ 2.66666667 20.33333333] ; [ 5.33333333 40.66666667],0
a3,1,0.092047,2.83821,[16  6] ; [23 22],[12.80597015  9.19402985] ; [26.19402985 18.80597015],0
b3,1,0.096442,2.763413,[3 9] ; [14 12],[5.36842105 6.63157895] ; [11.63157895 14.36842105],0
b2,1,0.096442,2.763413,[3 9] ; [14 12],[5.36842105 6.63157895] ; [11.63157895 14.36842105],0
b4,1,0.173149,1.855462,[14  9] ; [20 26],[11.33333333 11.66666667] ; [22.66666667 23.33333333],0
p9,1,0.20433,1.611151,[ 6 17] ; [18 25],[ 8.36363636 14.63636364] ; [15.63636364 27.36363636],0
d1,1,0.218823,1.512075,[11 12] ; [15 31],[ 8.66666667 14.33333333] ; [17.33333333 28.66666667],0
p10,1,0.228949,1.447378,[10 13] ; [13 32],[ 7.77941176 15.22058824] ; [15.22058824 29.77941176],0
u2,1,0.299328,1.077188,[3 4] ; [ 5 17],[1.93103448 5.06896552] ; [ 6.06896552 15.93103448],0
a6,1,0.306556,1.045455,[ 9 14] ; [24 22],[11. 12.] ; [22. 24.],0
p3,1,0.306836,1.044247,[ 3 19] ; [11 34],[ 4.59701493 17.40298507] ; [ 9.40298507 35.59701493],0
s8,1,0.364763,0.821429,[ 3 20] ; [ 3 43],[ 2. 21.] ; [ 4. 42.],0
p1,1,0.364763,0.821429,[ 1 22] ; [ 5 41],[ 2. 21.] ; [ 4. 42.],0
d5,1,0.388531,0.743534,[15  8] ; [25 21],[13.33333333  9.66666667] ; [26.66666667 19.33333333],0
v2,1,0.396614,0.718568,[ 7 15] ; [10 35],[ 5.58208955 16.41791045] ; [11.41791045 33.58208955],0
v3,1,0.535825,0.383333,[ 6 17] ; [ 9 37],[ 5. 18.] ; [10. 36.],0
n2,1,0.535899,0.383193,[9 9] ; [ 8 12],[8.05263158 9.94736842] ; [ 8.94736842 11.05263158],0
n3,1,0.552033,0.353688,[ 8 10] ; [ 7 13],[ 7.10526316 10.89473684] ; [ 7.89473684 12.10526316],0
p4,1,0.593879,0.284326,[ 4 18] ; [11 35],[ 4.85294118 17.14705882] ; [10.14705882 35.85294118],0
r2,1,0.59536,0.282051,[14  8] ; [25 19],[13.  9.] ; [26. 18.],0
n5,1,0.606445,0.265385,[12 11] ; [27 19],[13. 10.] ; [26. 20.],0
a5,1,0.609185,0.261364,[12 11] ; [21 25],[11. 12.] ; [22. 24.],0
s3,1,0.618705,0.247691,[ 8 15] ; [13 32],[ 7.10294118 15.89705882] ; [13.89705882 31.10294118],0
s4,1,0.628648,0.233898,[ 4 19] ; [ 6 40],[ 3.33333333 19.66666667] ; [ 6.66666667 39.33333333],0
p8,1,0.654866,0.19982,[ 4 19] ; [ 6 39],[ 3.38235294 19.61764706] ; [ 6.61764706 38.38235294],0
u3,1,0.665984,0.186335,[1 6] ; [ 5 18],[1.4 5.6] ; [ 4.6 18.4],0
s2,1,0.68665,0.162736,[ 6 17] ; [10 36],[ 5.33333333 17.66666667] ; [10.66666667 35.33333333],0
s6,1,0.68665,0.162736,[ 6 17] ; [10 36],[ 5.33333333 17.66666667] ; [10.66666667 35.33333333],0
p7,1,0.70297,0.145401,[ 5 16] ; [13 33],[ 5.64179104 15.35820896] ; [12.35820896 33.64179104],0
b1,1,0.723192,0.125455,[14  9] ; [30 16],[14.66666667  8.33333333] ; [29.33333333 16.66666667],0
a7,1,0.733451,0.115966,[12 11] ; [22 24],[11.33333333 11.66666667] ; [22.66666667 23.33333333],0
n6,1,0.746143,0.104801,[10 12] ; [19 27],[ 9.38235294 12.61764706] ; [19.61764706 26.38235294],0
p2,1,0.753695,0.098452,[ 9 13] ; [17 29],[ 8.41176471 13.58823529] ; [17.58823529 28.41176471],0
a2,1,0.790325,0.070697,[ 3 20] ; [ 5 41],[ 2.66666667 20.33333333] ; [ 5.33333333 40.66666667],0
d2,1,0.806387,0.060069,[ 9 14] ; [19 26],[ 9.47058824 13.52941176] ; [18.52941176 26.47058824],0
a4,1,0.808996,0.058429,[ 7 16] ; [15 30],[ 7.44117647 15.55882353] ; [14.55882353 30.44117647],0
a1,1,0.816118,0.054075,[ 4 19] ; [ 7 39],[ 3.66666667 19.33333333] ; [ 7.33333333 38.66666667],0
s5,1,0.840435,0.040537,[ 3 20] ; [ 5 39],[ 2.74626866 20.25373134] ; [ 5.25373134 38.74626866],0
p6,1,0.840435,0.040537,[ 3 20] ; [ 5 39],[ 2.74626866 20.25373134] ; [ 5.25373134 38.74626866],0
r3,1,0.860556,0.030859,[ 9 14] ; [17 29],[ 8.66666667 14.33333333] ; [17.33333333 28.66666667],0
n1,1,0.88012,0.022746,[ 5 13] ; [ 6 14],[ 5.21052632 12.78947368] ; [ 5.78947368 14.21052632],0
v1,1,0.894697,0.01752,[ 7 16] ; [13 32],[ 6.76470588 16.23529412] ; [13.23529412 31.76470588],0
d3,1,0.927792,0.008213,[12 11] ; [24 21],[12.17647059 10.82352941] ; [23.82352941 21.17647059],0
v4,1,1.0,0.0,[13 10] ; [26 20],[13. 10.] ; [26. 20.],0
n4,1,1.0,0.0,[13 10] ; [26 20],[13. 10.] ; [26. 20.],0
b5,1,1.0,0.0,[12 11] ; [24 22],[12. 11.] ; [24. 22.],0
a8,1,1.0,0.0,[ 1 21] ; [ 2 42],[ 1. 21.] ; [ 2. 42.],0
