Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,35.254503,[11 21] ; [80 11],[23.67479675  8.32520325] ; [67.32520325 23.67479675],1
p10,1,0.003139,8.72466,[20 12] ; [78 12],[25.70491803  6.29508197] ; [72.29508197 17.70491803],0
p9,1,0.00403,8.270039,[22 10] ; [82  9],[27.05691057  4.94308943] ; [76.94308943 14.05691057],0
v1,1,0.02579,4.970015,[12 19] ; [55 34],[17.30833333 13.69166667] ; [49.69166667 39.30833333],0
d1,1,0.036734,4.362723,[14 18] ; [59 32],[18.99186992 13.00813008] ; [54.00813008 36.99186992],0
u2,1,0.04394,4.058847,[11  5] ; [13 21],[7.68 8.32] ; [16.32 17.68],0
n6,1,0.056935,3.624481,[23  9] ; [78 12],[26.49180328  5.50819672] ; [74.50819672 15.49180328],0
s3,1,0.067781,3.335964,[ 9 23] ; [42 48],[13.37704918 18.62295082] ; [37.62295082 52.37704918],0
u1,1,0.094194,2.801199,[ 2 30] ; [17 74],[ 4.94308943 27.05691057] ; [14.05691057 76.94308943],0
v3,1,0.113455,2.505428,[ 6 26] ; [29 57],[ 9.49152542 22.50847458] ; [25.50847458 60.49152542],0
b3,1,0.115361,2.479196,[ 4 12] ; [25 28],[6.72463768 9.27536232] ; [22.27536232 30.72463768],0
b2,1,0.115361,2.479196,[ 4 12] ; [25 28],[6.72463768 9.27536232] ; [22.27536232 30.72463768],0
b1,1,0.127078,2.327844,[18 14] ; [37 54],[14.30894309 17.69105691] ; [40.69105691 50.30894309],0
d5,1,0.129022,2.304231,[22  9] ; [76 15],[24.90163934  6.09836066] ; [73.09836066 17.90163934],0
n1,1,0.143687,2.138024,[ 2 11] ; [5 7],[3.64 9.36] ; [3.36 8.64],0
d4,1,0.152909,2.042992,[23  9] ; [76 15],[25.75609756  6.24390244] ; [73.24390244 17.75609756],0
u3,1,0.15918,1.981995,[10  6] ; [14 20],[7.68 8.32] ; [16.32 17.68],0
a1,1,0.169761,1.885051,[ 3 29] ; [ 3 88],[ 1.56097561 30.43902439] ; [ 4.43902439 86.56097561],0
p2,1,0.187703,1.735554,[26  6] ; [82  9],[28.09756098  3.90243902] ; [79.90243902 11.09756098],0
a3,1,0.210618,1.567171,[16 16] ; [57 34],[18.99186992 13.00813008] ; [54.00813008 36.99186992],0
a6,1,0.273702,1.198101,[18 14] ; [61 30],[20.55284553 11.44715447] ; [58.44715447 32.55284553],0
a8,1,0.291984,1.11045,[ 2 29] ; [11 70],[ 3.59821429 27.40178571] ; [ 9.40178571 71.59821429],0
s5,1,0.29492,1.097023,[ 6 24] ; [26 61],[ 8.20512821 21.79487179] ; [23.79487179 63.20512821],0
p5,1,0.355524,0.853642,[ 2 30] ; [11 80],[ 3.38211382 28.61788618] ; [ 9.61788618 81.38211382],0
p4,1,0.359707,0.838915,[22 10] ; [70 21],[23.93495935  8.06504065] ; [68.06504065 22.93495935],0
a4,1,0.361715,0.83193,[13 19] ; [45 45],[15.21311475 16.78688525] ; [42.78688525 47.21311475],0
a2,1,0.374507,0.788657,[ 5 27] ; [21 70],[ 6.76422764 25.23577236] ; [19.23577236 71.76422764],0
d2,1,0.389657,0.740012,[13 19] ; [45 46],[15.08943089 16.91056911] ; [42.91056911 48.08943089],0
p11,1,0.443768,0.586519,[26  6] ; [79 12],[27.31707317  4.68292683] ; [77.68292683 13.31707317],0
v4,1,0.453444,0.562028,[29  3] ; [85  5],[29.90163934  2.09836066] ; [84.09836066  5.90163934],0
p8,1,0.460426,0.544859,[21 11] ; [66 25],[22.63414634  9.36585366] ; [64.36585366 26.63414634],0
a5,1,0.484485,0.488751,[20 12] ; [63 28],[21.59349593 10.40650407] ; [61.40650407 29.59349593],0
s2,1,0.554646,0.349059,[10 22] ; [33 56],[11.37190083 20.62809917] ; [31.62809917 57.37190083],0
b4,1,0.581243,0.304229,[19 13] ; [59 32],[20.29268293 11.70731707] ; [57.70731707 33.29268293],0
p3,1,0.588465,0.292748,[19 13] ; [49 42],[17.69105691 14.30894309] ; [50.30894309 40.69105691],0
p1,1,0.608921,0.261749,[ 5 27] ; [11 80],[ 4.16260163 27.83739837] ; [11.83739837 79.16260163],0
s4,1,0.61174,0.257649,[ 4 28] ; [14 72],[ 4.88135593 27.11864407] ; [13.11864407 72.88135593],0
n2,1,0.658387,0.195489,[10  3] ; [9 4],[9.5 3.5] ; [9.5 3.5],0
p7,1,0.714546,0.133778,[25  6] ; [76 15],[25.66393443  5.33606557] ; [75.33606557 15.66393443],0
s6,1,0.715187,0.133151,[17 13] ; [52 34],[17.84482759 12.15517241] ; [51.15517241 34.84482759],0
n3,1,0.748233,0.103022,[9 4] ; [9 3],[9.36 3.64] ; [8.64 3.36],0
r1,1,0.748252,0.103006,[24  8] ; [70 20],[24.6557377  7.3442623] ; [69.3442623 20.6557377],0
