Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.000112,14.916717,[9 1] ; [ 8 27],[3.77777778 6.22222222] ; [13.22222222 21.77777778],1
r2,1,0.005038,7.865847,[9 1] ; [13 20],[5.11627907 4.88372093] ; [16.88372093 16.11627907],0
p2,1,0.011889,6.327311,[7 3] ; [ 9 25],[3.63636364 6.36363636] ; [12.36363636 21.63636364],0
d4,1,0.03994,4.220438,[9 1] ; [19 16],[6.22222222 3.77777778] ; [21.77777778 13.22222222],0
s6,1,0.058495,3.579545,[5 5] ; [ 7 28],[2.66666667 7.33333333] ; [ 9.33333333 25.66666667],0
v2,1,0.06639,3.370098,[5 5] ; [ 7 27],[2.72727273 7.27272727] ; [ 9.27272727 24.72727273],0
p8,1,0.072998,3.214286,[4 6] ; [ 5 30],[2. 8.] ; [ 7. 28.],0
u2,1,0.079746,3.070069,[2 2] ; [ 2 15],[0.76190476 3.23809524] ; [ 3.23809524 13.76190476],0
n5,1,0.10028,2.70108,[4 6] ; [24 11],[6.22222222 3.77777778] ; [21.77777778 13.22222222],0
a7,1,0.129942,2.293196,[7 3] ; [15 20],[4.88888889 5.11111111] ; [17.11111111 17.88888889],0
d3,1,0.196835,1.665703,[6 4] ; [13 22],[4.22222222 5.77777778] ; [14.77777778 20.22222222],0
a8,1,0.24979,1.324477,[2 7] ; [ 3 32],[1.02272727 7.97727273] ; [ 3.97727273 31.02272727],0
p3,1,0.251681,1.313948,[3 7] ; [ 5 30],[1.77777778 8.22222222] ; [ 6.22222222 28.77777778],0
s7,1,0.303659,1.058055,[3 6] ; [ 6 28],[1.88372093 7.11627907] ; [ 7.11627907 26.88372093],0
s5,1,0.310494,1.028571,[2 8] ; [ 3 32],[1.11111111 8.88888889] ; [ 3.88888889 31.11111111],0
s8,1,0.310494,1.028571,[2 8] ; [ 3 32],[1.11111111 8.88888889] ; [ 3.88888889 31.11111111],0
n6,1,0.328979,0.952912,[6 4] ; [14 19],[4.65116279 5.34883721] ; [15.34883721 17.65116279],0
n2,1,0.368066,0.810185,[2 1] ; [ 7 11],[1.28571429 1.71428571] ; [ 7.71428571 10.28571429],0
p4,1,0.379394,0.772665,[4 6] ; [ 9 26],[2.88888889 7.11111111] ; [10.11111111 24.88888889],0
b4,1,0.464214,0.535714,[7 3] ; [20 15],[6. 4.] ; [21. 14.],0
u3,1,0.496116,0.463235,[1 3] ; [ 2 15],[0.57142857 3.42857143] ; [ 2.42857143 14.57142857],0
b1,1,0.523726,0.40655,[6 4] ; [17 18],[5.11111111 4.88888889] ; [17.88888889 17.11111111],0
a5,1,0.572314,0.318826,[5 5] ; [21 14],[5.77777778 4.22222222] ; [20.22222222 14.77777778],0
d2,1,0.620474,0.245201,[5 5] ; [14 20],[4.31818182 5.68181818] ; [14.68181818 19.31818182],0
p10,1,0.634153,0.226471,[3 7] ; [13 21],[3.63636364 6.36363636] ; [12.36363636 21.63636364],0
p7,1,0.642986,0.214859,[3 7] ; [ 8 27],[2.44444444 7.55555556] ; [ 8.55555556 26.44444444],0
v1,1,0.653827,0.201109,[4 6] ; [11 23],[3.40909091 6.59090909] ; [11.59090909 22.40909091],0
p6,1,0.668374,0.18351,[1 9] ; [ 2 31],[0.69767442 9.30232558] ; [ 2.30232558 30.69767442],0
p9,1,0.672583,0.178595,[5 5] ; [14 19],[4.41860465 5.58139535] ; [14.58139535 18.41860465],0
p11,1,0.6885,0.160714,[5 5] ; [15 20],[4.44444444 5.55555556] ; [15.55555556 19.44444444],0
a3,1,0.693527,0.155294,[6 4] ; [18 16],[5.45454545 4.54545455] ; [18.54545455 15.45454545],0
s4,1,0.725134,0.123626,[1 9] ; [ 5 30],[1.33333333 8.66666667] ; [ 4.66666667 30.33333333],0
a2,1,0.725134,0.123626,[1 9] ; [ 5 30],[1.33333333 8.66666667] ; [ 4.66666667 30.33333333],0
a6,1,0.748428,0.102857,[4 6] ; [16 19],[4.44444444 5.55555556] ; [15.55555556 19.44444444],0
a4,1,0.756206,0.096389,[3 7] ; [12 22],[3.40909091 6.59090909] ; [11.59090909 22.40909091],0
n4,1,0.799846,0.064286,[7 3] ; [23 12],[6.66666667 3.33333333] ; [23.33333333 11.66666667],0
v3,1,0.834906,0.043436,[2 8] ; [ 6 29],[1.77777778 8.22222222] ; [ 6.22222222 28.77777778],0
p5,1,0.888662,0.019599,[1 9] ; [ 3 32],[0.88888889 9.11111111] ; [ 3.11111111 31.88888889],0
s2,1,0.888662,0.019599,[1 9] ; [ 3 32],[0.88888889 9.11111111] ; [ 3.11111111 31.88888889],0
d1,1,0.931419,0.007406,[3 7] ; [11 24],[3.11111111 6.88888889] ; [10.88888889 24.11111111],0
b5,1,0.936475,0.006352,[5 5] ; [17 18],[4.88888889 5.11111111] ; [17.11111111 17.88888889],0
n1,1,1.0,0.0,[1 2] ; [ 6 12],[1. 2.] ; [ 6. 12.],0
b3,1,1.0,0.0,[2 4] ; [ 8 16],[2. 4.] ; [ 8. 16.],0
b2,1,1.0,0.0,[2 4] ; [ 8 16],[2. 4.] ; [ 8. 16.],0
