Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.005943,7.567547,[3 1] ; [ 3 20],[0.88888889 3.11111111] ; [ 5.11111111 17.88888889],0
b4,1,0.006212,7.487822,[6 9] ; [30  8],[10.18867925  4.81132075] ; [25.81132075 12.18867925],0
p4,1,0.011033,6.459997,[8 7] ; [ 7 31],[ 4.24528302 10.75471698] ; [10.75471698 27.24528302],0
v2,1,0.025284,5.004319,[9 6] ; [10 27],[5.48076923 9.51923077] ; [13.51923077 23.48076923],0
a3,1,0.03214,4.590991,[11  4] ; [15 22],[7.5 7.5] ; [18.5 18.5],0
v3,1,0.046368,3.968191,[ 5 10] ; [ 4 34],[ 2.54716981 12.45283019] ; [ 6.45283019 31.54716981],0
a5,1,0.049424,3.860909,[10  5] ; [14 24],[6.79245283 8.20754717] ; [17.20754717 20.79245283],0
s6,1,0.056703,3.631297,[9 6] ; [12 26],[5.94339623 9.05660377] ; [15.05660377 22.94339623],0
s2,1,0.067155,3.351235,[5 9] ; [ 5 33],[ 2.69230769 11.30769231] ; [ 7.30769231 30.69230769],0
a1,1,0.098252,2.733684,[ 3 12] ; [ 2 36],[ 1.41509434 13.58490566] ; [ 3.58490566 34.41509434],0
s7,1,0.10331,2.653693,[5 9] ; [ 5 29],[ 2.91666667 11.08333333] ; [ 7.08333333 26.91666667],0
p10,1,0.103722,2.647362,[10  4] ; [17 20],[7.41176471 6.58823529] ; [19.58823529 17.41176471],0
b3,1,0.165167,1.926268,[1 9] ; [ 7 14],[2.58064516 7.41935484] ; [ 5.41935484 15.58064516],0
b2,1,0.165167,1.926268,[1 9] ; [ 7 14],[2.58064516 7.41935484] ; [ 5.41935484 15.58064516],0
b1,1,0.168261,1.898369,[11  4] ; [20 18],[8.77358491 6.22641509] ; [22.22641509 15.77358491],0
p2,1,0.168261,1.898369,[11  4] ; [20 18],[8.77358491 6.22641509] ; [22.22641509 15.77358491],0
a6,1,0.199786,1.643935,[8 7] ; [13 25],[5.94339623 9.05660377] ; [15.05660377 22.94339623],0
r3,1,0.225044,1.471915,[11  3] ; [23 15],[9.15384615 4.84615385] ; [24.84615385 13.15384615],0
p11,1,0.225672,1.467933,[11  4] ; [21 17],[9.05660377 5.94339623] ; [22.94339623 15.05660377],0
p9,1,0.230238,1.439388,[10  4] ; [19 17],[8.12 5.88] ; [20.88 15.12],0
b5,1,0.272388,1.204682,[7 8] ; [24 14],[8.77358491 6.22641509] ; [22.22641509 15.77358491],0
n1,1,0.29203,1.11024,[1 8] ; [ 5 12],[2.07692308 6.92307692] ; [ 3.92307692 13.07692308],0
p7,1,0.30218,1.064548,[7 8] ; [12 26],[5.37735849 9.62264151] ; [13.62264151 24.37735849],0
a2,1,0.316385,1.003831,[ 2 13] ; [ 2 36],[ 1.13207547 13.86792453] ; [ 2.86792453 35.13207547],0
d3,1,0.316696,1.002542,[9 6] ; [17 21],[7.35849057 7.64150943] ; [18.64150943 19.35849057],0
s8,1,0.34925,0.876181,[ 5 10] ; [ 8 30],[ 3.67924528 11.32075472] ; [ 9.32075472 28.67924528],0
d1,1,0.34925,0.876181,[ 5 10] ; [ 8 30],[ 3.67924528 11.32075472] ; [ 9.32075472 28.67924528],0
a4,1,0.34925,0.876181,[ 5 10] ; [ 8 30],[ 3.67924528 11.32075472] ; [ 9.32075472 28.67924528],0
d4,1,0.381136,0.767033,[11  4] ; [23 15],[9.62264151 5.37735849] ; [24.37735849 13.62264151],0
