Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,2.6e-05,17.661993,[ 8 21] ; [34 10],[16.68493151 12.31506849] ; [25.31506849 18.68493151],1
p8,1,0.000915,10.991917,[ 6 22] ; [27 17],[12.83333333 15.16666667] ; [20.16666667 23.83333333],1
p4,1,0.003843,8.356342,[12 17] ; [33 11],[17.87671233 11.12328767] ; [27.12328767 16.87671233],0
d2,1,0.007398,7.173672,[17 12] ; [12 32],[11.52054795 17.47945205] ; [17.47945205 26.52054795],0
p2,1,0.016747,5.722647,[19 10] ; [39  5],[23.04109589  5.95890411] ; [34.95890411  9.04109589],0
p10,1,0.018792,5.520734,[18 11] ; [37  6],[22.15277778  6.84722222] ; [32.84722222 10.15277778],0
u1,1,0.022694,5.191739,[ 5 24] ; [ 1 43],[ 2.38356164 26.61643836] ; [ 3.61643836 40.38356164],0
r3,1,0.030716,4.668779,[23  6] ; [42  2],[25.82191781  3.17808219] ; [39.17808219  4.82191781],0
s8,1,0.056528,3.636424,[14 15] ; [31 13],[17.87671233 11.12328767] ; [27.12328767 16.87671233],0
s3,1,0.066694,3.362564,[15 14] ; [32 12],[18.67123288 10.32876712] ; [28.32876712 15.67123288],0
p5,1,0.067634,3.339518,[ 1 27] ; [ 8 36],[ 3.5 24.5] ; [ 5.5 38.5],0
b5,1,0.085277,2.961336,[21  8] ; [23 21],[17.47945205 11.52054795] ; [26.52054795 17.47945205],0
p6,1,0.092173,2.836008,[10 19] ; [23 19],[13.47887324 15.52112676] ; [19.52112676 22.47887324],0
v2,1,0.097544,2.74525,[10 18] ; [24 19],[13.4084507 14.5915493] ; [20.5915493 22.4084507],0
a4,1,0.121946,2.392142,[13 16] ; [12 32],[ 9.93150685 19.06849315] ; [15.06849315 28.93150685],0
r4,1,0.157055,2.002351,[15 14] ; [30 14],[17.87671233 11.12328767] ; [27.12328767 16.87671233],0
v3,1,0.185323,1.75441,[ 8 20] ; [19 24],[10.64788732 17.35211268] ; [16.35211268 26.64788732],0
p11,1,0.226945,1.459908,[21  8] ; [37  7],[23.04109589  5.95890411] ; [34.95890411  9.04109589],0
b2,1,0.23909,1.385952,[11 11] ; [12 23],[ 8.87719298 13.12280702] ; [14.12280702 20.87719298],0
b3,1,0.23909,1.385952,[11 11] ; [12 23],[ 8.87719298 13.12280702] ; [14.12280702 20.87719298],0
s6,1,0.245479,1.348854,[19 10] ; [32  9],[21.12857143  7.87142857] ; [29.87142857 11.12857143],0
p1,1,0.251754,1.313546,[ 2 27] ; [ 7 37],[ 3.57534247 25.42465753] ; [ 5.42465753 38.57534247],0
s2,1,0.259897,1.269307,[16 13] ; [30 14],[18.2739726 10.7260274] ; [27.7260274 16.2739726],0
n2,1,0.272254,1.205357,[10  4] ; [14  2],[11.2  2.8] ; [12.8  3.2],0
b1,1,0.296283,1.09085,[ 9 20] ; [19 25],[11.12328767 17.87671233] ; [16.87671233 27.12328767],0
d5,1,0.304775,1.053185,[20  9] ; [35  9],[21.84931507  7.15068493] ; [33.15068493 10.84931507],0
a6,1,0.311422,1.024636,[15 14] ; [28 16],[17.08219178 11.91780822] ; [25.91780822 18.08219178],0
v4,1,0.317782,0.998052,[24  5] ; [39  4],[25.375  3.625] ; [37.625  5.375],0
d4,1,0.321068,0.984589,[24  5] ; [32 12],[22.24657534  6.75342466] ; [33.75342466 10.24657534],0
u3,1,0.33235,0.939719,[6 2] ; [7 6],[4.95238095 3.04761905] ; [8.04761905 4.95238095],0
a1,1,0.350324,0.872285,[ 1 28] ; [ 4 40],[ 1.98630137 27.01369863] ; [ 3.01369863 40.98630137],0
d3,1,0.36361,0.825385,[14 15] ; [26 18],[15.89041096 13.10958904] ; [24.10958904 19.89041096],0
a2,1,0.474791,0.510804,[ 5 24] ; [ 5 39],[ 3.97260274 25.02739726] ; [ 6.02739726 37.97260274],0
a5,1,0.506882,0.440499,[20  9] ; [27 17],[18.67123288 10.32876712] ; [28.32876712 15.67123288],0
s1,1,0.535861,0.383266,[ 1 28] ; [ 3 41],[ 1.5890411 27.4109589] ; [ 2.4109589 41.5890411],0
p9,1,0.581002,0.304617,[22  5] ; [38  6],[22.81690141  4.18309859] ; [37.18309859  6.81690141],0
u2,1,0.603848,0.269231,[4 4] ; [8 5],[4.57142857 3.42857143] ; [7.42857143 5.57142857],0
s4,1,0.699795,0.148685,[ 8 21] ; [14 30],[ 8.73972603 20.26027397] ; [13.26027397 30.73972603],0
n6,1,0.709706,0.138571,[22  7] ; [35  9],[22.64383562  6.35616438] ; [34.35616438  9.64383562],0
b4,1,0.731314,0.117908,[17 12] ; [24 20],[16.28767123 12.71232877] ; [24.71232877 19.28767123],0
a7,1,0.740315,0.10985,[16 13] ; [26 18],[16.68493151 12.31506849] ; [25.31506849 18.68493151],0
s5,1,0.744383,0.106312,[10 17] ; [16 23],[10.63636364 16.36363636] ; [15.36363636 23.63636364],0
d1,1,0.813072,0.055916,[14 15] ; [20 24],[13.50684932 15.49315068] ; [20.49315068 23.50684932],0
n3,1,0.825339,0.048701,[10  4] ; [12  4],[10.26666667  3.73333333] ; [11.73333333  4.26666667],0
n1,1,0.836687,0.042491,[8 6] ; [8 7],[7.72413793 6.27586207] ; [8.27586207 6.72413793],0
a3,1,0.856405,0.032744,[21  8] ; [31 13],[20.65753425  8.34246575] ; [31.34246575 12.65753425],0
n5,1,0.856405,0.032744,[21  8] ; [31 13],[20.65753425  8.34246575] ; [31.34246575 12.65753425],0
n4,1,0.856405,0.032744,[21  8] ; [31 13],[20.65753425  8.34246575] ; [31.34246575 12.65753425],0
r2,1,0.857222,0.032368,[24  3] ; [37  4],[24.22058824  2.77941176] ; [36.77941176  4.22058824],0
v1,1,0.946897,0.004436,[12 13] ; [21 22],[12.13235294 12.86764706] ; [20.86764706 22.13235294],0
