Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.000123,14.750476,[43  7] ; [5 9],[37.5 12.5] ; [10.5  3.5],1
p2,1,0.005464,7.719031,[42  9] ; [7 8],[37.86363636 13.13636364] ; [11.13636364  3.86363636],0
s2,1,0.00768,7.106555,[39 12] ; [6 9],[34.77272727 16.22727273] ; [10.22727273  4.77272727],0
s7,1,0.008696,6.884172,[34 12] ; [5 9],[29.9 16.1] ; [9.1 4.9],0
p6,1,0.01878,5.5219,[24 27] ; [ 2 13],[20.09090909 30.90909091] ; [5.90909091 9.09090909],0
v4,1,0.038575,4.279499,[49  2] ; [12  3],[47.13636364  3.86363636] ; [13.86363636  1.13636364],0
p7,1,0.060527,3.522876,[31 20] ; [ 5 10],[27.81818182 23.18181818] ; [8.18181818 6.81818182],0
a1,1,0.063057,3.455089,[ 1 50] ; [ 2 13],[ 2.31818182 48.68181818] ; [ 0.68181818 14.31818182],0
p3,1,0.073077,3.212513,[27 24] ; [ 4 11],[23.95454545 27.04545455] ; [7.04545455 7.95454545],0
s8,1,0.087126,2.926697,[33 18] ; [6 9],[30.13636364 20.86363636] ; [8.86363636 6.13636364],0
b3,1,0.112162,2.523496,[ 8 15] ; [ 1 10],[ 6.08823529 16.91176471] ; [2.91176471 8.08823529],0
b2,1,0.112162,2.523496,[ 8 15] ; [ 1 10],[ 6.08823529 16.91176471] ; [2.91176471 8.08823529],0
n4,1,0.140967,2.167372,[36 13] ; [8 7],[33.6875 15.3125] ; [10.3125  4.6875],0
n3,1,0.15666,2.006173,[14  4] ; [4 4],[12.46153846  5.53846154] ; [5.53846154 2.46153846],0
p4,1,0.181031,1.789141,[32 19] ; [6 8],[29.81538462 21.18461538] ; [8.18461538 5.81538462],0
s6,1,0.18853,1.729064,[46  4] ; [12  3],[44.61538462  5.38461538] ; [13.38461538  1.61538462],0
s4,1,0.212702,1.552941,[19 32] ; [ 3 12],[17. 34.] ; [ 5. 10.],0
n6,1,0.219881,1.505151,[40  9] ; [10  5],[38.28125 10.71875] ; [11.71875  3.28125],0
v1,1,0.220013,1.504286,[29 21] ; [6 9],[26.92307692 23.07692308] ; [8.07692308 6.92307692],0
r4,1,0.287512,1.131237,[46  5] ; [12  3],[44.81818182  6.18181818] ; [13.18181818  1.81818182],0
