Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,73.206753,[ 3 32] ; [120  24],[24.05027933 10.94972067] ; [98.94972067 45.05027933],1
v4,1,0.0,34.587675,[16 19] ; [127  15],[28.27683616  6.72316384] ; [114.72316384  27.27683616],1
r2,1,1e-06,23.163046,[19 14] ; [131  13],[27.96610169  5.03389831] ; [122.03389831  21.96610169],1
r1,1,1.8e-05,18.379654,[14 21] ; [111  33],[24.44134078 10.55865922] ; [100.55865922  43.44134078],1
p11,1,3.3e-05,17.238071,[ 6 29] ; [81 63],[17.01117318 17.98882682] ; [69.98882682 74.01117318],1
p2,1,6.2e-05,16.04203,[ 9 26] ; [91 53],[19.55307263 15.44692737] ; [80.44692737 63.55307263],1
a7,1,0.000444,12.33618,[12 23] ; [96 48],[21.11731844 13.88268156] ; [86.88268156 57.11731844],1
p4,1,0.002149,9.418023,[ 5 29] ; [62 82],[12.79775281 21.20224719] ; [54.20224719 89.79775281],0
a1,1,0.002524,9.123447,[ 6 29] ; [  5 139],[ 2.15083799 32.84916201] ; [  8.84916201 135.15083799],0
d4,1,0.00263,9.047681,[18 17] ; [110  33],[25.16853933  9.83146067] ; [102.83146067  40.16853933],0
s6,1,0.002785,8.942973,[ 7 28] ; [68 74],[14.83050847 20.16949153] ; [60.16949153 81.83050847],0
v2,1,0.005587,7.678765,[ 7 28] ; [64 76],[14.2 20.8] ; [56.8 83.2],0
p7,1,0.007281,7.202205,[ 8 26] ; [70 73],[14.98305085 19.01694915] ; [63.01694915 79.98305085],0
d5,1,0.008175,6.994833,[18 17] ; [107  37],[24.44134078 10.55865922] ; [100.55865922  43.44134078],0
s3,1,0.016216,5.779293,[ 8 26] ; [66 77],[14.21468927 19.78531073] ; [59.78531073 83.21468927],0
s8,1,0.016404,5.759061,[ 2 33] ; [ 34 108],[ 7.11864407 27.88135593] ; [ 28.88135593 113.11864407],0
n6,1,0.021598,5.277856,[16 19] ; [96 48],[21.89944134 13.10055866] ; [90.10055866 53.89944134],0
v1,1,0.022121,5.236233,[ 6 29] ; [54 90],[11.73184358 23.26815642] ; [48.26815642 95.73184358],0
p8,1,0.022469,5.209126,[ 5 30] ; [49 95],[10.55865922 24.44134078] ; [ 43.44134078 100.55865922],0
u3,1,0.024879,5.032258,[ 4 12] ; [35 27],[8. 8.] ; [31. 31.],0
p3,1,0.028627,4.789903,[ 5 30] ; [47 95],[10.28248588 24.71751412] ; [ 41.71751412 100.28248588],0
d3,1,0.035067,4.441894,[14 21] ; [86 58],[19.55307263 15.44692737] ; [80.44692737 63.55307263],0
s2,1,0.037292,4.337037,[ 6 29] ; [50 91],[11.13636364 23.86363636] ; [44.86363636 96.13636364],0
n5,1,0.048142,3.905034,[24 11] ; [72 72],[18.77094972 16.22905028] ; [77.22905028 66.77094972],0
b3,1,0.067058,3.353608,[11 14] ; [21 63],[ 7.33944954 17.66055046] ; [24.66055046 59.33944954],0
b2,1,0.067058,3.353608,[11 14] ; [21 63],[ 7.33944954 17.66055046] ; [24.66055046 59.33944954],0
u1,1,0.068902,3.308992,[ 1 34] ; [ 20 124],[ 4.10614525 30.89385475] ; [ 16.89385475 127.10614525],0
d1,1,0.078451,3.096702,[11 24] ; [69 75],[15.6424581 19.3575419] ; [64.3575419 79.6424581],0
p6,1,0.081647,3.031801,[ 3 31] ; [ 31 110],[ 6.60571429 27.39428571] ; [ 27.39428571 113.60571429],0
n2,1,0.095577,2.777832,[10 11] ; [33 15],[13.08695652  7.91304348] ; [29.91304348 18.08695652],0
a6,1,0.097749,2.741898,[16 19] ; [88 56],[20.33519553 14.66480447] ; [83.66480447 60.33519553],0
s4,1,0.099813,2.708537,[ 9 26] ; [ 20 121],[ 5.76704545 29.23295455] ; [ 23.23295455 117.76704545],0
a5,1,0.133275,2.253933,[16 19] ; [86 58],[19.94413408 15.05586592] ; [82.05586592 61.94413408],0
b5,1,0.133538,2.250887,[15 20] ; [82 62],[18.96648045 16.03351955] ; [78.03351955 65.96648045],0
n3,1,0.152718,2.044894,[ 9 11] ; [30 17],[11.64179104  8.35820896] ; [27.35820896 19.64179104],0
s7,1,0.171819,1.867001,[ 6 27] ; [40 93],[ 9.14457831 23.85542169] ; [36.85542169 96.14457831],0
p1,1,0.217276,1.522272,[ 4 31] ; [  8 135],[ 2.35955056 32.64044944] ; [  9.64044944 133.35955056],0
p10,1,0.246361,1.343824,[ 6 29] ; [ 38 105],[ 8.65168539 26.34831461] ; [ 35.34831461 107.65168539],0
p12,1,0.277666,1.178476,[ 1 34] ; [  1 142],[ 0.39325843 34.60674157] ; [  1.60674157 141.39325843],0
a8,1,0.344761,0.892649,[ 1 32] ; [ 10 121],[ 2.21341463 30.78658537] ; [  8.78658537 122.21341463],0
a2,1,0.346467,0.886355,[ 4 31] ; [ 26 118],[ 5.86592179 29.13407821] ; [ 24.13407821 119.86592179],0
s5,1,0.360264,0.836974,[ 4 31] ; [ 25 115],[ 5.8 29.2] ; [ 23.2 116.8],0
u2,1,0.373597,0.791667,[ 6 10] ; [30 30],[7.57894737 8.42105263] ; [28.42105263 31.57894737],0
v3,1,0.448682,0.57398,[ 8 27] ; [41 99],[ 9.8 25.2] ; [ 39.2 100.8],0
n1,1,0.486126,0.485089,[ 9 12] ; [16 31],[ 7.72058824 13.27941176] ; [17.27941176 29.72058824],0
a4,1,0.606633,0.265108,[13 21] ; [48 95],[11.71751412 22.28248588] ; [49.28248588 93.71751412],0
b4,1,0.612148,0.25706,[20 15] ; [89 55],[21.31284916 13.68715084] ; [87.68715084 56.31284916],0
d2,1,0.637067,0.222598,[15 19] ; [70 74],[16.23595506 17.76404494] ; [68.76404494 75.23595506],0
s1,1,0.637813,0.221614,[ 3 32] ; [  9 133],[ 2.37288136 32.62711864] ; [  9.62711864 132.37288136],0
n4,1,0.723698,0.124977,[23 12] ; [90 54],[22.09497207 12.90502793] ; [90.90502793 53.09497207],0
b1,1,0.865306,0.028772,[20 15] ; [80 64],[19.55307263 15.44692737] ; [80.44692737 63.55307263],0
a3,1,0.910482,0.012641,[19 15] ; [82 62],[19.29213483 14.70786517] ; [81.70786517 62.29213483],0
