Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.025245,5.006994,[10  1] ; [25 21],[6.75438596 4.24561404] ; [28.24561404 17.75438596],0
s6,1,0.027209,4.877516,[7 4] ; [13 33],[3.85964912 7.14035088] ; [16.14035088 29.85964912],0
b4,1,0.031729,4.613085,[3 8] ; [29 17],[6.1754386 4.8245614] ; [25.8245614 20.1754386],0
p8,1,0.033398,4.525253,[6 5] ; [10 35],[3.14285714 7.85714286] ; [12.85714286 32.14285714],0
u3,1,0.044559,4.03525,[4 4] ; [ 3 18],[1.93103448 6.06896552] ; [ 5.06896552 15.93103448],0
p7,1,0.057569,3.60606,[7 4] ; [15 31],[4.24561404 6.75438596] ; [17.75438596 28.24561404],0
v4,1,0.060784,3.515876,[8 3] ; [19 27],[5.21052632 5.78947368] ; [21.78947368 24.21052632],0
a3,1,0.092617,2.828283,[3 8] ; [25 20],[5.5 5.5] ; [22.5 22.5],0
a5,1,0.106607,2.603811,[3 8] ; [25 21],[5.40350877 5.59649123] ; [22.59649123 23.40350877],0
p3,1,0.118822,2.432783,[5 6] ; [10 35],[2.94642857 8.05357143] ; [12.05357143 32.94642857],0
r1,1,0.118902,2.431725,[ 1 10] ; [15 31],[3.0877193 7.9122807] ; [12.9122807 33.0877193],0
p11,1,0.137305,2.207905,[8 3] ; [22 24],[5.78947368 5.21052632] ; [24.21052632 21.78947368],0
d1,1,0.184544,1.760643,[ 1 10] ; [13 33],[2.70175439 8.29824561] ; [11.29824561 34.70175439],0
b3,1,0.193824,1.688312,[1 8] ; [10 20],[2.53846154 6.46153846] ; [ 8.46153846 21.53846154],0
b2,1,0.193824,1.688312,[1 8] ; [10 20],[2.53846154 6.46153846] ; [ 8.46153846 21.53846154],0
n4,1,0.217165,1.523004,[8 3] ; [24 22],[6.1754386 4.8245614] ; [25.8245614 20.1754386],0
s1,1,0.219416,1.508186,[2 9] ; [ 3 43],[ 0.96491228 10.03508772] ; [ 4.03508772 41.96491228],0
u2,1,0.237552,1.395061,[5 3] ; [ 8 13],[3.5862069 4.4137931] ; [ 9.4137931 11.5862069],0
p2,1,0.325029,0.968602,[8 3] ; [26 20],[6.56140351 4.43859649] ; [27.43859649 18.56140351],0
s5,1,0.357069,0.848175,[2 9] ; [ 4 42],[1.15789474 9.84210526] ; [ 4.84210526 41.15789474],0
n3,1,0.392742,0.730435,[2 3] ; [14  9],[2.85714286 2.14285714] ; [13.14285714  9.85714286],0
d4,1,0.422569,0.64316,[6 5] ; [31 15],[7.14035088 3.85964912] ; [29.85964912 16.14035088],0
s2,1,0.423587,0.640342,[4 7] ; [11 34],[2.94642857 8.05357143] ; [12.05357143 32.94642857],0
s7,1,0.42663,0.631979,[4 7] ; [10 31],[2.96153846 8.03846154] ; [11.03846154 29.96153846],0
p10,1,0.498404,0.458333,[6 5] ; [19 25],[5. 6.] ; [20. 24.],0
s3,1,0.552665,0.352564,[4 7] ; [12 32],[3.2 7.8] ; [12.8 31.2],0
a6,1,0.577037,0.31105,[4 7] ; [21 25],[4.8245614 6.1754386] ; [20.1754386 25.8245614],0
b1,1,0.602995,0.270502,[6 5] ; [29 17],[6.75438596 4.24561404] ; [28.24561404 17.75438596],0
n6,1,0.627336,0.23569,[7 4] ; [25 20],[6.28571429 4.71428571] ; [25.71428571 19.28571429],0
v1,1,0.635034,0.225296,[3 8] ; [16 30],[3.66666667 7.33333333] ; [15.33333333 30.66666667],0
d3,1,0.667675,0.184333,[4 7] ; [20 26],[4.63157895 6.36842105] ; [19.36842105 26.63157895],0
n1,1,0.678088,0.172286,[2 3] ; [ 7 16],[1.60714286 3.39285714] ; [ 7.39285714 15.60714286],0
d5,1,0.688815,0.160371,[5 6] ; [24 22],[5.59649123 5.40350877] ; [23.40350877 22.59649123],0
b5,1,0.688815,0.160371,[5 6] ; [24 22],[5.59649123 5.40350877] ; [23.40350877 22.59649123],0
p6,1,0.702119,0.146277,[2 9] ; [ 6 38],[1.6 9.4] ; [ 6.4 37.6],0
s8,1,0.79488,0.067589,[2 9] ; [10 36],[2.31578947 8.68421053] ; [ 9.68421053 36.31578947],0
p4,1,0.80224,0.062725,[5 6] ; [19 27],[4.63157895 6.36842105] ; [19.36842105 26.63157895],0
p9,1,0.841196,0.040146,[6 5] ; [22 21],[5.7037037 5.2962963] ; [22.2962963 20.7037037],0
r3,1,0.846026,0.03771,[6 5] ; [26 19],[6.28571429 4.71428571] ; [25.71428571 19.28571429],0
v2,1,0.849086,0.036208,[4 7] ; [15 30],[3.73214286 7.26785714] ; [15.26785714 29.73214286],0
d2,1,0.936053,0.006437,[3 8] ; [12 34],[2.89473684 8.10526316] ; [12.10526316 33.89473684],0
a4,1,0.947759,0.004293,[3 8] ; [13 33],[3.0877193 7.9122807] ; [12.9122807 33.0877193],0
p1,1,0.966794,0.001733,[ 1 10] ; [ 4 42],[ 0.96491228 10.03508772] ; [ 4.03508772 41.96491228],0
a1,1,0.966794,0.001733,[ 1 10] ; [ 4 42],[ 0.96491228 10.03508772] ; [ 4.03508772 41.96491228],0
n2,1,0.971216,0.001302,[3 2] ; [14  9],[3.03571429 1.96428571] ; [13.96428571  9.03571429],0
a7,1,0.990568,0.00014,[5 6] ; [21 25],[5.01754386 5.98245614] ; [20.98245614 25.01754386],0
