Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,27.66369,[97 35] ; [ 8 25],[84. 48.] ; [21. 12.],1
n4,1,4e-06,21.161836,[106  27] ; [13 20],[95.34337349 37.65662651] ; [23.65662651  9.34337349],1
p10,1,0.000946,10.930232,[101  31] ; [15 17],[93.36585366 38.63414634] ; [22.63414634  9.36585366],1
v4,1,0.005681,7.648925,[123  10] ; [25  8],[118.57831325  14.42168675] ; [29.42168675  3.57831325],0
p9,1,0.020309,5.385165,[106  24] ; [20 12],[101.11111111  28.88888889] ; [24.88888889  7.11111111],0
u1,1,0.021361,5.297122,[ 26 107] ; [ 1 32],[ 21.63253012 111.36746988] ; [ 5.36746988 27.63253012],0
a2,1,0.026269,4.9382,[ 31 102] ; [ 2 31],[ 26.43975904 106.56024096] ; [ 6.56024096 26.43975904],0
p4,1,0.066937,3.356589,[68 65] ; [11 22],[63.29518072 69.70481928] ; [15.70481928 17.29518072],0
a6,1,0.068264,3.324287,[91 42] ; [17 16],[86.53012048 46.46987952] ; [21.46987952 11.53012048],0
p11,1,0.069381,3.297611,[98 35] ; [19 14],[93.74096386 39.25903614] ; [23.25903614  9.74096386],0
a7,1,0.09298,2.822002,[106  26] ; [22 11],[102.4  29.6] ; [25.6  7.4],0
d2,1,0.093162,2.818869,[73 58] ; [13 20],[68.69512195 62.30487805] ; [17.30487805 15.69512195],0
u2,1,0.11504,2.48358,[21 19] ; [8 2],[23.2 16.8] ; [5.8 4.2],0
s7,1,0.129368,2.30007,[55 70] ; [ 9 22],[51.28205128 73.71794872] ; [12.71794872 18.28205128],0
p2,1,0.138002,2.200103,[98 35] ; [20 13],[94.54216867 38.45783133] ; [23.45783133  9.54216867],0
s6,1,0.160869,1.966036,[87 44] ; [17 15],[83.58282209 47.41717791] ; [20.41717791 11.58282209],0
s8,1,0.186991,1.741166,[52 79] ; [ 9 24],[48.72560976 82.27439024] ; [12.27439024 20.72560976],0
r4,1,0.206244,1.5976,[113  20] ; [25  8],[110.56626506  22.43373494] ; [27.43373494  5.56626506],0
n2,1,0.208748,1.580085,[27  8] ; [7 5],[25.31914894  9.68085106] ; [8.68085106 3.31914894],0
b5,1,0.213613,1.54677,[88 45] ; [18 15],[84.92771084 48.07228916] ; [21.07228916 11.92771084],0
a8,1,0.229391,1.444635,[ 12 104] ; [ 1 29],[ 10.32876712 105.67123288] ; [ 2.67123288 27.32876712],0
s1,1,0.273657,1.198326,[  1 131] ; [ 1 31],[  1.6097561 130.3902439] ; [ 0.3902439 31.6097561],0
p3,1,0.299442,1.076678,[46 87] ; [ 8 24],[43.52727273 89.47272727] ; [10.47272727 21.52727273],0
r2,1,0.311832,1.0229,[123   9] ; [29  4],[121.6  10.4] ; [30.4  2.6],0
d4,1,0.320387,0.987367,[111  21] ; [30  3],[112.8  19.2] ; [28.2  4.8],0
s4,1,0.361136,0.833939,[ 20 111] ; [ 3 30],[ 18.37195122 112.62804878] ; [ 4.62804878 28.37195122],0
a4,1,0.364004,0.824033,[60 73] ; [12 21],[57.68674699 75.31325301] ; [14.31325301 18.68674699],0
p6,1,0.382634,0.762222,[ 25 106] ; [ 4 28],[ 23.30674847 107.69325153] ; [ 5.69325153 26.30674847],0
b2,1,0.391606,0.73395,[30 48] ; [8 8],[31.53191489 46.46808511] ; [6.46808511 9.53191489],0
b3,1,0.391606,0.73395,[30 48] ; [8 8],[31.53191489 46.46808511] ; [6.46808511 9.53191489],0
p12,1,0.400886,0.705666,[ 15 118] ; [ 2 30],[ 13.7030303 119.2969697] ; [ 3.2969697 28.7030303],0
d1,1,0.449805,0.571142,[86 47] ; [19 14],[84.12650602 48.87349398] ; [20.87349398 12.12650602],0
u3,1,0.470486,0.520833,[25 15] ; [5 5],[24. 16.] ; [6. 4.],0
b1,1,0.471397,0.518699,[45 88] ; [ 9 24],[43.26506024 89.73493976] ; [10.73493976 22.26506024],0
n3,1,0.472627,0.515828,[27  8] ; [8 4],[26.06382979  8.93617021] ; [8.93617021 3.06382979],0
s2,1,0.510355,0.433338,[63 66] ; [14 19],[61.31481481 67.68518519] ; [15.68518519 17.31481481],0
p1,1,0.524885,0.404283,[  8 125] ; [ 3 30],[  8.81325301 124.18674699] ; [ 2.18674699 30.81325301],0
d3,1,0.541424,0.372907,[92 41] ; [21 12],[90.53614458 42.46385542] ; [22.46385542 10.53614458],0
r3,1,0.56234,0.335669,[127   5] ; [31  2],[126.4   5.6] ; [31.6  1.4],0
p8,1,0.573651,0.316612,[35 98] ; [10 22],[36.27272727 96.72727273] ; [ 8.72727273 23.27272727],0
a1,1,0.591908,0.287374,[  7 126] ; [ 1 32],[  6.40963855 126.59036145] ; [ 1.59036145 31.40963855],0
