Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,80.092714,[ 78 104] ; [421 117],[126.13611111  55.86388889] ; [372.86388889 165.13611111],1
d3,1,0.0,67.489253,[86 96] ; [426 112],[129.42222222  52.57777778] ; [382.57777778 155.42222222],1
a2,1,0.0,26.166786,[ 19 163] ; [158 381],[ 44.67961165 137.32038835] ; [132.32038835 406.67961165],1
u1,1,7e-06,20.291793,[ 13 169] ; [119 420],[ 33.32038835 148.67961165] ; [ 98.67961165 440.32038835],1
b5,1,7e-06,20.142453,[85 97] ; [353 186],[110.5631068  71.4368932] ; [327.4368932 211.5631068],1
r4,1,0.00093,10.961623,[162  20] ; [516  23],[171.14563107  10.85436893] ; [506.85436893  32.14563107],1
r1,1,0.00242,9.200214,[138  44] ; [457  77],[151.24301676  30.75698324] ; [443.75698324  90.24301676],0
d1,1,0.003318,8.623591,[92 90] ; [339 200],[108.7961165  73.2038835] ; [322.2038835 216.7961165],0
r3,1,0.004745,7.97419,[170  12] ; [524  12],[175.91643454   6.08356546] ; [518.08356546  17.91643454],0
d4,1,0.00526,7.787686,[137  43] ; [459  80],[149.20723227  30.79276773] ; [446.79276773  92.20723227],0
u3,1,0.005288,7.778308,[20 29] ; [94 54],[28.35532995 20.64467005] ; [85.64467005 62.35532995],0
p4,1,0.00873,6.877347,[100  81] ; [355 182],[114.7005571  66.2994429] ; [340.2994429 196.7005571],0
d5,1,0.01645,5.754108,[139  42] ; [456  83],[149.57638889  31.42361111] ; [445.42361111  93.57638889],0
b1,1,0.037836,4.312387,[ 77 105] ; [182 357],[ 65.37864078 116.62135922] ; [193.62135922 345.37864078],0
v2,1,0.040777,4.185243,[89 88] ; [305 211],[100.63203463  76.36796537] ; [293.36796537 222.63203463],0
s5,1,0.049377,3.862489,[ 72 103] ; [171 348],[ 61.27521614 113.72478386] ; [181.72478386 337.27521614],0
n5,1,0.062743,3.463352,[147  34] ; [398 137],[137.77234637  43.22765363] ; [407.22765363 127.77234637],0
a1,1,0.108374,2.577778,[ 11 171] ; [ 18 521],[  7.32038835 174.67961165] ; [ 21.67961165 517.32038835],0
s7,1,0.122001,2.391441,[98 78] ; [251 262],[89.14949202 86.85050798] ; [259.85050798 253.14949202],0
b3,1,0.13241,2.264014,[51 65] ; [112 199],[44.28103044 71.71896956] ; [118.71896956 192.28103044],0
b2,1,0.13241,2.264014,[51 65] ; [112 199],[44.28103044 71.71896956] ; [118.71896956 192.28103044],0
n4,1,0.187364,1.738221,[148  33] ; [414 123],[141.67409471  39.32590529] ; [420.32590529 116.67409471],0
p12,1,0.271577,1.208765,[ 10 170] ; [ 43 492],[ 13.34265734 166.65734266] ; [ 39.65734266 495.34265734],0
s2,1,0.277762,1.178008,[88 93] ; [284 249],[94.30252101 86.69747899] ; [277.69747899 255.30252101],0
b4,1,0.293633,1.10289,[101  81] ; [323 216],[107.02912621  74.97087379] ; [316.97087379 222.02912621],0
a5,1,0.298088,1.082729,[130  52] ; [406 133],[135.30097087  46.69902913] ; [400.69902913 138.30097087],0
u2,1,0.319767,0.989899,[24 25] ; [84 63],[27. 22.] ; [81. 66.],0
p8,1,0.332819,0.937899,[97 82] ; [308 220],[102.53889675  76.46110325] ; [302.46110325 225.53889675],0
s8,1,0.350899,0.870202,[87 95] ; [234 300],[ 81.59497207 100.40502793] ; [239.40502793 294.59497207],0
s3,1,0.354697,0.856582,[111  69] ; [306 224],[105.71830986  74.28169014] ; [311.28169014 218.71830986],0
v4,1,0.414827,0.664924,[174   6] ; [525  12],[175.48117155   4.51882845] ; [523.51882845  13.48117155],0
n3,1,0.439681,0.597114,[35 14] ; [78 23],[36.91333333 12.08666667] ; [76.08666667 24.91333333],0
s1,1,0.450597,0.569149,[  3 178] ; [ 14 514],[  4.33991537 176.66008463] ; [ 12.66008463 515.33991537],0
p10,1,0.480583,0.49754,[148  32] ; [451  83],[151.00840336  28.99159664] ; [447.99159664  86.00840336],0
p1,1,0.503326,0.447916,[ 14 168] ; [ 50 486],[ 16.22284123 165.77715877] ; [ 47.77715877 488.22284123],0
s6,1,0.521691,0.410548,[117  59] ; [364 163],[120.42105263  55.57894737] ; [360.57894737 166.42105263],0
a8,1,0.530387,0.39365,[ 22 149] ; [ 71 408],[ 24.46615385 146.53384615] ; [ 68.53384615 410.46615385],0
s4,1,0.600122,0.274812,[ 32 149] ; [ 85 446],[ 29.74297753 151.25702247] ; [ 87.25702247 443.74297753],0
p5,1,0.642755,0.215157,[ 23 159] ; [ 61 476],[ 21.26286509 160.73713491] ; [ 62.73713491 474.26286509],0
p11,1,0.689249,0.1599,[149  33] ; [434 105],[147.16504854  34.83495146] ; [435.83495146 103.16504854],0
p7,1,0.69992,0.148555,[126  55] ; [356 167],[123.92329545  57.07670455] ; [358.07670455 164.92329545],0
n2,1,0.736948,0.112827,[36 13] ; [76 24],[36.83221477 12.16778523] ; [75.16778523 24.83221477],0
a4,1,0.737427,0.112401,[83 98] ; [239 299],[81.05980529 99.94019471] ; [240.94019471 297.05980529],0
n6,1,0.759535,0.093692,[156  25] ; [457  79],[154.74616457  26.25383543] ; [458.25383543  77.74616457],0
u4,1,0.772171,0.083831,[  4 178] ; [ 10 529],[  3.53398058 178.46601942] ; [ 10.46601942 528.53398058],0
p9,1,0.778052,0.079444,[157  24] ; [464  66],[158.08860759  22.91139241] ; [462.91139241  67.08860759],0
a3,1,0.785678,0.073945,[133  48] ; [389 148],[131.59052925  49.40947075] ; [390.40947075 146.59052925],0
v1,1,0.814183,0.055241,[98 79] ; [296 229],[99.34188034 77.65811966] ; [294.65811966 230.34188034],0
d2,1,0.826858,0.047844,[90 92] ; [261 277],[88.725 93.275] ; [262.275 275.725],0
n1,1,0.868569,0.027382,[19 30] ; [37 62],[18.54054054 30.45945946] ; [37.45945946 61.54054054],0
p3,1,0.890343,0.019008,[95 87] ; [284 254],[95.80277778 86.19722222] ; [283.19722222 254.80277778],0
v3,1,0.963236,0.002125,[ 71 107] ; [206 313],[ 70.74031564 107.25968436] ; [206.25968436 312.74031564],0
p6,1,0.970859,0.001334,[ 70 108] ; [208 323],[ 69.79407616 108.20592384] ; [208.20592384 322.79407616],0
