Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,219.891718,[288 111] ; [ 35 228],[194.67824773 204.32175227] ; [128.32175227 134.67824773],1
d3,1,0.0,172.077904,[360  41] ; [112 151],[285.04819277 115.95180723] ; [186.95180723  76.04819277],1
d5,1,0.0,170.88246,[391   9] ; [152 111],[327.60180995  72.39819005] ; [215.39819005  47.60180995],1
d4,1,0.0,162.286846,[393   5] ; [162 101],[334.17549168  63.82450832] ; [220.82450832  42.17549168],1
a2,1,0.0,88.42298,[158 244] ; [ 17 246],[105.78947368 296.21052632] ; [ 69.21052632 193.78947368],1
a4,1,0.0,70.297113,[241 160] ; [ 70 191],[188.38519637 212.61480363] ; [122.61480363 138.38519637],1
u1,1,0.0,65.319019,[119 283] ; [ 11 252],[ 78.58646617 323.41353383] ; [ 51.41353383 211.58646617],1
a5,1,0.0,44.21547,[339  63] ; [162 101],[302.86015038  99.13984962] ; [198.13984962  64.86015038],1
a3,1,0.0,26.752967,[315  85] ; [157 104],[285.62783661 114.37216339] ; [186.37216339  74.62783661],1
a6,1,9e-06,19.703833,[305  95] ; [158 105],[279.33634992 120.66365008] ; [183.66365008  79.33634992],1
p4,1,2.9e-05,17.49784,[250 150] ; [120 141],[223.903177 176.096823] ; [146.096823 114.903177],1
a7,1,6.5e-05,15.941182,[319  82] ; [172  90],[296.96983409 104.03016591] ; [194.03016591  67.96983409],1
s8,1,0.000132,14.612449,[194 205] ; [ 88 174],[170.22390318 228.77609682] ; [111.77609682 150.22390318],1
n6,1,0.001161,10.551891,[343  57] ; [197  63],[327.27272727  72.72727273] ; [212.72727273  47.27272727],0
r2,1,0.001234,10.438643,[392   6] ; [245  16],[384.71320182  13.28679818] ; [252.28679818   8.71320182],0
n4,1,0.002014,9.536811,[322  79] ; [183  79],[305.43740573  95.56259427] ; [199.56259427  62.43740573],0
s2,1,0.002273,9.314939,[217 180] ; [110 149],[197.89481707 199.10518293] ; [129.10518293 129.89481707],0
p9,1,0.004384,8.117597,[334  62] ; [196  64],[319.93902439  76.06097561] ; [210.06097561  49.93902439],0
p6,1,0.005854,7.594592,[146 252] ; [ 68 190],[129.83536585 268.16463415] ; [ 84.16463415 173.83536585],0
p10,1,0.007685,7.105419,[327  71] ; [191  69],[313.31914894  84.68085106] ; [204.68085106  55.31914894],0
p3,1,0.008098,7.011621,[199 202] ; [103 160],[182.38253012 218.61746988] ; [119.61746988 143.38253012],0
r3,1,0.010579,6.53474,[391   9] ; [245  16],[384.87140696  15.12859304] ; [251.12859304   9.87140696],0
r4,1,0.011013,6.463164,[388  14] ; [242  21],[380.84210526  21.15789474] ; [249.15789474  13.84210526],0
s7,1,0.013614,6.087509,[194 186] ; [103 148],[178.85895404 201.14104596] ; [118.14104596 132.85895404],0
v2,1,0.015915,5.81224,[243 146] ; [131 117],[228.39246468 160.60753532] ; [145.60753532 102.39246468],0
v4,1,0.017952,5.600852,[390  11] ; [243  17],[384.01361573  16.98638427] ; [248.98638427  11.01361573],0
s5,1,0.021605,5.277281,[133 258] ; [ 65 190],[119.84210526 271.15789474] ; [ 78.15789474 176.84210526],0
p8,1,0.026234,4.940538,[211 185] ; [115 144],[197.09312977 198.90687023] ; [128.90687023 130.09312977],0
u4,1,0.037225,4.3401,[ 10 392] ; [  1 262],[  6.64962406 395.35037594] ; [  4.35037594 258.64962406],0
p2,1,0.03895,4.263036,[339  62] ; [205  57],[329.02564103  71.97435897] ; [214.97435897  47.02564103],0
p12,1,0.040473,4.197959,[ 29 370] ; [  9 251],[ 23.00758725 375.99241275] ; [ 14.99241275 245.00758725],0
v3,1,0.050833,3.813775,[158 225] ; [ 86 170],[146.24726135 236.75273865] ; [ 97.75273865 158.24726135],0
n2,1,0.051974,3.776601,[55 30] ; [53 14],[60.39473684 24.60526316] ; [47.60526316 19.39473684],0
n5,1,0.061798,3.488463,[300 100] ; [177  82],[289.52959029 110.47040971] ; [187.47040971  71.52959029],0
