Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,57.922493,[106   5] ; [ 9 17],[93.17518248 17.82481752] ; [21.82481752  4.17518248],1
n5,1,1.7e-05,18.485731,[96 15] ; [12 13],[88.14705882 22.85294118] ; [19.85294118  5.14705882],1
p2,1,8.1e-05,15.527381,[93 16] ; [13 13],[85.58518519 23.41481481] ; [20.41481481  5.58518519],1
n6,1,0.003713,8.419091,[91 19] ; [14 11],[85.55555556 24.44444444] ; [19.44444444  5.55555556],0
a3,1,0.007713,7.098927,[91 20] ; [15 11],[85.88321168 25.11678832] ; [20.11678832  5.88321168],0
p8,1,0.009963,6.64151,[60 49] ; [ 7 19],[54.0962963 54.9037037] ; [12.9037037 13.0962963],0
p11,1,0.011343,6.410764,[93 18] ; [16 10],[88.31386861 22.68613139] ; [20.68613139  5.31386861],0
p7,1,0.012117,6.293623,[77 30] ; [12 14],[71.60150376 35.39849624] ; [17.39849624  8.60150376],0
v2,1,0.020117,5.401678,[71 35] ; [11 15],[65.84848485 40.15151515] ; [16.15151515  9.84848485],0
n4,1,0.047355,3.93274,[91 20] ; [16  9],[87.33088235 23.66911765] ; [19.66911765  5.33088235],0
r4,1,0.048298,3.899586,[95 16] ; [18  8],[91.55474453 19.44525547] ; [21.44525547  4.55474453],0
s1,1,0.049113,3.871501,[  3 107] ; [ 3 23],[  4.85294118 105.14705882] ; [ 1.14705882 24.85294118],0
s8,1,0.049772,3.84912,[64 47] ; [ 9 16],[59.58088235 51.41911765] ; [13.41911765 11.58088235],0
d5,1,0.060429,3.525568,[87 23] ; [16 10],[83.30882353 26.69117647] ; [19.69117647  6.30882353],0
p4,1,0.063859,3.434213,[65 46] ; [10 16],[60.76642336 50.23357664] ; [14.23357664 11.76642336],0
b5,1,0.088809,2.895835,[52 59] ; [17  9],[55.90510949 55.09489051] ; [13.09489051 12.90510949],0
d4,1,0.092964,2.822288,[92 18] ; [18  8],[88.97058824 21.02941176] ; [21.02941176  4.97058824],0
b3,1,0.09497,2.788043,[42 33] ; [ 7 13],[38.68421053 36.31578947] ; [10.31578947  9.68421053],0
b2,1,0.09497,2.788043,[42 33] ; [ 7 13],[38.68421053 36.31578947] ; [10.31578947  9.68421053],0
b1,1,0.129768,2.295281,[50 61] ; [16 10],[53.47445255 57.52554745] ; [12.52554745 13.47445255],0
v4,1,0.133344,2.253134,[102   7] ; [22  4],[100.11851852   8.88148148] ; [23.88148148  2.11851852],0
s4,1,0.168016,1.90056,[21 90] ; [ 2 24],[18.6350365 92.3649635] ; [ 4.3649635 21.6350365],0
a8,1,0.18004,1.797293,[11 96] ; [ 5 20],[12.96969697 94.03030303] ; [ 3.03030303 21.96969697],0
v3,1,0.218276,1.515671,[56 53] ; [ 9 15],[53.27067669 55.72932331] ; [11.72932331 12.27067669],0
n1,1,0.245224,1.350309,[14 13] ; [6 2],[15.42857143 11.57142857] ; [4.57142857 3.42857143],0
a2,1,0.254457,1.298667,[  9 102] ; [ 4 22],[ 10.53284672 100.46715328] ; [ 2.46715328 23.53284672],0
r1,1,0.270357,1.214934,[88 23] ; [18  8],[85.88321168 25.11678832] ; [20.11678832  5.88321168],0
s6,1,0.397702,0.715263,[75 34] ; [15 10],[73.20895522 35.79104478] ; [16.79104478  8.20895522],0
p3,1,0.43013,0.622471,[56 54] ; [11 15],[54.19117647 55.80882353] ; [12.80882353 13.19117647],0
u2,1,0.436198,0.606264,[ 8 12] ; [6 5],[ 9.03225806 10.96774194] ; [4.96774194 6.03225806],0
s7,1,0.442507,0.589773,[61 47] ; [12 13],[59.27819549 48.72180451] ; [13.72180451 11.27819549],0
r3,1,0.464447,0.535157,[103   8] ; [23  3],[102.08759124   8.91240876] ; [23.91240876  2.08759124],0
u3,1,0.465411,0.53285,[10 10] ; [7 4],[10.96774194  9.03225806] ; [6.03225806 4.96774194],0
p6,1,0.475474,0.509226,[38 69] ; [ 7 18],[36.47727273 70.52272727] ; [ 8.52272727 16.47727273],0
d1,1,0.505918,0.442501,[55 56] ; [11 15],[53.47445255 57.52554745] ; [12.52554745 13.47445255],0
r2,1,0.607366,0.264029,[99  9] ; [23  3],[98.32835821  9.67164179] ; [23.67164179  2.32835821],0
a6,1,0.611479,0.258027,[41 70] ; [11 15],[42.13138686 68.86861314] ; [ 9.86861314 16.13138686],0
p1,1,0.623676,0.240734,[  7 103] ; [ 1 25],[  6.47058824 103.52941176] ; [ 1.52941176 24.47058824],0
n2,1,0.691579,0.157381,[22  5] ; [7 1],[22.37142857  4.62857143] ; [6.62857143 1.37142857],0
a5,1,0.693504,0.155319,[77 34] ; [17  9],[76.16058394 34.83941606] ; [17.83941606  8.16058394],0
s3,1,0.737469,0.112364,[68 43] ; [15 11],[67.24817518 43.75182482] ; [15.75182482 10.24817518],0
p12,1,0.738522,0.11143,[  6 104] ; [ 1 25],[  5.66176471 104.33823529] ; [ 1.33823529 24.66176471],0
u1,1,0.745169,0.105635,[  6 105] ; [ 1 25],[  5.67153285 105.32846715] ; [ 1.32846715 24.67153285],0
a4,1,0.771953,0.083996,[52 59] ; [13 13],[52.66423358 58.33576642] ; [12.33576642 13.66423358],0
p5,1,0.844391,0.038526,[15 93] ; [ 4 22],[15.31343284 92.68656716] ; [ 3.68656716 22.31343284],0
d3,1,0.852762,0.034446,[49 62] ; [12 14],[49.42335766 61.57664234] ; [11.57664234 14.42335766],0
b4,1,0.865097,0.028863,[62 49] ; [15 11],[62.38686131 48.61313869] ; [14.61313869 11.38686131],0
s5,1,0.896424,0.016947,[47 62] ; [10 14],[46.71428571 62.28571429] ; [10.28571429 13.71428571],0
d2,1,0.901255,0.015395,[54 57] ; [13 13],[54.28467153 56.71532847] ; [12.71532847 13.28467153],0
s2,1,0.935711,0.006506,[65 46] ; [15 11],[64.81751825 46.18248175] ; [15.18248175 10.81751825],0
