Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1e-05,19.486207,[51  6] ; [11 14],[43.09756098 13.90243902] ; [18.90243902  6.09756098],1
s7,1,0.000601,11.773585,[42 11] ; [10 15],[35.33333333 17.66666667] ; [16.66666667  8.33333333],1
s8,1,0.005339,7.760749,[35 22] ; [ 7 18],[29.19512195 27.80487805] ; [12.80487805 12.19512195],0
d1,1,0.014935,5.92415,[43 14] ; [12 13],[38.23170732 18.76829268] ; [16.76829268  8.23170732],0
a4,1,0.021116,5.31719,[34 23] ; [ 8 17],[29.19512195 27.80487805] ; [12.80487805 12.19512195],0
u1,1,0.022085,5.23909,[18 39] ; [ 2 23],[13.90243902 43.09756098] ; [ 6.09756098 18.90243902],0
d4,1,0.02334,5.143051,[52  5] ; [18  7],[48.65853659  8.34146341] ; [21.34146341  3.65853659],0
v4,1,0.045546,3.998289,[55  2] ; [21  4],[52.82926829  4.17073171] ; [23.17073171  1.82926829],0
n4,1,0.048021,3.909254,[46 11] ; [15 10],[42.40243902 14.59756098] ; [18.59756098  6.40243902],0
s6,1,0.055769,3.65895,[51  5] ; [18  6],[48.3  7.7] ; [20.7  3.3],0
b5,1,0.072965,3.215026,[35 22] ; [10 15],[31.2804878 25.7195122] ; [13.7195122 11.2804878],0
p7,1,0.110353,2.549164,[44 13] ; [23  2],[46.57317073 10.42682927] ; [20.42682927  4.57317073],0
a7,1,0.110663,2.544733,[38 19] ; [12 13],[34.75609756 22.24390244] ; [15.24390244  9.75609756],0
a2,1,0.112338,2.521017,[16 41] ; [ 3 22],[13.20731707 43.79268293] ; [ 5.79268293 19.20731707],0
s5,1,0.120805,2.406849,[31 20] ; [10 14],[27.88 23.12] ; [13.12 10.88],0
d2,1,0.143766,2.137185,[35 22] ; [11 14],[31.97560976 25.02439024] ; [14.02439024 10.97560976],0
p6,1,0.150526,2.066917,[37 20] ; [12 13],[34.06097561 22.93902439] ; [14.93902439 10.06097561],0
p11,1,0.153409,2.038023,[45 12] ; [16  9],[42.40243902 14.59756098] ; [18.59756098  6.40243902],0
a5,1,0.209492,1.574933,[46 11] ; [17  8],[43.79268293 13.20731707] ; [19.20731707  5.79268293],0
a3,1,0.288488,1.126664,[43 14] ; [16  9],[41.01219512 15.98780488] ; [17.98780488  7.01219512],0
p12,1,0.33023,0.947994,[ 6 51] ; [ 1 24],[ 4.86585366 52.13414634] ; [ 2.13414634 22.86585366],0
a6,1,0.35592,0.852239,[38 19] ; [14 11],[36.14634146 20.85365854] ; [15.85365854  9.14634146],0
v2,1,0.360533,0.836036,[23 33] ; [13 12],[24.88888889 31.11111111] ; [11.11111111 13.88888889],0
r1,1,0.380821,0.768051,[46 11] ; [18  7],[44.48780488 12.51219512] ; [19.51219512  5.48780488],0
r3,1,0.39546,0.722087,[54  2] ; [23  2],[53.2345679  2.7654321] ; [23.7654321  1.2345679],0
b2,1,0.416871,0.659119,[ 9 23] ; [ 3 14],[ 7.83673469 24.16326531] ; [ 4.16326531 12.83673469],0
b3,1,0.416871,0.659119,[ 9 23] ; [ 3 14],[ 7.83673469 24.16326531] ; [ 4.16326531 12.83673469],0
u2,1,0.431333,0.619231,[7 7] ; [3 6],[6.08695652 7.91304348] ; [3.91304348 5.08695652],0
u3,1,0.435366,0.608466,[10  4] ; [5 4],[9.13043478 4.86956522] ; [5.86956522 3.13043478],0
s1,1,0.444938,0.583515,[ 5 52] ; [ 1 24],[ 4.17073171 52.82926829] ; [ 1.82926829 23.17073171],0
r2,1,0.457286,0.552531,[53  4] ; [22  3],[52.13414634  4.86585366] ; [22.86585366  2.13414634],0
b1,1,0.471741,0.517895,[30 27] ; [11 14],[28.5 28.5] ; [12.5 12.5],0
n5,1,0.484007,0.48982,[43 14] ; [17  8],[41.70731707 15.29268293] ; [18.29268293  6.70731707],0
d3,1,0.484007,0.48982,[43 14] ; [17  8],[41.70731707 15.29268293] ; [18.29268293  6.70731707],0
d5,1,0.495995,0.463494,[49  8] ; [20  5],[47.96341463  9.03658537] ; [21.03658537  3.96341463],0
p9,1,0.495995,0.463494,[49  8] ; [20  5],[47.96341463  9.03658537] ; [21.03658537  3.96341463],0
v1,1,0.496177,0.463104,[32 25] ; [12 13],[30.58536585 26.41463415] ; [13.41463415 11.58536585],0
b4,1,0.603764,0.269357,[33 24] ; [16  9],[34.06097561 22.93902439] ; [14.93902439 10.06097561],0
v3,1,0.605725,0.266447,[18 39] ; [ 9 15],[19. 38.] ; [ 8. 16.],0
p8,1,0.632803,0.228278,[38 19] ; [18  7],[38.92682927 18.07317073] ; [17.07317073  7.92682927],0
p10,1,0.640873,0.217603,[48  9] ; [20  5],[47.26829268  9.73170732] ; [20.73170732  4.26829268],0
n6,1,0.791132,0.070141,[47 10] ; [20  5],[46.57317073 10.42682927] ; [20.42682927  4.57317073],0
p5,1,0.803417,0.061965,[ 8 49] ; [ 3 22],[ 7.64634146 49.35365854] ; [ 3.35365854 21.64634146],0
a8,1,0.897817,0.016491,[ 2 54] ; [ 1 23],[ 2.1 53.9] ; [ 0.9 23.1],0
n1,1,0.911557,0.012338,[6 8] ; [2 3],[5.89473684 8.10526316] ; [2.10526316 2.89473684],0
p1,1,0.971474,0.001279,[ 7 50] ; [ 3 22],[ 6.95121951 50.04878049] ; [ 3.04878049 21.95121951],0
r4,1,0.971474,0.001279,[50  7] ; [22  3],[50.04878049  6.95121951] ; [21.95121951  3.04878049],0
p2,1,0.98083,0.000577,[48  9] ; [21  4],[47.96341463  9.03658537] ; [21.03658537  3.96341463],0
p4,1,0.98083,0.000577,[48  9] ; [21  4],[47.96341463  9.03658537] ; [21.03658537  3.96341463],0
