Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.002172,9.398148,[58 29] ; [ 5 13],[52.2 34.8] ; [10.8  7.2],0
r1,1,0.004705,7.989299,[63 23] ; [ 7 11],[57.88461538 28.11538462] ; [12.11538462  5.88461538],0
r4,1,0.007159,7.232516,[76 11] ; [11  7],[72.08571429 14.91428571] ; [14.91428571  3.08571429],0
s8,1,0.008441,6.937466,[49 38] ; [ 4 14],[43.91428571 43.08571429] ; [9.08571429 8.91428571],0
r3,1,0.02184,5.258492,[85  1] ; [16  2],[83.51923077  2.48076923] ; [17.48076923  0.51923077],0
d4,1,0.027737,4.844349,[73 14] ; [11  7],[69.6 17.4] ; [14.4  3.6],0
d5,1,0.030062,4.705744,[68 19] ; [9 8],[64.41346154 22.58653846] ; [12.58653846  4.41346154],0
a4,1,0.049897,3.844916,[30 57] ; [ 2 16],[26.51428571 60.48571429] ; [ 5.48571429 12.51428571],0
d3,1,0.051663,3.786642,[62 25] ; [8 9],[58.55769231 28.44230769] ; [11.44230769  5.55769231],0
p5,1,0.054204,3.706395,[ 2 84] ; [ 2 14],[ 3.37254902 82.62745098] ; [ 0.62745098 15.37254902],0
s4,1,0.058274,3.585848,[35 52] ; [ 3 15],[31.48571429 55.51428571] ; [ 6.51428571 11.48571429],0
s3,1,0.065057,3.403537,[74 13] ; [12  6],[71.25714286 15.74285714] ; [14.74285714  3.25714286],0
b5,1,0.075712,3.154623,[58 29] ; [ 8 10],[54.68571429 32.31428571] ; [11.31428571  6.68571429],0
s5,1,0.078421,3.097333,[42 41] ; [ 5 13],[38.62376238 44.37623762] ; [8.37623762 9.62376238],0
d1,1,0.110021,2.553926,[47 40] ; [ 6 12],[43.91428571 43.08571429] ; [9.08571429 8.91428571],0
s7,1,0.121382,2.399399,[41 41] ; [ 5 12],[38.1010101 43.8989899] ; [7.8989899 9.1010101],0
b2,1,0.12907,2.303659,[16 27] ; [1 8],[14.05769231 28.94230769] ; [2.94230769 6.05769231],0
b3,1,0.12907,2.303659,[16 27] ; [1 8],[14.05769231 28.94230769] ; [2.94230769 6.05769231],0
p4,1,0.157706,1.996083,[47 40] ; [ 6 11],[44.33653846 42.66346154] ; [8.66346154 8.33653846],0
u1,1,0.163722,1.939511,[ 9 78] ; [ 4 14],[10.77142857 76.22857143] ; [ 2.22857143 15.77142857],0
