Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,8.5e-05,15.449385,[19 27] ; [31  6],[27.71084337 18.28915663] ; [22.28915663 14.71084337],1
p4,1,0.003912,8.324085,[19 27] ; [27 10],[25.4939759 20.5060241] ; [20.5060241 16.4939759],0
b1,1,0.00847,6.931325,[27 19] ; [11 26],[21.06024096 24.93975904] ; [16.93975904 20.06024096],0
p11,1,0.011141,6.442706,[30 16] ; [33  4],[34.91566265 11.08433735] ; [28.08433735  8.91566265],0
p9,1,0.016156,5.785861,[30 15] ; [33  4],[34.57317073 10.42682927] ; [28.42682927  8.57317073],0
p5,1,0.016263,5.77418,[ 2 44] ; [ 8 29],[ 5.54216867 40.45783133] ; [ 4.45783133 32.54216867],0
p10,1,0.026507,4.922664,[28 18] ; [30  6],[32.53658537 13.46341463] ; [25.46341463 10.53658537],0
p3,1,0.027933,4.832172,[17 28] ; [23 14],[21.95121951 23.04878049] ; [18.04878049 18.95121951],0
b5,1,0.033451,4.522555,[34 12] ; [19 18],[29.37349398 16.62650602] ; [23.62650602 13.37349398],0
d2,1,0.033531,4.518436,[23 23] ; [10 27],[18.28915663 27.71084337] ; [14.71084337 22.28915663],0
v1,1,0.039565,4.23644,[23 20] ; [28  9],[27.4125 15.5875] ; [23.5875 13.4125],0
v4,1,0.039624,4.233931,[36 10] ; [34  2],[39.26829268  6.73170732] ; [30.73170732  5.26829268],0
n5,1,0.046047,3.979857,[28 18] ; [30  7],[32.14457831 13.85542169] ; [25.85542169 11.14457831],0
r4,1,0.061964,3.484029,[23 23] ; [26 11],[27.15662651 18.84337349] ; [21.84337349 15.15662651],0
n6,1,0.079496,3.075179,[34 12] ; [33  4],[37.13253012  8.86746988] ; [29.86746988  7.13253012],0
p6,1,0.09388,2.806551,[16 29] ; [19 16],[19.6875 25.3125] ; [15.3125 19.6875],0
s5,1,0.104692,2.63257,[ 8 33] ; [12 21],[11.08108108 29.91891892] ; [ 8.91891892 24.08108108],0
s6,1,0.12106,2.403557,[25 20] ; [24  9],[28.26923077 16.73076923] ; [20.73076923 12.26923077],0
v3,1,0.140514,2.172321,[17 28] ; [20 17],[20.30487805 24.69512195] ; [16.69512195 20.30487805],0
u1,1,0.153268,2.039418,[ 5 41] ; [ 1 36],[ 3.3253012 42.6746988] ; [ 2.6746988 34.3253012],0
p2,1,0.160153,1.972776,[31 15] ; [30  7],[33.80722892 12.19277108] ; [27.19277108  9.80722892],0
b4,1,0.19808,1.656476,[26 20] ; [26 11],[28.81927711 17.18072289] ; [23.18072289 13.81927711],0
n2,1,0.221719,1.493213,[11  6] ; [11  2],[12.46666667  4.53333333] ; [9.53333333 3.46666667],0
s8,1,0.319477,0.991084,[15 31] ; [16 21],[17.18072289 28.81927711] ; [13.81927711 23.18072289],0
a3,1,0.337144,0.921263,[32 14] ; [22 15],[29.92771084 16.07228916] ; [24.07228916 12.92771084],0
s7,1,0.354985,0.855556,[16 26] ; [17 18],[18. 24.] ; [15. 20.],0
n4,1,0.365879,0.817614,[32 14] ; [29  8],[33.80722892 12.19277108] ; [27.19277108  9.80722892],0
a4,1,0.371932,0.797199,[18 28] ; [11 26],[16.07228916 29.92771084] ; [12.92771084 24.07228916],0
a6,1,0.384459,0.756394,[28 18] ; [19 18],[26.04819277 19.95180723] ; [20.95180723 16.04819277],0
d4,1,0.387784,0.745879,[35 11] ; [31  6],[36.57831325  9.42168675] ; [29.42168675  7.57831325],0
r2,1,0.398587,0.712585,[33 11] ; [29  6],[34.53164557  9.46835443] ; [27.46835443  7.53164557],0
s3,1,0.446663,0.579105,[21 25] ; [20 17],[22.72289157 23.27710843] ; [18.27710843 18.72289157],0
s2,1,0.475017,0.510283,[20 26] ; [19 18],[21.61445783 24.38554217] ; [17.38554217 19.61445783],0
a1,1,0.484603,0.488487,[ 3 43] ; [ 4 33],[ 3.87951807 42.12048193] ; [ 3.12048193 33.87951807],0
a8,1,0.514806,0.424286,[ 3 39] ; [ 4 31],[ 3.81818182 38.18181818] ; [ 3.18181818 31.81818182],0
a2,1,0.556186,0.346351,[ 7 39] ; [ 4 33],[ 6.09638554 39.90361446] ; [ 4.90361446 32.09638554],0
d1,1,0.638397,0.220845,[26 20] ; [19 18],[24.93975904 21.06024096] ; [20.06024096 16.93975904],0
r3,1,0.671768,0.179541,[41  5] ; [34  3],[41.56626506  4.43373494] ; [33.43373494  3.56626506],0
a7,1,0.708395,0.139885,[28 18] ; [24 13],[28.81927711 17.18072289] ; [23.18072289 13.81927711],0
d3,1,0.778648,0.079006,[31 15] ; [26 11],[31.59036145 14.40963855] ; [25.40963855 11.59036145],0
p1,1,0.781475,0.076949,[ 3 43] ; [ 3 34],[ 3.3253012 42.6746988] ; [ 2.6746988 34.3253012],0
n1,1,0.810595,0.057436,[ 4 11] ; [4 9],[ 4.28571429 10.71428571] ; [3.71428571 9.28571429],0
s1,1,0.840682,0.04041,[ 2 43] ; [ 2 35],[ 2.19512195 42.80487805] ; [ 1.80487805 35.19512195],0
d5,1,0.857328,0.03232,[38  8] ; [30  7],[37.68674699  8.31325301] ; [30.31325301  6.68674699],0
u3,1,0.857541,0.032222,[7 7] ; [7 8],[6.75862069 7.24137931] ; [7.24137931 7.75862069],0
s4,1,0.900961,0.015487,[ 7 39] ; [ 6 31],[ 7.20481928 38.79518072] ; [ 5.79518072 31.20481928],0
n3,1,0.976835,0.000843,[13  4] ; [10  3],[13.03333333  3.96666667] ; [9.96666667 3.03333333],0
u2,1,0.978351,0.000736,[6 7] ; [7 8],[6.03571429 6.96428571] ; [6.96428571 8.03571429],0
b2,1,0.981991,0.00051,[10 19] ; [ 8 15],[10.03846154 18.96153846] ; [ 7.96153846 15.03846154],0
b3,1,0.981991,0.00051,[10 19] ; [ 8 15],[10.03846154 18.96153846] ; [ 7.96153846 15.03846154],0
a5,1,0.982867,0.000461,[26 20] ; [21 16],[26.04819277 19.95180723] ; [20.95180723 16.04819277],0
