Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,9.2e-05,15.290801,[10 52] ; [18 15],[18.27368421 43.72631579] ; [ 9.72631579 23.27368421],1
p11,1,0.000158,14.272044,[30 32] ; [29  4],[38.50526316 23.49473684] ; [20.49473684 12.50526316],1
r4,1,0.00031,13.008716,[29 33] ; [28  5],[37.2 24.8] ; [19.8 13.2],1
r1,1,0.000992,10.843347,[27 35] ; [26  7],[34.58947368 27.41052632] ; [18.41052632 14.58947368],1
v4,1,0.00108,10.684872,[42 20] ; [32  1],[48.29473684 13.70526316] ; [25.70526316  7.29473684],0
v1,1,0.001802,9.741061,[15 45] ; [19 14],[21.93548387 38.06451613] ; [12.06451613 20.93548387],0
r3,1,0.002263,9.32331,[40 21] ; [31  2],[46.07446809 14.92553191] ; [24.92553191  8.07446809],0
v3,1,0.002337,9.264174,[10 51] ; [15 18],[16.22340426 44.77659574] ; [ 8.77659574 24.22340426],0
n6,1,0.002462,9.16895,[35 26] ; [29  4],[41.53191489 19.46808511] ; [22.46808511 10.53191489],0
p7,1,0.008896,6.843681,[23 37] ; [22 11],[29.03225806 30.96774194] ; [15.96774194 17.03225806],0
a5,1,0.012245,6.275019,[21 41] ; [20 13],[26.75789474 35.24210526] ; [14.24210526 18.75789474],0
p8,1,0.016561,5.742259,[16 44] ; [17 16],[21.29032258 38.70967742] ; [11.70967742 21.29032258],0
r2,1,0.025734,4.973788,[44 18] ; [30  3],[48.29473684 13.70526316] ; [25.70526316  7.29473684],0
a6,1,0.028388,4.804369,[23 39] ; [20 13],[28.06315789 33.93684211] ; [14.93684211 18.06315789],0
p4,1,0.029747,4.723875,[16 45] ; [16 17],[20.76595745 40.23404255] ; [11.23404255 21.76595745],0
a7,1,0.030391,4.687063,[25 37] ; [21 12],[30.02105263 31.97894737] ; [15.97894737 17.02105263],0
s5,1,0.032035,4.596643,[ 2 59] ; [ 5 27],[ 4.59139785 56.40860215] ; [ 2.40860215 29.59139785],0
