Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,7e-06,20.176308,[ 6 18] ; [41 11],[14.84210526  9.15789474] ; [32.15789474 19.84210526],1
a5,1,0.022622,5.197268,[ 9 15] ; [34 18],[13.57894737 10.42105263] ; [29.42105263 22.57894737],0
p9,1,0.026494,4.923516,[14  9] ; [43  8],[17.71621622  5.28378378] ; [39.28378378 11.71621622],0
p6,1,0.044133,4.051448,[ 3 20] ; [18 32],[ 6.61643836 16.38356164] ; [14.38356164 35.61643836],0
d2,1,0.048779,3.882935,[ 6 18] ; [25 26],[ 9.92 14.08] ; [21.08 29.92],0
v3,1,0.049914,3.844346,[ 2 21] ; [15 36],[ 5.28378378 17.71621622] ; [11.71621622 39.28378378],0
a7,1,0.057269,3.61476,[16  8] ; [22 29],[12.16 11.84] ; [25.84 25.16],0
s8,1,0.071271,3.253492,[ 4 20] ; [19 32],[ 7.36 16.64] ; [15.64 35.36],0
p3,1,0.084195,2.98201,[ 5 19] ; [21 30],[ 8.32 15.68] ; [17.68 33.32],0
n2,1,0.09169,2.844444,[7 5] ; [17  3],[9. 3.] ; [15.  5.],0
p10,1,0.098918,2.722909,[13  9] ; [39 11],[15.88888889  6.11111111] ; [36.11111111 13.88888889],0
p4,1,0.159684,1.977214,[ 9 15] ; [28 23],[11.84 12.16] ; [25.16 25.84],0
a4,1,0.192701,1.696843,[ 6 18] ; [21 31],[ 8.52631579 15.47368421] ; [18.47368421 33.52631579],0
a3,1,0.202152,1.626756,[12 12] ; [34 18],[14.52631579  9.47368421] ; [31.47368421 20.52631579],0
n6,1,0.20876,1.580007,[15  9] ; [39 12],[17.28  6.72] ; [36.72 14.28],0
p2,1,0.213836,1.545264,[20  3] ; [37 13],[17.95890411  5.04109589] ; [39.04109589 10.95890411],0
p1,1,0.238403,1.390011,[ 1 22] ; [ 7 45],[ 2.45333333 20.54666667] ; [ 5.54666667 46.45333333],0
p5,1,0.251151,1.31689,[ 2 21] ; [10 42],[ 3.68 19.32] ; [ 8.32 43.68],0
s2,1,0.258454,1.277017,[ 7 17] ; [21 28],[ 9.20547945 14.79452055] ; [18.79452055 30.20547945],0
s3,1,0.282302,1.155975,[12 10] ; [20 29],[ 9.91549296 12.08450704] ; [22.08450704 26.91549296],0
d1,1,0.292686,1.107226,[ 8 16] ; [24 28],[10.10526316 13.89473684] ; [21.89473684 30.10526316],0
s7,1,0.3314,0.943418,[ 8 15] ; [23 26],[ 9.90277778 13.09722222] ; [21.09722222 27.90277778],0
u2,1,0.366799,0.81448,[8 4] ; [9 9],[6.8 5.2] ; [10.2  7.8],0
p8,1,0.378393,0.775917,[12 11] ; [21 30],[10.25675676 12.74324324] ; [22.74324324 28.25675676],0
a2,1,0.397944,0.71453,[ 2 22] ; [ 8 44],[ 3.15789474 20.84210526] ; [ 6.84210526 45.15789474],0
s6,1,0.405106,0.693119,[10 14] ; [26 24],[11.67567568 12.32432432] ; [24.32432432 25.67567568],0
v4,1,0.435739,0.607478,[16  6] ; [31 18],[14.56338028  7.43661972] ; [32.43661972 16.56338028],0
d5,1,0.450594,0.569157,[15  9] ; [37 15],[16.42105263  7.57894737] ; [35.57894737 16.42105263],0
s5,1,0.452027,0.565563,[ 6 17] ; [ 9 40],[ 4.79166667 18.20833333] ; [10.20833333 38.79166667],0
s4,1,0.49856,0.458001,[ 4 20] ; [12 39],[ 5.12 18.88] ; [10.88 40.12],0
b5,1,0.530717,0.393019,[12 12] ; [30 22],[13.26315789 10.73684211] ; [28.73684211 23.26315789],0
u3,1,0.547403,0.361991,[6 6] ; [ 7 11],[5.2 6.8] ; [ 7.8 10.2],0
p7,1,0.557155,0.344655,[10 12] ; [27 24],[11.15068493 10.84931507] ; [25.84931507 25.15068493],0
v1,1,0.578587,0.308525,[ 8 15] ; [20 28],[ 9.07042254 13.92957746] ; [18.92957746 29.07042254],0
r2,1,0.598161,0.277778,[13  8] ; [27 22],[12.  9.] ; [28. 21.],0
b2,1,0.601562,0.272646,[ 4 10] ; [ 8 29],[ 3.29411765 10.70588235] ; [ 8.70588235 28.29411765],0
b3,1,0.601562,0.272646,[ 4 10] ; [ 8 29],[ 3.29411765 10.70588235] ; [ 8.70588235 28.29411765],0
n3,1,0.659676,0.193918,[8 3] ; [13  7],[7.4516129 3.5483871] ; [13.5483871  6.4516129],0
u1,1,0.672139,0.17911,[ 2 22] ; [ 6 46],[ 2.52631579 21.47368421] ; [ 5.47368421 46.52631579],0
r3,1,0.705318,0.142999,[17  7] ; [36 12],[17.66666667  6.33333333] ; [35.33333333 12.66666667],0
d4,1,0.731169,0.118041,[16  8] ; [36 15],[16.64  7.36] ; [35.36 15.64],0
a6,1,0.754929,0.097436,[12 12] ; [28 24],[12.63157895 11.36842105] ; [27.36842105 24.63157895],0
a1,1,0.771184,0.08458,[ 1 23] ; [ 3 49],[ 1.26315789 22.73684211] ; [ 2.73684211 49.26315789],0
b4,1,0.807043,0.059655,[15  9] ; [34 18],[15.47368421  8.52631579] ; [33.52631579 18.47368421],0
a8,1,0.841786,0.039844,[ 1 19] ; [ 3 45],[ 1.17647059 18.82352941] ; [ 2.82352941 45.17647059],0
d3,1,0.855515,0.033155,[13 11] ; [27 25],[12.63157895 11.36842105] ; [27.36842105 24.63157895],0
v2,1,0.862978,0.029785,[11 12] ; [25 25],[11.34246575 11.65753425] ; [24.65753425 25.34246575],0
r1,1,0.889368,0.01935,[ 6 18] ; [12 39],[ 5.76 18.24] ; [12.24 38.76],0
b1,1,0.896086,0.017058,[11 13] ; [23 29],[10.73684211 13.26315789] ; [23.26315789 28.73684211],0
n1,1,0.925955,0.008637,[5 7] ; [ 8 12],[4.875 7.125] ; [ 8.125 11.875],0
s1,1,0.946819,0.004449,[ 1 23] ; [ 2 50],[ 0.94736842 23.05263158] ; [ 2.05263158 49.94736842],0
p12,1,0.972853,0.001158,[ 1 23] ; [ 2 48],[ 0.97297297 23.02702703] ; [ 2.02702703 47.97297297],0
