Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,49.3751,[45 67] ; [202  58],[74.3655914 37.6344086] ; [172.6344086  87.3655914],1
a6,1,0.0,43.956286,[50 62] ; [207  54],[77.1689008 34.8310992] ; [179.8310992  81.1689008],1
a2,1,0.000166,14.18623,[  8 104] ; [ 62 199],[21.01876676 90.98123324] ; [ 48.98123324 212.01876676],1
d5,1,0.000179,14.043111,[74 38] ; [218  43],[87.67828418 24.32171582] ; [204.32171582  56.67828418],1
u1,1,0.000749,11.363363,[  4 108] ; [ 42 219],[13.81233244 98.18766756] ; [ 32.18766756 228.81233244],1
b1,1,0.003664,8.443292,[50 62] ; [ 76 185],[37.83378016 74.16621984] ; [ 88.16621984 172.83378016],0
r1,1,0.006965,7.282101,[74 38] ; [206  54],[84.30107527 27.69892473] ; [195.69892473  64.30107527],0
r4,1,0.008098,7.011627,[89 23] ; [234  27],[96.98659517 15.01340483] ; [226.01340483  34.98659517],0
s5,1,0.01105,6.457309,[29 78] ; [ 40 216],[20.33884298 86.66115702] ; [ 48.66115702 207.33884298],0
v2,1,0.016762,5.72117,[49 60] ; [146 103],[59.37150838 49.62849162] ; [135.62849162 113.37150838],0
u3,1,0.019981,5.413534,[13 27] ; [44 36],[19. 21.] ; [38. 42.],0
v4,1,0.021863,5.256689,[99 13] ; [247  13],[104.17204301   7.82795699] ; [241.82795699  18.17204301],0
r3,1,0.028059,4.824441,[100  12] ; [248  12],[104.77419355   7.22580645] ; [243.22580645  16.77419355],0
d1,1,0.029153,4.758559,[48 64] ; [144 117],[57.65147453 54.34852547] ; [134.34852547 126.65147453],0
d4,1,0.054585,3.694725,[80 32] ; [210  51],[87.07774799 24.92225201] ; [202.92225201  58.07774799],0
v1,1,0.067092,3.352774,[48 61] ; [139 116],[55.99725275 53.00274725] ; [131.00274725 123.99725275],0
p10,1,0.120398,2.412132,[92 19] ; [230  29],[96.6 14.4] ; [225.4  33.6],0
n5,1,0.125347,2.349206,[87 24] ; [183  76],[81. 30.] ; [189.  70.],0
u2,1,0.138376,2.195926,[18 22] ; [48 33],[21.81818182 18.18181818] ; [44.18181818 36.81818182],0
p8,1,0.141933,2.156872,[54 56] ; [147 109],[60.40983607 49.59016393] ; [140.59016393 115.40983607],0
a5,1,0.161228,1.962668,[73 39] ; [189  72],[78.67024129 33.32975871] ; [183.32975871  77.67024129],0
d2,1,0.164073,1.936276,[52 59] ; [102 159],[45.9516129 65.0483871] ; [108.0483871 152.9516129],0
v3,1,0.166017,1.91855,[33 75] ; [ 97 157],[38.78453039 69.21546961] ; [ 91.21546961 162.78453039],0
b3,1,0.166129,1.917536,[29 35] ; [54 99],[24.47926267 39.52073733] ; [58.52073733 94.47926267],0
b2,1,0.166129,1.917536,[29 35] ; [54 99],[24.47926267 39.52073733] ; [58.52073733 94.47926267],0
n3,1,0.197282,1.662385,[26  6] ; [37 17],[23.44186047  8.55813953] ; [39.55813953 14.44186047],0
r2,1,0.215605,1.533385,[97 13] ; [237  20],[100.10899183   9.89100817] ; [233.89100817  23.10899183],0
b5,1,0.22508,1.471682,[62 50] ; [162  99],[67.26005362 44.73994638] ; [156.73994638 104.26005362],0
s4,1,0.236146,1.403456,[14 98] ; [ 22 236],[ 10.8972973 101.1027027] ; [ 25.1027027 232.8972973],0
p7,1,0.255674,1.292034,[64 46] ; [165  91],[68.82513661 41.17486339] ; [160.17486339  95.82513661],0
s3,1,0.261513,1.260729,[29 81] ; [ 54 203],[24.8773842 85.1226158] ; [ 58.1226158 198.8773842],0
p3,1,0.320319,0.987645,[49 61] ; [131 130],[53.36927224 56.63072776] ; [126.63072776 134.36927224],0
p2,1,0.324983,0.968785,[90 19] ; [225  35],[93.04878049 15.95121951] ; [221.95121951  38.04878049],0
a3,1,0.380867,0.7679,[72 39] ; [180  79],[75.6 35.4] ; [176.4  82.6],0
