Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,2.2e-05,18.001173,[85  4] ; [7 5],[81.06930693  7.93069307] ; [10.93069307  1.06930693],1
v4,1,5.2e-05,16.369724,[86  3] ; [7 4],[82.77  6.23] ; [10.23  0.77],1
p9,1,0.00044,12.355157,[75 10] ; [7 7],[70.4040404 14.5959596] ; [11.5959596  2.4040404],1
r1,1,0.000441,12.351249,[75 14] ; [6 8],[69.99029126 19.00970874] ; [11.00970874  2.99029126],1
r2,1,0.001755,9.789427,[88  1] ; [9 2],[86.33  2.67] ; [10.67  0.33],0
s6,1,0.002251,9.332862,[74 13] ; [7 7],[69.77227723 17.22772277] ; [11.22772277  2.77227723],0
n6,1,0.002468,9.164074,[77 11] ; [7 6],[73.18811881 14.81188119] ; [10.81188119  2.18811881],0
s8,1,0.00401,8.279221,[49 39] ; [ 2 12],[44. 44.] ; [7. 7.],0
p8,1,0.014631,5.960383,[37 49] ; [ 1 12],[33.01010101 52.98989899] ; [4.98989899 8.01010101],0
p10,1,0.014666,5.956099,[74 15] ; [7 6],[70.67647059 18.32352941] ; [10.32352941  2.67647059],0
b3,1,0.045942,3.983709,[26 28] ; [ 2 10],[22.90909091 31.09090909] ; [5.09090909 6.90909091],0
b2,1,0.045942,3.983709,[26 28] ; [ 2 10],[22.90909091 31.09090909] ; [5.09090909 6.90909091],0
v1,1,0.045969,3.982736,[49 39] ; [3 9],[45.76 42.24] ; [6.24 5.76],0
b4,1,0.050387,3.828533,[52 37] ; [12  2],[55.30097087 33.69902913] ; [8.69902913 5.30097087],0
p3,1,0.060032,3.536509,[28 61] ; [ 1 13],[25.05825243 63.94174757] ; [ 3.94174757 10.05825243],0
s2,1,0.061019,3.509472,[61 28] ; [6 8],[57.89320388 31.10679612] ; [9.10679612 4.89320388],0
a5,1,0.064417,3.419858,[66 23] ; [7 7],[63.0776699 25.9223301] ; [9.9223301 4.0776699],0
v3,1,0.069496,3.294887,[28 59] ; [ 1 12],[25.23 61.77] ; [3.77 9.23],0
n3,1,0.109716,2.558303,[20  6] ; [1 2],[18.82758621  7.17241379] ; [2.17241379 0.82758621],0
d2,1,0.158786,1.985748,[43 46] ; [9 4],[45.37254902 43.62745098] ; [6.62745098 6.37254902],0
a6,1,0.19126,1.707885,[54 34] ; [6 8],[51.76470588 36.23529412] ; [8.23529412 5.76470588],0
u3,1,0.197213,1.662896,[15  9] ; [2 4],[13.6 10.4] ; [3.4 2.6],0
n5,1,0.307267,1.042388,[60 28] ; [7 6],[58.37623762 29.62376238] ; [8.62376238 4.37623762],0
b5,1,0.312167,1.021484,[51 38] ; [6 8],[49.25242718 39.74757282] ; [7.74757282 6.25242718],0
u1,1,0.351104,0.869462,[15 74] ; [ 1 13],[13.82524272 75.17475728] ; [ 2.17475728 11.82524272],0
a3,1,0.354097,0.858722,[65 23] ; [8 5],[63.6039604 24.3960396] ; [9.3960396 3.6039604],0
s7,1,0.371229,0.799545,[49 39] ; [6 8],[47.45098039 40.54901961] ; [7.54901961 6.45098039],0
n4,1,0.415736,0.662338,[60 28] ; [8 6],[58.66666667 29.33333333] ; [9.33333333 4.66666667],0
p7,1,0.457962,0.55087,[48 36] ; [6 7],[46.7628866 37.2371134] ; [7.2371134 5.7628866],0
a7,1,0.477425,0.504739,[57 32] ; [7 6],[55.84313725 33.15686275] ; [8.15686275 4.84313725],0
n2,1,0.483883,0.4901,[22  3] ; [3 1],[21.55172414  3.44827586] ; [3.44827586 0.55172414],0
a4,1,0.500571,0.453726,[36 53] ; [7 7],[37.15533981 51.84466019] ; [5.84466019 8.15533981],0
d4,1,0.506739,0.440795,[75 14] ; [10  3],[74.16666667 14.83333333] ; [10.83333333  2.16666667],0
p1,1,0.577416,0.31043,[ 9 79] ; [ 2 11],[ 9.58415842 78.41584158] ; [ 1.41584158 11.58415842],0
d5,1,0.615789,0.25183,[69 20] ; [10  4],[68.26213592 20.73786408] ; [10.73786408  3.26213592],0
a1,1,0.668198,0.183718,[ 4 85] ; [ 1 13],[ 4.32038835 84.67961165] ; [ 0.67961165 13.32038835],0
s4,1,0.690788,0.158234,[23 64] ; [ 3 11],[22.3960396 64.6039604] ; [ 3.6039604 10.3960396],0
n1,1,0.706146,0.142157,[15 10] ; [2 2],[14.65517241 10.34482759] ; [2.34482759 1.65517241],0
v2,1,0.74063,0.109574,[46 38] ; [7 7],[45.42857143 38.57142857] ; [7.57142857 6.42857143],0
p2,1,0.830748,0.045686,[66 23] ; [10  3],[66.31372549 22.68627451] ; [9.68627451 3.31372549],0
b1,1,0.858408,0.031827,[34 55] ; [5 9],[33.69902913 55.30097087] ; [5.30097087 8.69902913],0
p11,1,0.900142,0.015746,[65 24] ; [10  4],[64.80582524 24.19417476] ; [10.19417476  3.80582524],0
u2,1,0.916528,0.010985,[ 9 15] ; [2 3],[ 9.10344828 14.89655172] ; [1.89655172 3.10344828],0
s3,1,0.918764,0.010402,[59 28] ; [9 4],[59.16 27.84] ; [8.84 4.16],0
d3,1,0.968825,0.001527,[45 44] ; [7 7],[44.93203883 44.06796117] ; [7.06796117 6.93203883],0
d1,1,0.968825,0.001527,[44 45] ; [7 7],[44.06796117 44.93203883] ; [6.93203883 7.06796117],0
a8,1,1.0,0.0,[13 65] ; [ 2 10],[13. 65.] ; [ 2. 10.],0
