Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,4.3e-05,16.74797,[4 4] ; [51  2],[7.21311475 0.78688525] ; [47.78688525  5.21311475],1
r4,1,0.000767,11.318409,[2 6] ; [43 10],[5.90163934 2.09836066] ; [39.09836066 13.90163934],1
d1,1,0.008255,6.977281,[1 7] ; [33 20],[4.45901639 3.54098361] ; [29.54098361 23.45901639],0
d5,1,0.012349,6.260053,[3 5] ; [42 11],[5.90163934 2.09836066] ; [39.09836066 13.90163934],0
p6,1,0.058037,3.592612,[2 6] ; [31 20],[4.47457627 3.52542373] ; [28.52542373 22.47457627],0
a8,1,0.075442,3.160453,[2 6] ; [ 3 47],[0.68965517 7.31034483] ; [ 4.31034483 45.68965517],0
s2,1,0.10106,2.688732,[4 4] ; [41 12],[5.90163934 2.09836066] ; [39.09836066 13.90163934],0
v2,1,0.114322,2.493428,[2 6] ; [27 22],[4.07017544 3.92982456] ; [24.92982456 24.07017544],0
s7,1,0.117405,2.451607,[4 4] ; [39 12],[5.83050847 2.16949153] ; [37.16949153 13.83050847],0
b5,1,0.12056,2.410035,[3 5] ; [35 18],[4.98360656 3.01639344] ; [33.01639344 19.98360656],0
a4,1,0.13645,2.217545,[1 7] ; [21 32],[2.8852459 5.1147541] ; [19.1147541 33.8852459],0
v1,1,0.141632,2.160142,[2 6] ; [27 24],[3.93220339 4.06779661] ; [25.06779661 25.93220339],0
p4,1,0.161419,1.960886,[7 1] ; [33 20],[5.24590164 2.75409836] ; [34.75409836 18.24590164],0
a7,1,0.2226,1.487531,[3 5] ; [32 21],[4.59016393 3.40983607] ; [30.40983607 22.59016393],0
b4,1,0.2226,1.487531,[3 5] ; [32 21],[4.59016393 3.40983607] ; [30.40983607 22.59016393],0
p2,1,0.230316,1.43891,[5 3] ; [43 10],[6.29508197 1.70491803] ; [41.70491803 11.29508197],0
d2,1,0.239291,1.384768,[2 6] ; [25 28],[3.54098361 4.45901639] ; [23.45901639 29.54098361],0
a5,1,0.319923,0.989263,[4 4] ; [36 17],[5.24590164 2.75409836] ; [34.75409836 18.24590164],0
p7,1,0.35999,0.837928,[4 4] ; [34 17],[5.15254237 2.84745763] ; [32.84745763 18.15254237],0
n1,1,0.374857,0.7875,[3 1] ; [7 7],[2.22222222 1.77777778] ; [7.77777778 6.22222222],0
a3,1,0.378569,0.775344,[4 4] ; [35 18],[5.1147541 2.8852459] ; [33.8852459 19.1147541],0
d3,1,0.418831,0.653594,[3 5] ; [28 25],[4.06557377 3.93442623] ; [26.93442623 26.06557377],0
p12,1,0.466325,0.530671,[1 7] ; [ 3 50],[0.52459016 7.47540984] ; [ 3.47540984 49.52459016],0
r3,1,0.466325,0.530671,[7 1] ; [50  3],[7.47540984 0.52459016] ; [49.52459016  3.47540984],0
s1,1,0.477395,0.504808,[1 7] ; [ 3 49],[0.53333333 7.46666667] ; [ 3.46666667 48.53333333],0
b1,1,0.508049,0.438084,[4 4] ; [20 33],[3.14754098 4.85245902] ; [20.85245902 32.14754098],0
p3,1,0.508049,0.438084,[4 4] ; [33 20],[4.85245902 3.14754098] ; [32.14754098 20.85245902],0
s3,1,0.514516,0.424872,[5 3] ; [39 14],[5.7704918 2.2295082] ; [38.2295082 14.7704918],0
s5,1,0.539084,0.37724,[2 6] ; [17 30],[2.76363636 5.23636364] ; [16.23636364 30.76363636],0
n6,1,0.582392,0.302384,[6 2] ; [44  9],[6.55737705 1.44262295] ; [43.44262295  9.55737705],0
v3,1,0.593888,0.284314,[4 4] ; [20 30],[3.31034483 4.68965517] ; [20.68965517 29.31034483],0
u2,1,0.601448,0.272817,[3 1] ; [11  7],[2.54545455 1.45454545] ; [11.45454545  6.54545455],0
n4,1,0.614728,0.253348,[6 2] ; [35 18],[5.37704918 2.62295082] ; [35.62295082 17.37704918],0
b3,1,0.676523,0.174066,[2 3] ; [12 27],[1.59090909 3.40909091] ; [12.40909091 26.59090909],0
b2,1,0.676523,0.174066,[2 3] ; [12 27],[1.59090909 3.40909091] ; [12.40909091 26.59090909],0
a6,1,0.67952,0.170667,[5 3] ; [29 24],[4.45901639 3.54098361] ; [29.54098361 23.45901639],0
u3,1,0.682665,0.167142,[2 2] ; [11  7],[2.36363636 1.63636364] ; [10.63636364  7.36363636],0
n5,1,0.764223,0.089964,[6 2] ; [37 16],[5.63934426 2.36065574] ; [37.36065574 15.63934426],0
n3,1,0.80725,0.059524,[3 1] ; [11  5],[2.8 1.2] ; [11.2  4.8],0
n2,1,0.80725,0.059524,[3 1] ; [11  5],[2.8 1.2] ; [11.2  4.8],0
p11,1,0.847065,0.037197,[7 1] ; [45  8],[6.81967213 1.18032787] ; [45.18032787  7.81967213],0
p1,1,0.847065,0.037197,[1 7] ; [ 8 45],[1.18032787 6.81967213] ; [ 7.81967213 45.18032787],0
d4,1,0.882448,0.021864,[6 2] ; [41 12],[6.16393443 1.83606557] ; [40.83606557 12.16393443],0
p8,1,0.919288,0.010268,[4 4] ; [27 25],[4.13333333 3.86666667] ; [26.86666667 25.13333333],0
s6,1,0.92757,0.008263,[6 2] ; [39 12],[6.10169492 1.89830508] ; [38.89830508 12.10169492],0
s4,1,0.932409,0.007193,[2 6] ; [14 39],[2.09836066 5.90163934] ; [13.90163934 39.09836066],0
