Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.00845,6.935579,[67 55] ; [ 5 16],[61.42657343 60.57342657] ; [10.57342657 10.42657343],0
a6,1,0.062744,3.46333,[68 55] ; [ 7 14],[64.0625 58.9375] ; [10.9375 10.0625],0
n5,1,0.064225,3.424783,[73 49] ; [17  4],[76.78321678 45.21678322] ; [13.21678322  7.78321678],0
u3,1,0.119673,2.421599,[16 39] ; [8 8],[18.5915493 36.4084507] ; [ 5.4084507 10.5915493],0
a5,1,0.189647,1.720356,[60 63] ; [ 7 14],[57.22916667 65.77083333] ; [ 9.77083333 11.22916667],0
s6,1,0.206051,1.59896,[43 79] ; [10 10],[45.53521127 76.46478873] ; [ 7.46478873 12.53521127],0
s8,1,0.210506,1.567944,[ 12 111] ; [ 4 17],[ 13.66666667 109.33333333] ; [ 2.33333333 18.66666667],0
b1,1,0.239476,1.383675,[58 65] ; [ 7 14],[55.52083333 67.47916667] ; [ 9.47916667 11.52083333],0
n4,1,0.25003,1.323139,[75 48] ; [10 11],[72.60416667 50.39583333] ; [12.39583333  8.60416667],0
s2,1,0.253387,1.30453,[32 91] ; [ 8 13],[34.16666667 88.83333333] ; [ 5.83333333 15.16666667],0
v1,1,0.303247,1.059859,[38 83] ; [ 9 12],[40.04929577 80.95070423] ; [ 6.95070423 14.04929577],0
n3,1,0.333871,0.933826,[23 12] ; [6 6],[21.59574468 13.40425532] ; [7.40425532 4.59574468],0
p9,1,0.366841,0.814337,[86 34] ; [13  8],[84.25531915 35.74468085] ; [14.74468085  6.25531915],0
p4,1,0.368995,0.807047,[47 74] ; [ 6 15],[45.16197183 75.83802817] ; [ 7.83802817 13.16197183],0
p2,1,0.392353,0.731637,[74 46] ; [15  6],[75.74468085 44.25531915] ; [13.25531915  7.74468085],0
a7,1,0.416143,0.66118,[68 55] ; [13  7],[69.67132867 53.32867133] ; [11.32867133  8.67132867],0
r2,1,0.428239,0.627595,[89 32] ; [13  7],[87.53191489 33.46808511] ; [14.46808511  5.53191489],0
d1,1,0.477902,0.503646,[45 78] ; [ 6 15],[43.5625 79.4375] ; [ 7.4375 13.5625],0
a8,1,0.513907,0.426103,[ 11 105] ; [ 1 19],[ 10.23529412 105.76470588] ; [ 1.76470588 18.23529412],0
s3,1,0.519111,0.415659,[43 77] ; [ 6 15],[41.70212766 78.29787234] ; [ 7.29787234 13.70212766],0
a1,1,0.521708,0.410516,[ 11 112] ; [ 1 20],[ 10.25 112.75] ; [ 1.75 19.25],0
b5,1,0.533828,0.3871,[79 44] ; [12  9],[77.72916667 45.27083333] ; [13.27083333  7.72916667],0
v2,1,0.579361,0.307268,[38 81] ; [ 8 13],[39.1 79.9] ; [ 6.9 14.1],0
v4,1,0.635163,0.225124,[93 29] ; [17  4],[93.84615385 28.15384615] ; [16.15384615  4.84615385],0
n2,1,0.646091,0.210864,[23 12] ; [7 5],[22.34042553 12.65957447] ; [7.65957447 4.34042553],0
p5,1,0.658164,0.195762,[  9 112] ; [ 1 20],[  8.52112676 112.47887324] ; [ 1.47887324 19.52112676],0
v3,1,0.665336,0.187107,[28 92] ; [ 4 17],[27.23404255 92.76595745] ; [ 4.76595745 16.23404255],0
p11,1,0.686497,0.162903,[76 47] ; [12  9],[75.16666667 47.83333333] ; [12.83333333  8.16666667],0
u2,1,0.688334,0.160895,[21 34] ; [7 9],[21.69014085 33.30985915] ; [6.30985915 9.69014085],0
p7,1,0.715092,0.133244,[52 68] ; [10 11],[52.76595745 67.23404255] ; [ 9.23404255 11.76595745],0
