Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,2e-06,23.077353,[365  30] ; [33 14],[355.67873303  39.32126697] ; [42.32126697  4.67873303],1
d1,1,4.7e-05,16.547044,[253 144] ; [16 32],[239.98426966 157.01573034] ; [29.01573034 18.98426966],1
r2,1,0.00208,9.478002,[375  16] ; [41  7],[370.51480638  20.48519362] ; [45.48519362  2.51480638],0
r4,1,0.003018,8.796751,[371  26] ; [39  9],[365.7752809  31.2247191] ; [44.2247191  3.7752809],0
d5,1,0.003594,8.478393,[336  58] ; [33 15],[328.92760181  65.07239819] ; [40.07239819  7.92760181],0
p2,1,0.007492,7.150998,[361  34] ; [38 10],[355.76749436  39.23250564] ; [43.23250564  4.76749436],0
d2,1,0.008394,6.947454,[203 192] ; [15 33],[194.37923251 200.62076749] ; [23.62076749 24.37923251],0
a3,1,0.009775,6.675431,[299  96] ; [28 20],[291.56884876 103.43115124] ; [35.43115124 12.56884876],0
r3,1,0.01217,6.285973,[382  12] ; [43  5],[378.84615385  15.15384615] ; [46.15384615  1.84615385],0
p3,1,0.014037,6.033483,[253 142] ; [22 26],[245.20316027 149.79683973] ; [29.79683973 18.20316027],0
s5,1,0.0188,5.520029,[162 225] ; [11 35],[154.62124711 232.37875289] ; [18.37875289 27.62124711],0
a5,1,0.026537,4.920701,[306  91] ; [30 18],[299.75730337  97.24269663] ; [36.24269663 11.75730337],0
p5,1,0.037718,4.317697,[ 73 322] ; [ 3 44],[ 67.91855204 327.08144796] ; [ 8.08144796 38.91855204],0
v3,1,0.039251,4.249985,[184 201] ; [15 32],[177.34953704 207.65046296] ; [21.65046296 25.34953704],0
r1,1,0.042099,4.131222,[333  61] ; [35 13],[328.0361991  65.9638009] ; [39.9638009  8.0361991],0
s4,1,0.05223,3.768372,[ 62 328] ; [13 35],[ 66.78082192 323.21917808] ; [ 8.21917808 39.78082192],0
p9,1,0.054267,3.704465,[355  38] ; [39  9],[351.11564626  41.88435374] ; [42.88435374  5.11564626],0
d4,1,0.065279,3.397908,[328  66] ; [34 13],[323.41950113  70.58049887] ; [38.58049887  8.41950113],0
u1,1,0.078856,3.088332,[ 84 313] ; [ 5 43],[ 79.4 317.6] ; [ 9.6 38.4],0
p6,1,0.087031,2.928457,[208 187] ; [19 29],[202.40406321 192.59593679] ; [24.59593679 23.40406321],0
a8,1,0.09824,2.733885,[ 69 289] ; [ 4 40],[ 65.00995025 292.99004975] ; [ 7.99004975 36.00995025],0
a4,1,0.110072,2.553186,[188 207] ; [17 31],[182.78781038 212.21218962] ; [22.21218962 25.78781038],0
p10,1,0.111621,2.531123,[351  43] ; [39  9],[347.64705882  46.35294118] ; [42.35294118  5.64705882],0
a2,1,0.116246,2.467185,[108 289] ; [ 8 40],[103.48764045 293.51235955] ; [12.51235955 35.48764045],0
v1,1,0.157479,1.998266,[248 141] ; [25 22],[243.57110092 145.42889908] ; [29.42889908 17.57110092],0
u2,1,0.166607,1.913213,[51 45] ; [14  6],[53.79310345 42.20689655] ; [11.20689655  8.79310345],0
b5,1,0.175066,1.839019,[224 173] ; [32 16],[228.38651685 168.61348315] ; [27.61348315 20.38651685],0
b1,1,0.209772,1.572998,[161 236] ; [24 24],[165.04494382 231.95505618] ; [19.95505618 28.04494382],0
s6,1,0.210109,1.570673,[281 103] ; [31 17],[277.33333333 106.66666667] ; [34.66666667 13.33333333],0
p12,1,0.211669,1.559977,[ 38 356] ; [ 2 46],[ 35.6561086 358.3438914] ; [ 4.3438914 43.6561086],0
s7,1,0.213116,1.550129,[217 160] ; [21 23],[213.12589074 163.87410926] ; [24.87410926 19.12589074],0
