Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.021873,5.255834,[33 29] ; [31 10],[38.52427184 23.47572816] ; [25.47572816 15.52427184],0
a8,1,0.02337,5.140791,[ 3 56] ; [ 7 28],[ 6.27659574 52.72340426] ; [ 3.72340426 31.27659574],0
r2,1,0.041227,4.166667,[51  9] ; [39  1],[54.  6.] ; [36.  4.],0
v2,1,0.041244,4.165964,[27 34] ; [26 14],[32.00990099 28.99009901] ; [20.99009901 19.00990099],0
n1,1,0.050924,3.810784,[ 2 15] ; [3 3],[ 3.69565217 13.30434783] ; [1.30434783 4.69565217],0
v3,1,0.061255,3.503077,[14 46] ; [16 23],[18.18181818 41.81818182] ; [11.81818182 27.18181818],0
s5,1,0.069563,3.293308,[ 7 50] ; [10 27],[10.30851064 46.69148936] ; [ 6.69148936 30.30851064],0
p7,1,0.082875,3.007602,[38 24] ; [18 23],[33.70873786 28.29126214] ; [22.29126214 18.70873786],0
b3,1,0.084605,2.974138,[10 30] ; [13 16],[13.33333333 26.66666667] ; [ 9.66666667 19.33333333],0
b2,1,0.084605,2.974138,[10 30] ; [13 16],[13.33333333 26.66666667] ; [ 9.66666667 19.33333333],0
p12,1,0.134786,2.236496,[ 1 61] ; [ 3 37],[ 2.43137255 59.56862745] ; [ 1.56862745 38.43137255],0
u3,1,0.153348,2.038623,[ 6 11] ; [8 5],[7.93333333 9.06666667] ; [6.06666667 6.93333333],0
s1,1,0.166025,1.918469,[ 2 60] ; [ 4 37],[ 3.61165049 58.38834951] ; [ 2.38834951 38.61165049],0
p10,1,0.168678,1.894655,[41 21] ; [21 19],[37.68627451 24.31372549] ; [24.31372549 15.68627451],0
p6,1,0.251165,1.316815,[16 44] ; [15 25],[18.6 41.4] ; [12.4 27.6],0
b4,1,0.259687,1.270427,[43 19] ; [24 17],[40.33009709 21.66990291] ; [26.66990291 14.33009709],0
v4,1,0.274155,1.195838,[55  7] ; [38  2],[56.52941176  5.47058824] ; [36.47058824  3.52941176],0
a5,1,0.331666,0.942382,[43 19] ; [32  9],[45.14563107 16.85436893] ; [29.85436893 11.14563107],0
p11,1,0.331666,0.942382,[43 19] ; [32  9],[45.14563107 16.85436893] ; [29.85436893 11.14563107],0
s8,1,0.3405,0.908548,[20 42] ; [17 24],[22.27184466 39.72815534] ; [14.72815534 26.27184466],0
p1,1,0.343341,0.897916,[ 3 58] ; [ 4 37],[ 4.18627451 56.81372549] ; [ 2.81372549 38.18627451],0
a4,1,0.354458,0.857432,[26 36] ; [21 20],[28.29126214 33.70873786] ; [18.70873786 22.29126214],0
d4,1,0.364724,0.821563,[54  8] ; [33  8],[52.36893204  9.63106796] ; [34.63106796  6.36893204],0
s6,1,0.417244,0.658065,[29 33] ; [22 18],[31. 31.] ; [20. 20.],0
a7,1,0.449693,0.571425,[41 21] ; [30 11],[42.73786408 19.26213592] ; [28.26213592 12.73786408],0
p2,1,0.459507,0.547096,[46 16] ; [33  8],[47.55339806 14.44660194] ; [31.44660194  9.55339806],0
n6,1,0.468411,0.525722,[38 24] ; [28 13],[39.72815534 22.27184466] ; [26.27184466 14.72815534],0
d1,1,0.493949,0.467912,[33 29] ; [19 22],[31.30097087 30.69902913] ; [20.69902913 20.30097087],0
p4,1,0.540034,0.375476,[26 35] ; [20 21],[27.50980392 33.49019608] ; [18.49019608 22.50980392],0
u2,1,0.547403,0.361991,[11  6] ; [7 6],[10.2  6.8] ; [7.8 5.2],0
r1,1,0.576551,0.311844,[47 15] ; [33  8],[48.15533981 13.84466019] ; [31.84466019  9.15533981],0
a6,1,0.593607,0.284747,[41 21] ; [25 16],[39.72815534 22.27184466] ; [26.27184466 14.72815534],0
a3,1,0.639176,0.219822,[45 17] ; [28 13],[43.94174757 18.05825243] ; [29.05825243 11.94174757],0
s2,1,0.645096,0.212139,[22 40] ; [16 24],[23.09803922 38.90196078] ; [14.90196078 25.09803922],0
