Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,31.854839,[116  28] ; [42 51],[96. 48.] ; [62. 31.],1
p8,1,1e-06,23.916389,[102  40] ; [36 55],[84.10300429 57.89699571] ; [53.89699571 37.10300429],1
p7,1,0.000127,14.690901,[117  25] ; [53 36],[104.5021645  37.4978355] ; [65.4978355 23.5021645],1
p5,1,0.000646,11.638741,[ 31 113] ; [ 5 89],[ 21.78151261 122.21848739] ; [14.21848739 79.78151261],1
p6,1,0.001004,10.819637,[81 60] ; [33 60],[68.69230769 72.30769231] ; [45.30769231 47.69230769],0
p2,1,0.004117,8.231654,[131  13] ; [73 21],[123.42857143  20.57142857] ; [80.57142857 13.42857143],0
p1,1,0.004599,8.030921,[ 18 125] ; [ 2 92],[ 12.06751055 130.93248945] ; [ 7.93248945 86.06751055],0
b2,1,0.00863,6.897742,[52 55] ; [17 44],[43.94642857 63.05357143] ; [25.05357143 35.94642857],0
b3,1,0.00863,6.897742,[52 55] ; [17 44],[43.94642857 63.05357143] ; [25.05357143 35.94642857],0
n1,1,0.014168,6.017094,[13  9] ; [ 5 17],[ 9. 13.] ; [ 9. 13.],0
a5,1,0.023704,5.116166,[124  20] ; [70 24],[117.37815126  26.62184874] ; [76.62184874 17.37815126],0
d1,1,0.025962,4.958548,[107  37] ; [57 37],[99.22689076 44.77310924] ; [64.77310924 29.22689076],0
p12,1,0.027632,4.850907,[ 23 120] ; [ 6 87],[ 17.5720339 125.4279661] ; [11.4279661 81.5720339],0
a3,1,0.040519,4.196007,[123  20] ; [71 23],[117.05485232  25.94514768] ; [76.94514768 17.05485232],0
n6,1,0.047335,3.933455,[132  10] ; [79 14],[127.49787234  14.50212766] ; [83.50212766  9.49787234],0
v1,1,0.056103,3.648992,[108  34] ; [58 32],[101.60344828  40.39655172] ; [64.39655172 25.60344828],0
s5,1,0.060973,3.510722,[71 64] ; [35 53],[64.17040359 70.82959641] ; [41.82959641 46.17040359],0
p9,1,0.076663,3.134273,[134   9] ; [80 12],[130.2212766  12.7787234] ; [83.7787234  8.2212766],0
p10,1,0.099784,2.708995,[129  13] ; [77 15],[125.00854701  16.99145299] ; [80.99145299 11.00854701],0
n3,1,0.117709,2.44754,[19  3] ; [16  8],[16.73913043  5.26086957] ; [18.26086957  5.73913043],0
s1,1,0.119251,2.427135,[  7 136] ; [ 1 90],[  4.88888889 138.11111111] ; [ 3.11111111 87.88888889],0
a8,1,0.120813,2.406748,[ 21 110] ; [20 61],[ 25.33490566 105.66509434] ; [15.66509434 65.33490566],0
b1,1,0.129373,2.300013,[60 84] ; [30 64],[54.45378151 89.54621849] ; [35.54621849 58.45378151],0
a7,1,0.133862,2.247137,[100  43] ; [74 20],[104.98734177  38.01265823] ; [69.01265823 24.98734177],0
u2,1,0.138069,2.199349,[11 10] ; [17  6],[13.36363636  7.63636364] ; [14.63636364  8.36363636],0
n5,1,0.14986,2.07367,[121  22] ; [71 21],[116.83404255  26.16595745] ; [75.16595745 16.83404255],0
d4,1,0.150571,2.066461,[130  14] ; [79 15],[126.45378151  17.54621849] ; [82.54621849 11.45378151],0
d5,1,0.150571,2.066461,[130  14] ; [79 15],[126.45378151  17.54621849] ; [82.54621849 11.45378151],0
r2,1,0.171929,1.866039,[139   3] ; [87  5],[137.14529915   4.85470085] ; [88.85470085  3.14529915],0
b5,1,0.177577,1.817785,[84 60] ; [63 31],[88.94117647 55.05882353] ; [58.05882353 35.94117647],0
u4,1,0.197562,1.660304,[  8 136] ; [ 2 92],[  6.05042017 137.94957983] ; [ 3.94957983 90.05042017],0
p11,1,0.21603,1.530547,[121  23] ; [73 21],[117.37815126  26.62184874] ; [76.62184874 17.37815126],0
v3,1,0.267501,1.229518,[95 47] ; [55 37],[91.02564103 50.97435897] ; [58.97435897 33.02564103],0
a2,1,0.274444,1.194401,[ 43 101] ; [22 72],[ 39.32773109 104.67226891] ; [25.67226891 68.32773109],0
n2,1,0.331802,0.941851,[19  3] ; [18  6],[17.69565217  4.30434783] ; [19.30434783  4.69565217],0
n4,1,0.340803,0.907407,[125  18] ; [78 16],[122.48523207  20.51476793] ; [80.51476793 13.48523207],0
s7,1,0.35354,0.86071,[107  30] ; [74 15],[109.72123894  27.27876106] ; [71.27876106 17.72123894],0
r4,1,0.373491,0.792015,[136   8] ; [86  8],[134.31932773   9.68067227] ; [87.68067227  6.31932773],0
s4,1,0.395043,0.723362,[ 20 123] ; [17 77],[ 22.32489451 120.67510549] ; [14.67510549 79.32489451],0
v4,1,0.515674,0.422536,[140   4] ; [88  4],[139.11864407   4.88135593] ; [88.88135593  3.11864407],0
u1,1,0.525097,0.403871,[ 39 105] ; [22 72],[ 36.90756303 107.09243697] ; [24.09243697 69.90756303],0
d2,1,0.648534,0.207753,[87 57] ; [54 40],[85.31092437 58.68907563] ; [55.68907563 38.31092437],0
s2,1,0.657704,0.196325,[106  36] ; [67 26],[104.53617021  37.46382979] ; [68.46382979 24.53617021],0
d3,1,0.678281,0.172067,[99 45] ; [67 27],[100.43697479  43.56302521] ; [65.56302521 28.43697479],0
a6,1,0.698841,0.14968,[97 46] ; [66 28],[98.35021097 44.64978903] ; [64.64978903 29.35021097],0
a4,1,0.716067,0.132292,[67 77] ; [46 48],[68.3697479 75.6302521] ; [44.6302521 49.3697479],0
a1,1,0.718525,0.12991,[  9 135] ; [ 7 87],[  9.68067227 134.31932773] ; [ 6.31932773 87.68067227],0
s6,1,0.75422,0.098019,[115  27] ; [76 16],[115.90598291  26.09401709] ; [75.09401709 16.90598291],0
r1,1,0.828359,0.047005,[124  20] ; [81 12],[124.55696203  19.44303797] ; [80.44303797 12.55696203],0
u3,1,0.853364,0.034161,[15  6] ; [17  6],[15.27272727  5.72727273] ; [16.72727273  6.27272727],0
s3,1,0.854836,0.033471,[103  39] ; [67 24],[103.60515021  38.39484979] ; [66.39484979 24.60515021],0
b4,1,0.887815,0.019901,[86 58] ; [57 37],[86.5210084 57.4789916] ; [56.4789916 37.5210084],0
