Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,43.606333,[90 10] ; [11 22],[75.93984962 24.06015038] ; [25.06015038  7.93984962],1
d1,1,0.0,41.952534,[68 32] ; [ 1 32],[51.87969925 48.12030075] ; [17.12030075 15.87969925],1
d3,1,4e-06,21.491245,[75 25] ; [10 23],[63.90977444 36.09022556] ; [21.09022556 11.90977444],1
a7,1,1.7e-05,18.507705,[77 23] ; [12 21],[66.91729323 33.08270677] ; [22.08270677 10.91729323],1
d2,1,0.000295,13.102941,[57 42] ; [ 7 26],[48. 51.] ; [16. 17.],1
a4,1,0.00036,12.72793,[51 48] ; [ 5 27],[42.32061069 56.67938931] ; [13.67938931 18.32061069],1
v4,1,0.000939,10.944691,[85 15] ; [19 14],[78.19548872 21.80451128] ; [25.80451128  7.19548872],1
u3,1,0.001165,10.544253,[20 13] ; [ 3 17],[14.32075472 18.67924528] ; [ 8.67924528 11.32075472],0
a6,1,0.001532,10.040116,[62 38] ; [10 23],[54.13533835 45.86466165] ; [17.86466165 15.13533835],0
v2,1,0.002653,9.032029,[44 53] ; [ 5 27],[36.84496124 60.15503876] ; [12.15503876 19.84496124],0
n5,1,0.002771,8.95273,[49 51] ; [26  7],[56.39097744 43.60902256] ; [18.60902256 14.39097744],0
a8,1,0.003036,8.785669,[ 2 90] ; [ 5 25],[ 5.27868852 86.72131148] ; [ 1.72131148 28.27868852],0
u2,1,0.003185,8.698618,[18 14] ; [ 3 17],[12.92307692 19.07692308] ; [ 8.07692308 11.92307692],0
r3,1,0.003497,8.528121,[78 22] ; [17 16],[71.42857143 28.57142857] ; [23.57142857  9.42857143],0
r1,1,0.003733,8.409502,[73 27] ; [15 18],[66.16541353 33.83458647] ; [21.83458647 11.16541353],0
s5,1,0.004846,7.935885,[29 64] ; [ 2 30],[23.064 69.936] ; [ 7.936 24.064],0
r2,1,0.005494,7.709124,[88 10] ; [23 10],[83.03816794 14.96183206] ; [27.96183206  5.03816794],0
s8,1,0.008683,6.886957,[36 63] ; [ 4 29],[30. 69.] ; [10. 23.],0
a3,1,0.012398,6.253044,[67 33] ; [13 18],[61.06870229 38.93129771] ; [18.93129771 12.06870229],0
a2,1,0.014841,5.935293,[26 74] ; [ 2 31],[21.05263158 78.94736842] ; [ 6.94736842 26.05263158],0
r4,1,0.015042,5.911591,[69 31] ; [15 18],[63.15789474 36.84210526] ; [20.84210526 12.15789474],0
s6,1,0.018047,5.591579,[53 45] ; [10 23],[47.12977099 50.87022901] ; [15.87022901 17.12977099],0
p4,1,0.028106,4.821537,[40 60] ; [ 6 26],[34.84848485 65.15151515] ; [11.15151515 20.84848485],0
b5,1,0.037906,4.309218,[63 37] ; [14 19],[57.89473684 42.10526316] ; [19.10526316 13.89473684],0
p3,1,0.048509,3.892256,[29 70] ; [ 4 29],[24.75 74.25] ; [ 8.25 24.75],0
a5,1,0.048791,3.882525,[62 38] ; [14 19],[57.14285714 42.85714286] ; [18.85714286 14.14285714],0
n6,1,0.130907,2.281714,[62 38] ; [15 17],[58.33333333 41.66666667] ; [18.66666667 13.33333333],0
b4,1,0.144001,2.134671,[60 40] ; [15 18],[56.39097744 43.60902256] ; [18.60902256 14.39097744],0
s2,1,0.152458,2.047483,[44 55] ; [10 23],[40.5 58.5] ; [13.5 19.5],0
n3,1,0.154612,2.026144,[25 20] ; [ 6 11],[22.5 22.5] ; [8.5 8.5],0
n4,1,0.164741,1.930162,[56 44] ; [23 10],[59.39849624 40.60150376] ; [19.60150376 13.39849624],0
p6,1,0.187074,1.74051,[15 83] ; [ 2 30],[12.81538462 85.18461538] ; [ 4.18461538 27.81538462],0
s4,1,0.206398,1.596517,[22 77] ; [ 4 29],[19.5 79.5] ; [ 6.5 26.5],0
b2,1,0.20882,1.57959,[18 35] ; [10 10],[20.32876712 32.67123288] ; [ 7.67123288 12.32876712],0
b3,1,0.20882,1.57959,[18 35] ; [10 10],[20.32876712 32.67123288] ; [ 7.67123288 12.32876712],0
n2,1,0.228929,1.447501,[24 22] ; [13  6],[26.18461538 19.81538462] ; [10.81538462  8.18461538],0
s7,1,0.284005,1.147823,[37 51] ; [10 22],[34.46666667 53.53333333] ; [12.53333333 19.46666667],0
a1,1,0.35437,0.857746,[ 7 93] ; [ 4 29],[ 8.27067669 91.72932331] ; [ 2.72932331 30.27067669],0
p2,1,0.392793,0.730278,[51 49] ; [14 19],[48.87218045 51.12781955] ; [16.12781955 16.87218045],0
p9,1,0.40593,0.69069,[47 48] ; [18 13],[49.00793651 45.99206349] ; [15.99206349 15.00793651],0
v3,1,0.461629,0.541942,[30 64] ; [ 8 24],[28.34920635 65.65079365] ; [ 9.65079365 22.34920635],0
s1,1,0.484423,0.488889,[ 8 91] ; [ 4 29],[ 9. 90.] ; [ 3. 30.],0
b1,1,0.515335,0.423218,[55 45] ; [16 17],[53.38345865 46.61654135] ; [17.61654135 15.38345865],0
p8,1,0.516208,0.421464,[19 81] ; [ 8 25],[20.30075188 79.69924812] ; [ 6.69924812 26.30075188],0
p1,1,0.524987,0.404085,[11 89] ; [ 5 28],[12.03007519 87.96992481] ; [ 3.96992481 29.03007519],0
p10,1,0.625839,0.237745,[39 58] ; [14 17],[40.1640625 56.8359375] ; [12.8359375 18.1640625],0
p12,1,0.735976,0.113695,[ 2 97] ; [ 1 32],[ 2.25 96.75] ; [ 0.75 32.25],0
v1,1,0.752884,0.099124,[36 63] ; [11 22],[35.25 63.75] ; [11.75 21.25],0
s3,1,0.780045,0.077986,[43 56] ; [13 19],[42.32061069 56.67938931] ; [13.67938931 18.32061069],0
n1,1,0.819102,0.052304,[19 27] ; [ 8 10],[19.40625 26.59375] ; [ 7.59375 10.40625],0
p5,1,0.98987,0.000161,[ 6 94] ; [ 2 31],[ 6.01503759 93.98496241] ; [ 1.98496241 31.01503759],0
