Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.667322,[1 7] ; [36  4],[6.16666667 1.83333333] ; [30.83333333  9.16666667],1
a5,1,0.00074,11.385199,[1 7] ; [30 10],[5.16666667 2.83333333] ; [25.83333333 14.16666667],1
n6,1,0.001876,9.666899,[4 4] ; [37  3],[6.83333333 1.16666667] ; [34.16666667  5.83333333],0
r1,1,0.003971,8.297143,[1 7] ; [27 13],[4.66666667 3.33333333] ; [23.33333333 16.66666667],0
r3,1,0.005584,7.68,[4 4] ; [36  4],[6.66666667 1.33333333] ; [33.33333333  6.66666667],0
d3,1,0.008477,6.929846,[3 5] ; [32  7],[5.95744681 2.04255319] ; [29.04255319  9.95744681],0
a6,1,0.028049,4.825043,[1 7] ; [22 18],[3.83333333 4.16666667] ; [19.16666667 20.83333333],0
a3,1,0.036181,4.388571,[2 6] ; [26 14],[4.66666667 3.33333333] ; [23.33333333 16.66666667],0
d1,1,0.038191,4.296503,[1 7] ; [21 19],[3.66666667 4.33333333] ; [18.33333333 21.66666667],0
d5,1,0.120963,2.404803,[4 4] ; [30  9],[5.78723404 2.21276596] ; [28.21276596 10.78723404],0
s6,1,0.122132,2.389767,[3 5] ; [26 13],[4.93617021 3.06382979] ; [24.06382979 14.93617021],0
p10,1,0.136641,2.215385,[5 3] ; [34  6],[6.5 1.5] ; [32.5  7.5],0
v4,1,0.139098,2.187907,[6 2] ; [37  3],[7.16666667 0.83333333] ; [35.83333333  4.16666667],0
b1,1,0.155566,2.016807,[4 4] ; [10 30],[2.33333333 5.66666667] ; [11.66666667 28.33333333],0
s7,1,0.158064,1.992653,[1 7] ; [15 24],[2.72340426 5.27659574] ; [13.27659574 25.72340426],0
s1,1,0.196317,1.669565,[1 7] ; [ 1 39],[0.33333333 7.66666667] ; [ 1.66666667 38.33333333],0
a1,1,0.196317,1.669565,[1 7] ; [ 1 39],[0.33333333 7.66666667] ; [ 1.66666667 38.33333333],0
u2,1,0.201336,1.632653,[3 3] ; [ 3 11],[1.8 4.2] ; [4.2 9.8],0
p9,1,0.203533,1.616842,[5 3] ; [33  7],[6.33333333 1.66666667] ; [31.66666667  8.33333333],0
a7,1,0.228339,1.451175,[4 4] ; [28 11],[5.44680851 2.55319149] ; [26.55319149 12.44680851],0
v2,1,0.241567,1.371429,[5 3] ; [16 24],[3.5 4.5] ; [17.5 22.5],0
n4,1,0.241567,1.371429,[6 2] ; [21 19],[4.5 3.5] ; [22.5 17.5],0
p6,1,0.294894,1.097143,[2 6] ; [18 22],[3.33333333 4.66666667] ; [16.66666667 23.33333333],0
b4,1,0.300015,1.074126,[3 5] ; [23 17],[4.33333333 3.66666667] ; [21.66666667 18.33333333],0
s8,1,0.309257,1.033846,[1 7] ; [12 28],[2.16666667 5.83333333] ; [10.83333333 29.16666667],0
p4,1,0.36574,0.818087,[3 5] ; [22 18],[4.16666667 3.83333333] ; [20.83333333 19.16666667],0
s5,1,0.395665,0.721461,[2 6] ; [16 23],[3.06382979 4.93617021] ; [14.93617021 24.06382979],0
b5,1,0.423711,0.64,[4 4] ; [26 14],[5. 3.] ; [25. 15.],0
p11,1,0.423711,0.64,[6 2] ; [24 16],[5. 3.] ; [25. 15.],0
s2,1,0.423905,0.639464,[1 7] ; [10 29],[1.87234043 6.12765957] ; [ 9.12765957 29.87234043],0
d4,1,0.467671,0.527473,[5 3] ; [30 10],[5.83333333 2.16666667] ; [29.16666667 10.83333333],0
u3,1,0.492353,0.47138,[2 4] ; [7 7],[2.7 3.3] ; [6.3 7.7],0
a4,1,0.569996,0.322689,[3 5] ; [11 29],[2.33333333 5.66666667] ; [11.66666667 28.33333333],0
v1,1,0.604319,0.268531,[3 5] ; [19 21],[3.66666667 4.33333333] ; [18.33333333 21.66666667],0
p2,1,0.676103,0.174545,[6 2] ; [27 13],[5.5 2.5] ; [27.5 12.5],0
b2,1,0.737644,0.112208,[1 4] ; [ 6 16],[1.2962963 3.7037037] ; [ 5.7037037 16.2962963],0
b3,1,0.737644,0.112208,[1 4] ; [ 6 16],[1.2962963 3.7037037] ; [ 5.7037037 16.2962963],0
p3,1,0.793428,0.068571,[3 5] ; [17 23],[3.33333333 4.66666667] ; [16.66666667 23.33333333],0
p7,1,0.793428,0.068571,[5 3] ; [23 17],[4.66666667 3.33333333] ; [23.33333333 16.66666667],0
p8,1,0.842578,0.039441,[4 4] ; [18 21],[3.74468085 4.25531915] ; [18.25531915 20.74468085],0
n1,1,0.868645,0.02735,[1 2] ; [5 8],[1.125 1.875] ; [4.875 8.125],0
d2,1,0.892637,0.018216,[3 5] ; [14 26],[2.83333333 5.16666667] ; [14.16666667 25.83333333],0
n3,1,0.931175,0.007459,[2 1] ; [9 4],[2.0625 0.9375] ; [8.9375 4.0625],0
n2,1,0.931175,0.007459,[2 1] ; [9 4],[2.0625 0.9375] ; [8.9375 4.0625],0
