Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.00022,13.653245,[20 51] ; [13  4],[26.625 44.375] ; [ 6.375 10.625],1
p7,1,0.003851,8.352824,[23 48] ; [12  5],[28.23863636 42.76136364] ; [ 6.76136364 10.23863636],0
p2,1,0.011301,6.417337,[39 32] ; [15  2],[43.56818182 27.43181818] ; [10.43181818  6.56818182],0
b1,1,0.01372,6.0738,[35 36] ; [14  3],[39.53409091 31.46590909] ; [9.46590909 7.53409091],0
v1,1,0.019365,5.46826,[24 47] ; [11  6],[28.23863636 42.76136364] ; [ 6.76136364 10.23863636],0
s4,1,0.021143,5.314996,[ 4 67] ; [ 4 13],[ 6.45454545 64.54545455] ; [ 1.54545455 15.45454545],0
b3,1,0.021341,5.298701,[12 32] ; [5 2],[14.66666667 29.33333333] ; [2.33333333 4.66666667],0
b2,1,0.021341,5.298701,[12 32] ; [5 2],[14.66666667 29.33333333] ; [2.33333333 4.66666667],0
p8,1,0.032099,4.593206,[22 49] ; [10  7],[25.81818182 45.18181818] ; [ 6.18181818 10.81818182],0
p3,1,0.057664,3.603323,[17 54] ; [8 9],[20.17045455 50.82954545] ; [ 4.82954545 12.17045455],0
s5,1,0.064388,3.420602,[ 6 64] ; [ 4 12],[ 8.13953488 61.86046512] ; [ 1.86046512 14.13953488],0
b5,1,0.068576,3.316778,[37 34] ; [13  4],[40.34090909 30.65909091] ; [9.65909091 7.34090909],0
v2,1,0.070961,3.260647,[27 40] ; [11  6],[30.30952381 36.69047619] ; [7.69047619 9.30952381],0
s2,1,0.100127,2.703512,[ 4 67] ; [ 3 14],[ 5.64772727 65.35227273] ; [ 1.35227273 15.64772727],0
r3,1,0.109958,2.554819,[49 22] ; [15  2],[51.63636364 19.36363636] ; [12.36363636  4.63636364],0
p5,1,0.111633,2.53095,[ 2 69] ; [ 2 15],[ 3.22727273 67.77272727] ; [ 0.77272727 16.22727273],0
a5,1,0.118717,2.43417,[44 27] ; [ 7 10],[41.14772727 29.85227273] ; [9.85227273 7.14772727],0
s7,1,0.135094,2.232964,[10 56] ; [ 5 11],[12.07317073 53.92682927] ; [ 2.92682927 13.07317073],0
v4,1,0.160605,1.968517,[51 20] ; [15  2],[53.25 17.75] ; [12.75  4.25],0
s8,1,0.181384,1.786247,[11 60] ; [ 5 12],[12.90909091 58.09090909] ; [ 3.09090909 13.90909091],0
u2,1,0.181904,1.782,[12 13] ; [6 2],[13.63636364 11.36363636] ; [4.36363636 3.63636364],0
r4,1,0.220699,1.499822,[43 28] ; [13  4],[45.18181818 25.81818182] ; [10.81818182  6.18181818],0
a2,1,0.240565,1.377279,[12 59] ; [ 5 12],[13.71590909 57.28409091] ; [ 3.28409091 13.71590909],0
s6,1,0.241927,1.369332,[19 52] ; [ 7 10],[20.97727273 50.02272727] ; [ 5.02272727 11.97727273],0
