Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2e-06,22.832037,[147  25] ; [18 18],[136.44230769  35.55769231] ; [28.55769231  7.44230769],1
p9,1,4e-06,21.520521,[153  18] ; [21 15],[143.73913043  27.26086957] ; [30.26086957  5.73913043],1
p10,1,8e-05,15.552935,[144  26] ; [20 16],[135.33980583  34.66019417] ; [28.66019417  7.33980583],1
n4,1,0.000271,13.259761,[146  26] ; [21 15],[138.09615385  33.90384615] ; [28.90384615  7.09615385],1
r2,1,0.000655,11.612289,[156  14] ; [25 10],[150.09756098  19.90243902] ; [30.90243902  4.09756098],1
b1,1,0.00164,9.914489,[ 70 102] ; [25 11],[78.55769231 93.44230769] ; [16.44230769 19.55769231],0
d5,1,0.002025,9.526705,[133  38] ; [19 17],[125.56521739  45.43478261] ; [26.43478261  9.56521739],0
r4,1,0.003337,8.613264,[146  26] ; [23 13],[139.75  32.25] ; [29.25  6.75],0
a5,1,0.004725,7.981621,[123  49] ; [17 19],[115.76923077  56.23076923] ; [24.23076923 11.76923077],0
r3,1,0.004779,7.961383,[160  12] ; [28  8],[155.46153846  16.53846154] ; [32.53846154  3.46153846],0
s8,1,0.006175,7.498463,[86 86] ; [ 9 27],[78.55769231 93.44230769] ; [16.44230769 19.55769231],0
p11,1,0.006529,7.398246,[144  28] ; [23 13],[138.09615385  33.90384615] ; [28.90384615  7.09615385],0
d4,1,0.010947,6.473955,[133  38] ; [20 15],[127.00485437  43.99514563] ; [25.99514563  9.00485437],0
b2,1,0.015102,5.904503,[50 62] ; [ 4 19],[44.8 67.2] ; [ 9.2 13.8],0
b3,1,0.015102,5.904503,[50 62] ; [ 4 19],[44.8 67.2] ; [ 9.2 13.8],0
v3,1,0.017394,5.656223,[72 98] ; [ 7 27],[ 65.83333333 104.16666667] ; [13.16666667 20.83333333],0
d1,1,0.024366,5.068414,[88 84] ; [11 25],[81.86538462 90.13461538] ; [17.13461538 18.86538462],0
u2,1,0.024941,5.027947,[20 27] ; [12  4],[23.87301587 23.12698413] ; [8.12698413 7.87301587],0
