Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1e-06,23.177143,[21  6] ; [ 9 36],[11.25 15.75] ; [18.75 26.25],1
s8,1,4.6e-05,16.615385,[15 12] ; [ 5 40],[ 7.5 19.5] ; [12.5 32.5],1
s6,1,0.000813,11.212355,[20  7] ; [15 30],[13.125 13.875] ; [21.875 23.125],1
s7,1,0.00189,9.653108,[15 11] ; [ 9 34],[ 9.04347826 16.95652174] ; [14.95652174 28.04347826],0
a7,1,0.026284,4.937268,[14 13] ; [34 10],[18.25352113  8.74647887] ; [29.74647887 14.25352113],0
p7,1,0.072512,3.22521,[17  9] ; [19 25],[13.37142857 12.62857143] ; [22.62857143 21.37142857],0
v1,1,0.113022,2.511455,[16 11] ; [18 27],[12.75 14.25] ; [21.25 23.75],0
s4,1,0.123232,2.375758,[ 4 23] ; [ 2 43],[ 2.25 24.75] ; [ 3.75 41.25],0
a8,1,0.129746,2.295547,[ 4 20] ; [ 2 37],[ 2.28571429 21.71428571] ; [ 3.71428571 35.28571429],0
d5,1,0.132415,2.263957,[18  9] ; [37  8],[20.625  6.375] ; [34.375 10.625],0
r3,1,0.172914,1.857496,[26  1] ; [38  6],[24.33802817  2.66197183] ; [39.66197183  4.33802817],0
r4,1,0.174231,1.846154,[22  5] ; [30 15],[19.5  7.5] ; [32.5 12.5],0
b5,1,0.174505,1.84381,[13 14] ; [29 16],[15.75 11.25] ; [26.25 18.75],0
d1,1,0.199674,1.644755,[12 15] ; [27 18],[14.625 12.375] ; [24.375 20.625],0
a3,1,0.211894,1.558442,[19  8] ; [25 20],[16.5 10.5] ; [27.5 17.5],0
p8,1,0.211894,1.558442,[13 14] ; [15 30],[10.5 16.5] ; [17.5 27.5],0
s5,1,0.225578,1.468531,[ 8 18] ; [ 8 36],[ 5.94285714 20.05714286] ; [10.05714286 33.94285714],0
p6,1,0.245955,1.346137,[ 8 18] ; [ 8 35],[ 6.02898551 19.97101449] ; [ 9.97101449 33.02898551],0
a6,1,0.254152,1.300334,[15 12] ; [31 14],[17.25  9.75] ; [28.75 16.25],0
p10,1,0.255085,1.295238,[10 17] ; [11 34],[ 7.875 19.125] ; [13.125 31.875],0
p2,1,0.266575,1.234286,[18  9] ; [24 21],[15.75 11.25] ; [26.25 18.75],0
v4,1,0.311492,1.024339,[25  2] ; [38  7],[23.625  3.375] ; [39.375  5.625],0
p3,1,0.332997,0.937208,[11 16] ; [13 31],[ 9.12676056 17.87323944] ; [14.87323944 29.12676056],0
p4,1,0.368325,0.809308,[14 13] ; [18 26],[12.16901408 14.83098592] ; [19.83098592 24.16901408],0
d2,1,0.377947,0.77737,[10 17] ; [21 23],[11.78873239 15.21126761] ; [19.21126761 24.78873239],0
p11,1,0.393476,0.728173,[16 11] ; [22 23],[14.25 12.75] ; [23.75 21.25],0
a4,1,0.396214,0.719787,[ 7 20] ; [16 29],[ 8.625 18.375] ; [14.375 30.625],0
a5,1,0.453842,0.561039,[18  9] ; [26 19],[16.5 10.5] ; [27.5 17.5],0
v3,1,0.459378,0.54741,[13 13] ; [18 26],[11.51428571 14.48571429] ; [19.48571429 24.51428571],0
n5,1,0.465209,0.533333,[15 12] ; [21 24],[13.5 13.5] ; [22.5 22.5],0
n6,1,0.472832,0.51535,[17 10] ; [32 13],[18.375  8.625] ; [30.625 14.375],0
d4,1,0.581002,0.304617,[22  5] ; [38  6],[22.81690141  4.18309859] ; [37.18309859  6.81690141],0
a1,1,0.595163,0.282353,[ 2 25] ; [ 2 43],[ 1.5 25.5] ; [ 2.5 42.5],0
s1,1,0.611643,0.257789,[ 2 25] ; [ 2 42],[ 1.52112676 25.47887324] ; [ 2.47887324 41.52112676],0
n1,1,0.636982,0.222711,[2 3] ; [ 4 10],[1.57894737 3.42105263] ; [4.42105263 9.57894737],0
u1,1,0.645485,0.21164,[ 4 23] ; [ 5 40],[ 3.375 23.625] ; [ 5.625 39.375],0
b4,1,0.691849,0.157091,[18  9] ; [32 13],[18.75  8.25] ; [31.25 13.75],0
u3,1,0.71714,0.13125,[3 5] ; [ 9 11],[3.42857143 4.57142857] ; [ 8.57142857 11.42857143],0
n3,1,0.743421,0.107143,[5 2] ; [9 5],[4.66666667 2.33333333] ; [9.33333333 4.66666667],0
a2,1,0.743971,0.106667,[ 4 23] ; [ 8 37],[ 4.5 22.5] ; [ 7.5 37.5],0
b1,1,0.758639,0.094414,[16 11] ; [25 20],[15.375 11.625] ; [25.625 19.375],0
n4,1,0.847942,0.036766,[18  9] ; [29 16],[17.625  9.375] ; [29.375 15.625],0
d3,1,0.847942,0.036766,[18  9] ; [29 16],[17.625  9.375] ; [29.375 15.625],0
r2,1,0.889786,0.019203,[23  4] ; [38  6],[23.1971831  3.8028169] ; [37.8028169  6.1971831],0
b2,1,0.92666,0.008473,[ 6 12] ; [ 8 17],[ 5.86046512 12.13953488] ; [ 8.13953488 16.86046512],0
b3,1,0.92666,0.008473,[ 6 12] ; [ 8 17],[ 5.86046512 12.13953488] ; [ 8.13953488 16.86046512],0
r1,1,0.944957,0.004767,[20  7] ; [33 12],[19.875  7.125] ; [33.125 11.875],0
u2,1,1.0,0.0,[4 4] ; [9 9],[4. 4.] ; [9. 9.],0
