Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.003944,8.309361,[ 4 28] ; [ 93 149],[11.32846715 20.67153285] ; [ 85.67153285 156.32846715],0
b2,1,0.003944,8.309361,[ 4 28] ; [ 93 149],[11.32846715 20.67153285] ; [ 85.67153285 156.32846715],0
s2,1,0.009163,6.79076,[32 24] ; [157 247],[23.00869565 32.99130435] ; [165.99130435 238.00869565],0
s6,1,0.01428,6.003156,[41 15] ; [225 177],[32.52401747 23.47598253] ; [233.47598253 168.52401747],0
d3,1,0.017397,5.65592,[45 10] ; [266 138],[37.26579521 17.73420479] ; [273.73420479 130.26579521],0
n4,1,0.018047,5.591623,[36 20] ; [318  87],[43.0021692 12.9978308] ; [310.9978308  94.0021692],0
n5,1,0.036551,4.371207,[37 19] ; [316  86],[43.16157205 12.83842795] ; [309.83842795  92.16157205],0
r4,1,0.039155,4.254124,[44 12] ; [358  47],[48.8329718  7.1670282] ; [353.1670282  51.8329718],0
s3,1,0.064109,3.427761,[34 22] ; [191 211],[27.51091703 28.48908297] ; [197.48908297 204.51091703],0
v1,1,0.066704,3.362317,[22 33] ; [208 183],[28.3632287 26.6367713] ; [201.6367713 189.3632287],0
v3,1,0.077704,3.112275,[15 39] ; [157 233],[20.91891892 33.08108108] ; [151.08108108 238.91891892],0
r2,1,0.087532,2.91919,[49  7] ; [374  25],[52.06153846  3.93846154] ; [370.93846154  28.06153846],0
v2,1,0.113665,2.502513,[25 29] ; [221 162],[30.39816934 23.60183066] ; [215.60183066 167.39816934],0
p5,1,0.122393,2.386431,[ 1 55] ; [ 29 371],[ 3.68421053 52.31578947] ; [ 26.31578947 373.68421053],0
a8,1,0.13579,2.22503,[ 4 50] ; [ 55 313],[ 7.54976303 46.45023697] ; [ 51.45023697 316.54976303],0
p12,1,0.164383,1.933432,[ 1 55] ; [ 26 377],[ 3.29411765 52.70588235] ; [ 23.70588235 379.29411765],0
r1,1,0.218798,1.512236,[40 16] ; [318  86],[43.5826087 12.4173913] ; [314.4173913  89.5826087],0
b4,1,0.240873,1.375477,[28 28] ; [236 169],[32.06941432 23.93058568] ; [231.93058568 173.06941432],0
a4,1,0.289777,1.120658,[19 37] ; [167 237],[22.64347826 33.35652174] ; [163.35652174 240.64347826],0
s7,1,0.300409,1.072379,[27 28] ; [161 225],[23.44671202 31.55328798] ; [164.55328798 221.44671202],0
d2,1,0.325974,0.964827,[21 35] ; [180 225],[24.4164859 31.5835141] ; [176.5835141 228.4164859],0
b5,1,0.356251,0.851066,[38 18] ; [249 156],[34.86334056 21.13665944] ; [252.13665944 152.86334056],0
p1,1,0.36725,0.812948,[ 2 54] ; [ 27 376],[ 3.53812636 52.46187364] ; [ 25.46187364 377.53812636],0
u1,1,0.388699,0.743007,[10 46] ; [ 55 350],[ 7.89587852 48.10412148] ; [ 57.10412148 347.89587852],0
a3,1,0.415655,0.662567,[41 15] ; [274 130],[38.34782609 17.65217391] ; [276.65217391 127.34782609],0
a1,1,0.462349,0.540202,[ 1 55] ; [ 15 390],[ 1.94360087 54.05639913] ; [ 14.05639913 390.94360087],0
p7,1,0.48643,0.484413,[37 18] ; [246 148],[34.66592428 20.33407572] ; [248.33407572 145.66592428],0
r3,1,0.547418,0.361963,[52  4] ; [383  21],[52.95652174  3.04347826] ; [382.04347826  21.95652174],0
d4,1,0.575768,0.313126,[43 13] ; [324  81],[44.5813449 11.4186551] ; [322.4186551  82.5813449],0
p9,1,0.587163,0.294797,[51  5] ; [376  28],[51.9826087  4.0173913] ; [375.0173913  28.9826087],0
s1,1,0.634269,0.226316,[ 2 54] ; [ 10 392],[ 1.46724891 54.53275109] ; [ 10.53275109 391.46724891],0
n1,1,0.638466,0.220754,[3 9] ; [26 56],[3.70212766 8.29787234] ; [25.29787234 56.70212766],0
b1,1,0.650935,0.204723,[19 37] ; [150 255],[20.52928416 35.47071584] ; [148.47071584 256.52928416],0
p4,1,0.674615,0.176251,[31 25] ; [235 168],[32.45315904 23.54684096] ; [233.54684096 169.45315904],0
n2,1,0.686485,0.162917,[8 4] ; [60 23],[8.58947368 3.41052632] ; [59.41052632 23.58947368],0
