Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.000191,13.915517,[ 21 103] ; [18 21],[29.66871166 94.33128834] ; [ 9.33128834 29.66871166],1
p6,1,0.014054,6.031327,[26 93] ; [16 22],[31.8343949 87.1656051] ; [10.1656051 27.8343949],0
u1,1,0.036326,4.381729,[ 17 107] ; [11 28],[ 21.3006135 102.6993865] ; [ 6.6993865 32.3006135],0
a8,1,0.037458,4.329482,[  8 107] ; [ 6 25],[ 11.02739726 103.97260274] ; [ 2.97260274 28.02739726],0
s3,1,0.043204,4.087401,[27 95] ; [15 24],[31.82608696 90.17391304] ; [10.17391304 28.82608696],0
p4,1,0.053872,3.716654,[53 68] ; [24 15],[58.23125 62.76875] ; [18.76875 20.23125],0
s2,1,0.057066,3.620674,[ 18 104] ; [11 28],[ 21.97515528 100.02484472] ; [ 7.02484472 31.97515528],0
p3,1,0.068726,3.313201,[44 78] ; [20 18],[48.8 73.2] ; [15.2 22.8],0
a3,1,0.086797,2.932804,[91 33] ; [33  5],[94.91358025 29.08641975] ; [29.08641975  8.91358025],0
a4,1,0.095004,2.787471,[60 63] ; [25 14],[64.53703704 58.46296296] ; [20.46296296 18.53703704],0
n4,1,0.109768,2.557559,[93 31] ; [34  5],[96.61349693 27.38650307] ; [30.38650307  8.61349693],0
b5,1,0.110915,2.541128,[69 55] ; [16 23],[64.66257669 59.33742331] ; [20.33742331 18.66257669],0
n6,1,0.152945,2.042631,[98 25] ; [35  4],[100.98148148  22.01851852] ; [32.01851852  6.98148148],0
n1,1,0.160952,1.965261,[ 9 27] ; [4 4],[10.63636364 25.36363636] ; [2.36363636 5.63636364],0
v3,1,0.176258,1.828895,[41 77] ; [17 19],[44.44155844 73.55844156] ; [13.55844156 22.44155844],0
p8,1,0.182782,1.774858,[57 65] ; [23 16],[60.62111801 61.37888199] ; [19.37888199 19.62111801],0
d2,1,0.200635,1.637747,[84 38] ; [31  8],[87.14285714 34.85714286] ; [27.85714286 11.14285714],0
n2,1,0.27675,1.18298,[20 17] ; [6 2],[21.37777778 15.62222222] ; [4.62222222 3.37777778],0
p9,1,0.339487,0.912367,[91 32] ; [31  7],[93.20496894 29.79503106] ; [28.79503106  9.20496894],0
s5,1,0.339796,0.9112,[ 21 100] ; [ 4 33],[ 19.14556962 101.85443038] ; [ 5.85443038 31.14556962],0
u2,1,0.373597,0.791667,[17 15] ; [2 4],[16. 16.] ; [3. 3.],0
p10,1,0.376003,0.783731,[89 34] ; [31  8],[91.11111111 31.88888889] ; [28.88888889 10.11111111],0
r4,1,0.388017,0.745146,[103  21] ; [30  9],[101.17791411  22.82208589] ; [31.82208589  7.17791411],0
p12,1,0.397491,0.715904,[  3 120] ; [ 2 37],[  3.7962963 119.2037037] ; [ 1.2037037 37.7962963],0
p5,1,0.401407,0.704109,[  8 116] ; [ 4 34],[  9.18518519 114.81481481] ; [ 2.81481481 35.18518519],0
v1,1,0.402749,0.700105,[54 70] ; [19 18],[56.22360248 67.77639752] ; [16.77639752 20.22360248],0
p11,1,0.416775,0.659391,[94 30] ; [32  7],[95.85276074 28.14723926] ; [30.14723926  8.85276074],0
b2,1,0.428768,0.62616,[29 41] ; [15 15],[30.8 39.2] ; [13.2 16.8],0
b3,1,0.428768,0.62616,[29 41] ; [15 15],[30.8 39.2] ; [13.2 16.8],0
s4,1,0.437259,0.603465,[  7 117] ; [ 1 38],[  6.08588957 117.91411043] ; [ 1.91411043 37.08588957],0
r1,1,0.461295,0.54275,[94 29] ; [32  7],[95.66666667 27.33333333] ; [30.33333333  8.66666667],0
a2,1,0.475805,0.508464,[31 93] ; [12 27],[32.71165644 91.28834356] ; [10.28834356 28.71165644],0
v2,1,0.503276,0.448022,[69 52] ; [24 14],[70.77358491 50.22641509] ; [22.22641509 15.77358491],0
p1,1,0.54025,0.375076,[ 10 114] ; [ 2 37],[  9.12883436 114.87116564] ; [ 2.87116564 36.12883436],0
r2,1,0.553903,0.350371,[114   6] ; [36  1],[114.64968153   5.35031847] ; [35.35031847  1.64968153],0
b1,1,0.588677,0.292415,[44 80] ; [12 27],[42.60122699 81.39877301] ; [13.39877301 25.60122699],0
a5,1,0.615096,0.25282,[97 27] ; [29 10],[95.85276074 28.14723926] ; [30.14723926  8.85276074],0
d3,1,0.617001,0.250105,[104  20] ; [34  5],[104.98159509  19.01840491] ; [33.01840491  5.98159509],0
n5,1,0.679928,0.170206,[84 39] ; [28 11],[85.03703704 37.96296296] ; [26.96296296 12.03703704],0
p7,1,0.685723,0.163754,[68 55] ; [23 16],[69.09259259 53.90740741] ; [21.90740741 17.09259259],0
d4,1,0.704956,0.143368,[121   2] ; [38  1],[120.72222222   2.27777778] ; [38.27777778  0.72222222],0
a7,1,0.792799,0.069,[94 29] ; [29 10],[93.38888889 29.61111111] ; [29.61111111  9.38888889],0
r3,1,0.808601,0.058676,[112  11] ; [36  3],[112.37037037  10.62962963] ; [35.62962963  3.37037037],0
v4,1,0.818773,0.052497,[113  11] ; [36  3],[113.34969325  10.65030675] ; [35.65030675  3.34969325],0
a1,1,0.834433,0.043689,[  4 120] ; [ 1 38],[  3.80368098 120.19631902] ; [ 1.19631902 37.80368098],0
u3,1,0.837224,0.042208,[18 15] ; [3 3],[17.76923077 15.23076923] ; [3.23076923 2.76923077],0
b4,1,0.855293,0.033259,[72 52] ; [22 17],[71.50920245 52.49079755] ; [22.49079755 16.50920245],0
a6,1,0.935862,0.006476,[93 31] ; [29 10],[92.80981595 31.19018405] ; [29.19018405  9.80981595],0
n3,1,0.970476,0.00137,[22 16] ; [4 3],[21.95555556 16.04444444] ; [4.04444444 2.95555556],0
p2,1,0.976986,0.000832,[91 31] ; [29 10],[90.93167702 31.06832298] ; [29.06832298  9.93167702],0
