Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000535,11.990495,[85 16] ; [13 12],[78.55555556 22.44444444] ; [19.44444444  5.55555556],1
n5,1,0.002586,9.079014,[92 11] ; [17  9],[87.03100775 15.96899225] ; [21.96899225  4.03100775],0
p8,1,0.00499,7.883019,[78 24] ; [12 13],[72.28346457 29.71653543] ; [17.71653543  7.28346457],0
r3,1,0.005474,7.715819,[102   1] ; [23  3],[99.80620155  3.19379845] ; [25.19379845  0.80620155],0
s3,1,0.010239,6.592798,[78 21] ; [14 12],[72.864 26.136] ; [19.136  6.864],0
b1,1,0.03112,4.646314,[36 68] ; [15 11],[40.8 63.2] ; [10.2 15.8],0
u3,1,0.036966,4.351974,[15  4] ; [3 5],[12.66666667  6.33333333] ; [5.33333333 2.66666667],0
b5,1,0.053411,3.731025,[50 54] ; [18  8],[54.4 49.6] ; [13.6 12.4],0
v2,1,0.053714,3.721559,[88 15] ; [18  8],[84.63565891 18.36434109] ; [21.36434109  4.63565891],0
d3,1,0.066267,3.373151,[73 30] ; [23  3],[76.65116279 26.34883721] ; [19.34883721  6.65116279],0
p2,1,0.106405,2.606819,[92 12] ; [19  6],[89.48837209 14.51162791] ; [21.51162791  3.48837209],0
n6,1,0.112693,2.516047,[98  4] ; [22  3],[96.37795276  5.62204724] ; [23.62204724  1.37795276],0
a8,1,0.117359,2.452211,[ 7 88] ; [ 4 18],[ 8.93162393 86.06837607] ; [ 2.06837607 19.93162393],0
s4,1,0.131081,2.279652,[18 85] ; [ 8 18],[20.75968992 82.24031008] ; [ 5.24031008 20.75968992],0
a3,1,0.131081,2.279652,[85 18] ; [18  8],[82.24031008 20.75968992] ; [20.75968992  5.24031008],0
p3,1,0.133774,2.248153,[70 33] ; [13 12],[66.7890625 36.2109375] ; [16.2109375  8.7890625],0
p5,1,0.1356,2.227193,[37 67] ; [ 5 20],[33.86046512 70.13953488] ; [ 8.13953488 16.86046512],0
n2,1,0.164725,1.930303,[18  2] ; [4 2],[16.92307692  3.07692308] ; [5.07692308 0.92307692],0
p9,1,0.185197,1.755418,[94  8] ; [20  4],[92.28571429  9.71428571] ; [21.71428571  2.28571429],0
d1,1,0.18642,1.745684,[74 30] ; [15 11],[71.2 32.8] ; [17.8  8.2],0
u1,1,0.226605,1.462043,[24 80] ; [ 9 17],[26.4 77.6] ; [ 6.6 19.4],0
r1,1,0.232121,1.427816,[95  8] ; [22  4],[93.41860465  9.58139535] ; [23.58139535  2.41860465],0
a5,1,0.283535,1.150066,[89 15] ; [20  6],[87.2 16.8] ; [21.8  4.2],0
a1,1,0.28892,1.124647,[11 93] ; [ 1 25],[ 9.6 94.4] ; [ 2.4 23.6],0
b3,1,0.291095,1.114551,[30 30] ; [4 8],[28.33333333 31.66666667] ; [5.66666667 6.33333333],0
b2,1,0.291095,1.114551,[30 30] ; [4 8],[28.33333333 31.66666667] ; [5.66666667 6.33333333],0
p10,1,0.318448,0.995309,[94 10] ; [20  4],[92.625 11.375] ; [21.375  2.625],0
p12,1,0.344597,0.893254,[21 83] ; [ 3 22],[19.34883721 84.65116279] ; [ 4.65116279 20.34883721],0
u2,1,0.365416,0.819195,[13  6] ; [4 4],[11.96296296  7.03703704] ; [5.03703704 2.96296296],0
s6,1,0.385725,0.752375,[88 15] ; [23  2],[89.3203125 13.6796875] ; [21.6796875  3.3203125],0
n1,1,0.404657,0.694444,[ 8 12] ; [1 4],[ 7.2 12.8] ; [1.8 3.2],0
d2,1,0.408035,0.68452,[53 48] ; [16 10],[54.87401575 46.12598425] ; [14.12598425 11.87401575],0
s8,1,0.43117,0.619671,[71 31] ; [16 10],[69.328125 32.671875] ; [17.671875  8.328125],0
a7,1,0.479432,0.500156,[72 31] ; [20  6],[73.45736434 29.54263566] ; [18.54263566  7.45736434],0
a2,1,0.499725,0.455521,[29 75] ; [ 9 17],[30.4 73.6] ; [ 7.6 18.4],0
n4,1,0.543376,0.369318,[89 15] ; [21  5],[88. 16.] ; [22.  4.],0
n3,1,0.638729,0.220408,[16  5] ; [4 2],[15.55555556  5.44444444] ; [4.44444444 1.55555556],0
b4,1,0.65221,0.203125,[63 41] ; [17  9],[64. 40.] ; [16. 10.],0
v1,1,0.715754,0.132598,[75 28] ; [18  8],[74.25581395 28.74418605] ; [18.74418605  7.25581395],0
d4,1,0.73714,0.112656,[88 13] ; [22  4],[87.48031496 13.51968504] ; [22.51968504  3.48031496],0
p4,1,0.779006,0.078744,[80 23] ; [18  6],[79.48031496 23.51968504] ; [18.51968504  5.48031496],0
p1,1,0.790116,0.070841,[19 85] ; [ 4 21],[18.54263566 85.45736434] ; [ 4.45736434 20.54263566],0
a4,1,0.792364,0.069296,[53 51] ; [14 12],[53.6 50.4] ; [13.4 12.6],0
r2,1,0.799544,0.064484,[101   3] ; [25  1],[100.8   3.2] ; [25.2  0.8],0
r4,1,0.799544,0.064484,[101   3] ; [25  1],[100.8   3.2] ; [25.2  0.8],0
p6,1,0.819919,0.051824,[47 54] ; [11 14],[46.49206349 54.50793651] ; [11.50793651 13.49206349],0
d5,1,0.828022,0.047193,[88 14] ; [22  4],[87.65625 14.34375] ; [22.34375  3.65625],0
a6,1,0.877219,0.023869,[69 33] ; [18  8],[69.328125 32.671875] ; [17.671875  8.328125],0
s2,1,0.935035,0.006644,[80 23] ; [20  6],[79.84496124 23.15503876] ; [20.15503876  5.84496124],0
s7,1,1.0,0.0,[75 25] ; [18  6],[75. 25.] ; [18.  6.],0
