Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,4.6e-05,16.626013,[ 1 17] ; [34 22],[8.51351351 9.48648649] ; [26.48648649 29.51351351],1
d2,1,0.00614,7.508605,[ 3 15] ; [30 26],[8.02702703 9.97297297] ; [24.97297297 31.02702703],0
p8,1,0.006496,7.407407,[14  4] ; [22 32],[9. 9.] ; [27. 27.],0
p7,1,0.024563,5.054448,[15  2] ; [31 22],[11.17142857  5.82857143] ; [34.82857143 18.17142857],0
s8,1,0.044646,4.031971,[15  3] ; [32 24],[11.43243243  6.56756757] ; [35.56756757 20.43243243],0
a4,1,0.059195,3.55981,[ 3 15] ; [23 33],[ 6.32432432 11.67567568] ; [19.67567568 36.32432432],0
s5,1,0.073116,3.211644,[ 4 13] ; [26 28],[7.18309859 9.81690141] ; [22.81690141 31.18309859],0
s4,1,0.090061,2.873277,[ 4 14] ; [25 31],[ 7.05405405 10.94594595] ; [21.94594595 34.05405405],0
n6,1,0.091675,2.84472,[15  3] ; [34 21],[12.08219178  5.91780822] ; [36.91780822 18.08219178],0
a8,1,0.131341,2.276584,[ 3 14] ; [ 3 49],[ 1.47826087 15.52173913] ; [ 4.52173913 47.47826087],0
u3,1,0.147299,2.1,[4 3] ; [12  2],[5.33333333 1.66666667] ; [10.66666667  3.33333333],0
n5,1,0.150863,2.063503,[10  8] ; [20 35],[ 7.39726027 10.60273973] ; [22.60273973 32.39726027],0
d4,1,0.165286,1.925185,[12  6] ; [46 10],[14.10810811  3.89189189] ; [43.89189189 12.10810811],0
a7,1,0.213058,1.550527,[16  2] ; [42 14],[14.10810811  3.89189189] ; [43.89189189 12.10810811],0
r3,1,0.240029,1.380421,[15  3] ; [51  4],[16.2739726  1.7260274] ; [49.7260274  5.2739726],0
a3,1,0.255532,1.292802,[11  7] ; [42 14],[12.89189189  5.10810811] ; [40.10810811 15.89189189],0
v2,1,0.261791,1.259259,[ 7 10] ; [29 22],[9. 8.] ; [27. 24.],0
p11,1,0.287448,1.131534,[14  4] ; [36 20],[12.16216216  5.83783784] ; [37.83783784 18.16216216],0
s6,1,0.362411,0.829522,[13  5] ; [46 10],[14.35135135  3.64864865] ; [44.64864865 11.35135135],0
p9,1,0.376448,0.782269,[16  2] ; [43 11],[14.75  3.25] ; [44.25  9.75],0
u4,1,0.390892,0.736166,[ 1 17] ; [ 1 55],[ 0.48648649 17.51351351] ; [ 1.51351351 54.48648649],0
p10,1,0.39221,0.73208,[16  2] ; [44 11],[14.79452055  3.20547945] ; [45.20547945  9.79452055],0
p4,1,0.397547,0.715733,[12  6] ; [31 25],[10.45945946  7.54054054] ; [32.54054054 23.45945946],0
p5,1,0.409546,0.680119,[ 2 16] ; [ 3 52],[ 1.23287671 16.76712329] ; [ 3.76712329 51.23287671],0
d3,1,0.410648,0.676924,[11  7] ; [40 16],[12.40540541  5.59459459] ; [38.59459459 17.40540541],0
b4,1,0.420108,0.650012,[10  8] ; [37 19],[11.43243243  6.56756757] ; [35.56756757 20.43243243],0
r1,1,0.423089,0.641719,[14  4] ; [38 18],[12.64864865  5.35135135] ; [39.35135135 16.64864865],0
s2,1,0.506453,0.441388,[10  8] ; [36 20],[11.18918919  6.81081081] ; [34.81081081 21.18918919],0
r4,1,0.550814,0.355862,[14  4] ; [47  9],[14.83783784  3.16216216] ; [46.16216216  9.83783784],0
a2,1,0.557188,0.344597,[ 3 15] ; [13 43],[ 3.89189189 14.10810811] ; [12.10810811 43.89189189],0
p3,1,0.575601,0.313401,[ 7 11] ; [26 30],[8.02702703 9.97297297] ; [24.97297297 31.02702703],0
r2,1,0.591574,0.287893,[16  2] ; [52  4],[16.54054054  1.45945946] ; [51.45945946  4.54054054],0
b5,1,0.595864,0.28128,[9 9] ; [32 24],[9.97297297 8.02702703] ; [31.02702703 24.97297297],0
p6,1,0.598746,0.276892,[ 5 12] ; [20 35],[ 5.90277778 11.09722222] ; [19.09722222 35.90277778],0
u2,1,0.639207,0.21978,[6 1] ; [10  3],[5.6 1.4] ; [10.4  2.6],0
s3,1,0.70136,0.147061,[11  7] ; [37 19],[11.67567568  6.32432432] ; [36.32432432 19.67567568],0
a6,1,0.70136,0.147061,[11  7] ; [37 19],[11.67567568  6.32432432] ; [36.32432432 19.67567568],0
p12,1,0.710414,0.137864,[ 1 17] ; [ 2 54],[ 0.72972973 17.27027027] ; [ 2.27027027 53.72972973],0
u1,1,0.731805,0.11746,[ 2 16] ; [ 8 48],[ 2.43243243 15.56756757] ; [ 7.56756757 48.43243243],0
v1,1,0.737194,0.112608,[9 9] ; [30 25],[9.61643836 8.38356164] ; [29.38356164 25.61643836],0
b1,1,0.766584,0.088117,[ 7 11] ; [24 32],[ 7.54054054 10.45945946] ; [23.45945946 32.54054054],0
b2,1,0.7753,0.081481,[4 4] ; [16 20],[3.63636364 4.36363636] ; [16.36363636 19.63636364],0
b3,1,0.7753,0.081481,[4 4] ; [16 20],[3.63636364 4.36363636] ; [16.36363636 19.63636364],0
n3,1,0.825349,0.048696,[3 2] ; [15  8],[3.21428571 1.78571429] ; [14.78571429  8.21428571],0
v3,1,0.879548,0.022965,[ 5 12] ; [16 35],[ 5.25 11.75] ; [15.75 35.25],0
n1,1,0.886731,0.02029,[2 3] ; [10 13],[2.14285714 2.85714286] ; [ 9.85714286 13.14285714],0
a5,1,0.915824,0.011171,[11  7] ; [35 21],[11.18918919  6.81081081] ; [34.81081081 21.18918919],0
p1,1,0.980999,0.000567,[ 2 16] ; [ 6 49],[ 1.97260274 16.02739726] ; [ 6.02739726 48.97260274],0
