Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,81.042976,[364  98] ; [66 96],[318.36538462 143.63461538] ; [111.63461538  50.36538462],1
a6,1,0.0,77.225039,[362  99] ; [67 95],[317.44622793 143.55377207] ; [111.55377207  50.44622793],1
a2,1,0.0,35.817975,[148 316] ; [ 13 149],[119.33546326 344.66453674] ; [ 41.66453674 120.33546326],1
u1,1,0.0,30.628501,[112 352] ; [  7 155],[ 88.20447284 375.79552716] ; [ 30.79552716 131.20447284],1
d1,1,3.7e-05,16.996009,[303 161] ; [76 86],[280.9201278 183.0798722] ; [98.0798722 63.9201278],1
b2,1,0.000348,12.792672,[100 184] ; [59 48],[115.48849105 168.51150895] ; [43.51150895 63.48849105],1
b3,1,0.000348,12.792672,[100 184] ; [59 48],[115.48849105 168.51150895] ; [43.51150895 63.48849105],1
b5,1,0.002319,9.277929,[287 177] ; [78 84],[270.54313099 193.45686901] ; [94.45686901 67.54313099],0
d5,1,0.002998,8.808907,[390  72] ; [119  42],[377.46067416  84.53932584] ; [131.53932584  29.46067416],0
v4,1,0.011092,6.450595,[446  15] ; [148  13],[440.24758842  20.75241158] ; [153.75241158   7.24758842],0
p2,1,0.013085,6.15757,[394  68] ; [122  37],[383.88405797  78.11594203] ; [132.11594203  26.88405797],0
b1,1,0.018498,5.54835,[169 295] ; [76 86],[181.59744409 282.40255591] ; [63.40255591 98.59744409],0
r4,1,0.025886,4.963622,[443  21] ; [147  15],[437.31629393  26.68370607] ; [152.68370607   9.31629393],0
p8,1,0.028065,4.824074,[252 203] ; [72 87],[240.09771987 214.90228013] ; [83.90228013 75.09771987],0
p10,1,0.028617,4.790489,[375  84] ; [117  42],[365.41747573  93.58252427] ; [126.58252427  32.41747573],0
v2,1,0.028679,4.786778,[278 164] ; [82 73],[266.53266332 175.46733668] ; [93.46733668 61.53266332],0
u3,1,0.031948,4.601307,[87 45] ; [21 23],[81. 51.] ; [27. 17.],0
p9,1,0.0338,4.5048,[382  74] ; [122  38],[373.09090909  82.90909091] ; [130.90909091  29.09090909],0
