Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,61.246948,[106   6] ; [13 24],[89.44966443 22.55033557] ; [29.55033557  7.44966443],1
n6,1,2e-06,22.920102,[105   7] ; [23 14],[96.2147651 15.7852349] ; [31.7852349  5.2147651],1
p9,1,0.000979,10.866103,[95 15] ; [22 14],[88.15068493 21.84931507] ; [28.84931507  7.15068493],1
s7,1,0.001239,10.430828,[56 47] ; [ 8 27],[47.76811594 55.23188406] ; [16.23188406 18.76811594],0
a3,1,0.001903,9.640623,[80 32] ; [16 21],[72.16107383 39.83892617] ; [23.83892617 13.16107383],0
p2,1,0.003241,8.666705,[95 17] ; [23 14],[88.69798658 23.30201342] ; [29.30201342  7.69798658],0
p10,1,0.005085,7.849106,[88 23] ; [20 16],[81.55102041 29.44897959] ; [26.44897959  9.55102041],0
n1,1,0.006819,7.320058,[16 10] ; [ 3 13],[11.76190476 14.23809524] ; [7.23809524 8.76190476],0
p11,1,0.006941,7.288256,[84 28] ; [19 18],[77.42281879 34.57718121] ; [25.57718121 11.42281879],0
d2,1,0.007313,7.194444,[70 41] ; [14 23],[63. 48.] ; [21. 16.],0
a4,1,0.01182,6.337638,[60 52] ; [11 26],[53.36912752 58.63087248] ; [17.63087248 19.36912752],0
p8,1,0.034197,4.484848,[42 69] ; [ 7 30],[36.75 74.25] ; [12.25 24.75],0
r4,1,0.062082,3.480866,[101  11] ; [29  8],[97.71812081 14.28187919] ; [32.28187919  4.71812081],0
p12,1,0.08595,2.948645,[14 98] ; [ 1 36],[ 11.27516779 100.72483221] ; [ 3.72483221 33.27516779],0
s3,1,0.104687,2.632654,[61 48] ; [15 22],[56.73972603 52.26027397] ; [19.26027397 17.73972603],0
s8,1,0.115266,2.480497,[52 58] ; [12 25],[47.89115646 62.10884354] ; [16.10884354 20.89115646],0
u1,1,0.125215,2.350845,[25 87] ; [ 4 33],[21.79865772 90.20134228] ; [ 7.20134228 29.79865772],0
u3,1,0.138709,2.192218,[18 14] ; [16  5],[20.52830189 11.47169811] ; [13.47169811  7.52830189],0
a5,1,0.152674,2.045329,[86 26] ; [24 13],[82.68456376 29.31543624] ; [27.31543624  9.68456376],0
b5,1,0.156666,2.006119,[75 37] ; [20 17],[71.40939597 40.59060403] ; [23.59060403 13.40939597],0
r2,1,0.164252,1.934641,[104   7] ; [32  5],[102.   9.] ; [34.  3.],0
a2,1,0.17369,1.850801,[27 85] ; [ 5 32],[24.05369128 87.94630872] ; [ 7.94630872 29.05369128],0
p3,1,0.178095,1.813453,[68 43] ; [18 19],[64.5 46.5] ; [21.5 15.5],0
n2,1,0.199101,1.648955,[19  7] ; [8 7],[17.12195122  8.87804878] ; [9.87804878 5.12195122],0
v1,1,0.206691,1.594452,[59 48] ; [15 20],[55.76056338 51.23943662] ; [18.23943662 16.76056338],0
b3,1,0.251932,1.312561,[28 44] ; [ 5 15],[25.82608696 46.17391304] ; [ 7.17391304 12.82608696],0
b2,1,0.251932,1.312561,[28 44] ; [ 5 15],[25.82608696 46.17391304] ; [ 7.17391304 12.82608696],0
d1,1,0.260811,1.264446,[75 37] ; [21 16],[72.16107383 39.83892617] ; [23.83892617 13.16107383],0
b1,1,0.304017,1.056492,[47 65] ; [12 25],[44.34899329 67.65100671] ; [14.65100671 22.34899329],0
a6,1,0.306824,1.044296,[74 38] ; [21 16],[71.40939597 40.59060403] ; [23.59060403 13.40939597],0
p5,1,0.323863,0.973283,[12 98] ; [ 2 35],[10.47619048 99.52380952] ; [ 3.52380952 33.47619048],0
a8,1,0.330556,0.946719,[11 85] ; [ 2 33],[ 9.52671756 86.47328244] ; [ 3.47328244 31.52671756],0
v3,1,0.375841,0.784262,[39 67] ; [10 25],[36.83687943 69.16312057] ; [12.16312057 22.83687943],0
p6,1,0.419424,0.651929,[28 82] ; [ 7 30],[26.19047619 83.80952381] ; [ 8.80952381 28.19047619],0
s5,1,0.458143,0.550427,[28 77] ; [11 22],[29.67391304 75.32608696] ; [ 9.32608696 23.67391304],0
n3,1,0.471497,0.518466,[19  7] ; [10  6],[17.95238095  8.04761905] ; [11.04761905  4.95238095],0
r1,1,0.49498,0.465683,[84 28] ; [29  7],[85.51351351 26.48648649] ; [27.48648649  8.51351351],0
a7,1,0.5321,0.39038,[82 30] ; [29  8],[83.43624161 28.56375839] ; [27.56375839  9.43624161],0
v4,1,0.542538,0.370856,[106   6] ; [34  3],[105.23489933   6.76510067] ; [34.76510067  2.23489933],0
b4,1,0.58541,0.29757,[67 45] ; [24 13],[68.40268456 43.59731544] ; [22.59731544 14.40268456],0
p1,1,0.647828,0.20865,[ 12 100] ; [ 3 34],[ 11.27516779 100.72483221] ; [ 3.72483221 33.27516779],0
d3,1,0.655339,0.199234,[80 32] ; [25 12],[78.9261745 33.0738255] ; [26.0738255 10.9261745],0
s4,1,0.698066,0.150491,[15 95] ; [ 6 31],[15.71428571 94.28571429] ; [ 5.28571429 31.71428571],0
s1,1,0.705321,0.142995,[  8 103] ; [ 2 35],[  7.5 103.5] ; [ 2.5 34.5],0
d5,1,0.708873,0.139405,[94 18] ; [32  5],[94.7114094 17.2885906] ; [31.2885906  5.7114094],0
d4,1,0.728663,0.120343,[91 21] ; [31  6],[91.70469799 20.29530201] ; [30.29530201  6.70469799],0
a1,1,0.730625,0.118539,[  2 110] ; [ 1 36],[  2.25503356 109.74496644] ; [ 0.74496644 36.25503356],0
s6,1,0.761691,0.091967,[80 31] ; [25 11],[79.28571429 31.71428571] ; [25.71428571 10.28571429],0
r3,1,0.851686,0.034957,[105   7] ; [35  2],[105.23489933   6.76510067] ; [34.76510067  2.23489933],0
u2,1,0.871852,0.02602,[19 13] ; [12  9],[18.71698113 13.28301887] ; [12.28301887  8.71698113],0
v2,1,0.88149,0.022225,[59 50] ; [20 16],[59.3862069 49.6137931] ; [19.6137931 16.3862069],0
s2,1,0.957481,0.002842,[60 49] ; [20 16],[60.13793103 48.86206897] ; [19.86206897 16.13793103],0
