Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.44621,0.580262,[18 25] ; [7 6],[19.19642857 23.80357143] ; [5.80357143 7.19642857],0
d3,1,0.468303,0.525977,[12 31] ; [5 8],[13.05357143 29.94642857] ; [3.94642857 9.05357143],0
u3,1,0.520257,0.413383,[ 7 20] ; [2 3],[ 7.59375 19.40625] ; [1.40625 3.59375],0
b1,1,0.562833,0.334822,[27 16] ; [7 6],[26.10714286 16.89285714] ; [7.89285714 5.10714286],0
n1,1,0.571608,0.32,[ 7 13] ; [2 2],[ 7.5 12.5] ; [1.5 2.5],0
p1,1,0.669587,0.182086,[ 2 41] ; [ 1 12],[ 2.30357143 40.69642857] ; [ 0.69642857 12.30357143],0
n2,1,0.711138,0.137143,[12  8] ; [2 2],[11.66666667  8.33333333] ; [2.33333333 1.66666667],0
s4,1,0.722101,0.126488,[ 8 35] ; [ 3 10],[ 8.44642857 34.55357143] ; [ 2.55357143 10.44642857],0
r1,1,0.783654,0.075384,[15 28] ; [4 9],[14.58928571 28.41071429] ; [4.41071429 8.58928571],0
n4,1,0.784003,0.075134,[25 18] ; [7 6],[24.57142857 18.42857143] ; [7.42857143 5.57142857],0
b2,1,0.816571,0.053804,[ 7 17] ; [3 6],[ 7.27272727 16.72727273] ; [2.72727273 6.27272727],0
b3,1,0.816571,0.053804,[ 7 17] ; [3 6],[ 7.27272727 16.72727273] ; [2.72727273 6.27272727],0
p11,1,0.827208,0.047648,[25 18] ; [8 5],[25.33928571 17.66071429] ; [7.66071429 5.33928571],0
a8,1,0.859921,0.031143,[ 7 33] ; [ 2 11],[ 6.79245283 33.20754717] ; [ 2.20754717 10.79245283],0
v4,1,0.900473,0.015641,[24 19] ; [7 6],[23.80357143 19.19642857] ; [7.19642857 5.80357143],0
p2,1,0.944642,0.004821,[26 17] ; [8 5],[26.10714286 16.89285714] ; [7.89285714 5.10714286],0
p9,1,0.981048,0.000564,[26 16] ; [8 5],[25.96363636 16.03636364] ; [8.03636364 4.96363636],0
r4,1,0.989319,0.000179,[10 33] ; [ 3 10],[ 9.98214286 33.01785714] ; [3.01785714 9.98214286],0
