Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a1,1,0.000145,14.437617,[ 14 399] ; [2 4],[ 15.77088305 397.22911695] ; [0.22911695 5.77088305],1
a8,1,0.008866,6.849721,[ 52 326] ; [2 1],[ 53.57480315 324.42519685] ; [0.42519685 2.57480315],0
b3,1,0.036499,4.373627,[101 147] ; [5 1],[103.49606299 144.50393701] ; [2.50393701 3.49606299],0
b2,1,0.036499,4.373627,[101 147] ; [5 1],[103.49606299 144.50393701] ; [2.50393701 3.49606299],0
d2,1,0.052068,3.773567,[179 231] ; [5 1],[181.34615385 228.65384615] ; [2.65384615 3.34615385],0
p5,1,0.061948,3.484448,[ 50 360] ; [2 3],[ 51.37349398 358.62650602] ; [0.62650602 4.37349398],0
s8,1,0.062123,3.479781,[185 225] ; [5 1],[187.25961538 222.74038462] ; [2.74038462 3.25961538],0
a2,1,0.090595,2.86376,[ 88 325] ; [3 3],[ 89.69689737 323.30310263] ; [1.30310263 4.69689737],0
s7,1,0.108976,2.569003,[201 198] ; [5 1],[202.94814815 196.05185185] ; [3.05185185 2.94814815],0
s3,1,0.175233,1.837592,[226 180] ; [5 1],[227.63592233 178.36407767] ; [3.36407767 2.63592233],0
a4,1,0.196164,1.670705,[167 245] ; [4 2],[168.54545455 243.45454545] ; [2.45454545 3.54545455],0
d1,1,0.246963,1.340404,[248 165] ; [5 1],[249.37708831 163.62291169] ; [3.62291169 2.37708831],0
u1,1,0.290871,1.115585,[ 70 343] ; [2 4],[ 70.96897375 342.03102625] ; [1.03102625 4.96897375],0
p4,1,0.303431,1.059055,[258 152] ; [5 1],[259.20673077 150.79326923] ; [3.79326923 2.20673077],0
p7,1,0.380904,0.767781,[266 135] ; [5 1],[267.004914 133.995086] ; [3.995086 2.004914],0
p3,1,0.438138,0.601155,[209 203] ; [4 2],[209.94258373 202.05741627] ; [3.05741627 2.94258373],0
s2,1,0.470297,0.521278,[212 197] ; [4 2],[212.87710843 196.12289157] ; [3.12289157 2.87710843],0
p6,1,0.471397,0.518699,[146 262] ; [3 3],[146.84057971 261.15942029] ; [2.15942029 3.84057971],0
a7,1,0.605285,0.267098,[313 100] ; [4 2],[312.46062053 100.53937947] ; [4.53937947 1.46062053],0
p12,1,0.638535,0.220663,[ 44 368] ; [1 5],[ 44.35406699 367.64593301] ; [0.64593301 5.35406699],0
p8,1,0.656609,0.197669,[234 172] ; [4 2],[234.53398058 171.46601942] ; [3.46601942 2.53398058],0
b4,1,0.72477,0.123968,[246 167] ; [4 2],[246.42004773 166.57995227] ; [3.57995227 2.42004773],0
n4,1,0.772467,0.083607,[324  89] ; [5 1],[324.28878282  88.71121718] ; [4.71121718 1.28878282],0
b5,1,0.796212,0.066694,[254 159] ; [4 2],[254.30548926 158.69451074] ; [3.69451074 2.30548926],0
a6,1,0.832453,0.044756,[291 121] ; [4 2],[290.76555024 121.23444976] ; [4.23444976 1.76555024],0
r1,1,0.87463,0.024895,[332  79] ; [5 1],[332.15107914  78.84892086] ; [4.84892086 1.15107914],0
s5,1,0.892528,0.018254,[144 256] ; [2 4],[143.84236453 256.15763547] ; [2.15763547 3.84236453],0
d5,1,0.970904,0.00133,[341  71] ; [5 1],[341.03349282  70.96650718] ; [4.96650718 1.03349282],0
