Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,2e-06,22.31942,[122  11] ; [23 15],[112.77777778  20.22222222] ; [32.22222222  5.77777778],1
r4,1,0.000118,14.825616,[100  33] ; [16 22],[90.22222222 42.77777778] ; [25.77777778 12.22222222],1
v4,1,0.000776,11.298962,[123   9] ; [28 10],[117.24705882  14.75294118] ; [33.75294118  4.24705882],1
p11,1,0.001547,10.021978,[99 34] ; [18 20],[91. 42.] ; [26. 12.],0
p10,1,0.002879,8.882642,[103  28] ; [20 17],[95.91071429 35.08928571] ; [27.08928571  9.91071429],0
n4,1,0.005721,7.636188,[92 41] ; [17 21],[84.77777778 48.22222222] ; [24.22222222 13.77777778],0
p2,1,0.009591,6.709259,[102  30] ; [20 16],[95.85714286 36.14285714] ; [26.14285714  9.85714286],0
p8,1,0.010761,6.504413,[60 71] ; [ 8 28],[53.34131737 77.65868263] ; [14.65868263 21.34131737],0
s6,1,0.017,5.696396,[72 56] ; [13 25],[65.54216867 62.45783133] ; [19.45783133 18.54216867],0
n1,1,0.029428,4.742402,[13 28] ; [8 4],[16.24528302 24.75471698] ; [4.75471698 7.24528302],0
b1,1,0.033619,4.513975,[48 85] ; [21 17],[53.66666667 79.33333333] ; [15.33333333 22.66666667],0
a1,1,0.052602,3.756532,[  8 125] ; [ 6 32],[ 10.88888889 122.11111111] ; [ 3.11111111 34.88888889],0
d2,1,0.063048,3.455325,[47 84] ; [20 18],[51.93491124 79.06508876] ; [15.06508876 22.93491124],0
p9,1,0.063711,3.43804,[107  23] ; [26 12],[102.91666667  27.08333333] ; [30.08333333  7.91666667],0
v3,1,0.069449,3.295988,[46 84] ; [ 7 29],[41.5060241 88.4939759] ; [11.4939759 24.5060241],0
v2,1,0.072635,3.22245,[56 73] ; [10 27],[51.28915663 77.71084337] ; [14.71084337 22.28915663],0
n5,1,0.07417,3.188232,[94 39] ; [21 17],[89.44444444 43.55555556] ; [25.55555556 12.44444444],0
p1,1,0.07493,3.171585,[ 11 121] ; [ 7 31],[ 13.97647059 118.02352941] ; [ 4.02352941 33.97647059],0
p3,1,0.07894,3.086583,[61 72] ; [11 26],[56.32941176 76.67058824] ; [15.67058824 21.32941176],0
u3,1,0.080869,3.047348,[21 31] ; [11  6],[24.11594203 27.88405797] ; [7.88405797 9.11594203],0
p7,1,0.087446,2.920772,[72 59] ; [14 22],[67.46107784 63.53892216] ; [18.53892216 17.46107784],0
p4,1,0.128192,2.314267,[65 67] ; [13 24],[60.92307692 71.07692308] ; [17.07692308 19.92307692],0
s5,1,0.144061,2.134039,[36 89] ; [ 6 30],[32.60869565 92.39130435] ; [ 9.39130435 26.60869565],0
b5,1,0.151024,2.061874,[87 46] ; [20 18],[83.22222222 49.77777778] ; [23.77777778 14.22222222],0
a7,1,0.179985,1.797745,[82 50] ; [19 19],[78.42352941 53.57647059] ; [22.57647059 15.42352941],0
d5,1,0.181033,1.789122,[98 34] ; [24 14],[94.72941176 37.27058824] ; [27.27058824 10.72941176],0
d4,1,0.199982,1.642503,[95 38] ; [23 15],[91.77777778 41.22222222] ; [26.22222222 11.77777778],0
v1,1,0.231277,1.432994,[56 73] ; [12 25],[52.84337349 76.15662651] ; [15.15662651 21.84337349],0
a6,1,0.250051,1.323017,[70 63] ; [24 14],[73.11111111 59.88888889] ; [20.88888889 17.11111111],0
n2,1,0.266509,1.234627,[29 12] ; [12  2],[30.56363636 10.43636364] ; [10.43636364  3.56363636],0
s8,1,0.269234,1.220647,[44 89] ; [ 9 29],[41.22222222 91.77777778] ; [11.77777778 26.22222222],0
b4,1,0.277585,1.178877,[83 50] ; [20 18],[80.11111111 52.88888889] ; [22.88888889 15.11111111],0
n3,1,0.2967,1.088968,[26 15] ; [11  3],[27.58181818 13.41818182] ; [9.41818182 4.58181818],0
s7,1,0.322967,0.976893,[51 75] ; [12 26],[48.40243902 77.59756098] ; [14.59756098 23.40243902],0
a5,1,0.324713,0.969869,[75 58] ; [18 20],[72.33333333 60.66666667] ; [20.66666667 17.33333333],0
p6,1,0.348951,0.877269,[47 83] ; [10 26],[44.63855422 85.36144578] ; [12.36144578 23.63855422],0
s2,1,0.364133,0.823588,[60 73] ; [14 24],[57.55555556 75.44444444] ; [16.44444444 21.55555556],0
b2,1,0.443166,0.588071,[26 49] ; [10 13],[27.55102041 47.44897959] ; [ 8.44897959 14.55102041],0
b3,1,0.443166,0.588071,[26 49] ; [10 13],[27.55102041 47.44897959] ; [ 8.44897959 14.55102041],0
d3,1,0.473016,0.514922,[73 59] ; [18 19],[71.07692308 60.92307692] ; [19.92307692 17.07692308],0
a3,1,0.498778,0.457536,[81 51] ; [21 17],[79.2 52.8] ; [22.8 15.2],0
s4,1,0.505604,0.443155,[ 25 108] ; [ 9 29],[ 26.44444444 106.55555556] ; [ 7.55555556 30.44444444],0
u2,1,0.671054,0.180371,[21 30] ; [8 9],[21.75 29.25] ; [7.25 9.75],0
d1,1,0.709478,0.138799,[57 76] ; [15 23],[56. 77.] ; [16. 22.],0
s3,1,0.715363,0.13298,[63 68] ; [17 21],[62.01183432 68.98816568] ; [17.98816568 20.01183432],0
a8,1,0.719032,0.129422,[  9 118] ; [ 2 35],[  8.51829268 118.48170732] ; [ 2.48170732 34.51829268],0
a2,1,0.7505,0.101112,[ 15 118] ; [ 5 33],[ 15.55555556 117.44444444] ; [ 4.44444444 33.55555556],0
p5,1,0.92123,0.009778,[ 11 120] ; [ 3 35],[ 10.85207101 120.14792899] ; [ 3.14792899 34.85207101],0
s1,1,0.922675,0.009422,[  4 129] ; [ 1 36],[  3.91176471 129.08823529] ; [ 1.08823529 35.91176471],0
a4,1,0.941968,0.005299,[46 86] ; [13 25],[45.81176471 86.18823529] ; [13.18823529 24.81176471],0
u1,1,1.0,0.0,[  7 126] ; [ 2 36],[  7. 126.] ; [ 2. 36.],0
