Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,7e-06,20.200056,[293  18] ; [8 5],[288.92283951  22.07716049] ; [12.07716049  0.92283951],1
p7,1,0.000245,13.448112,[223  80] ; [3 9],[217.39047619  85.60952381] ; [8.60952381 3.39047619],1
p11,1,0.004955,7.895608,[261  50] ; [7 6],[257.24691358  53.75308642] ; [10.75308642  2.24691358],0
v1,1,0.007582,7.129539,[201 100] ; [4 9],[196.51273885 104.48726115] ; [8.48726115 4.51273885],0
s6,1,0.017965,5.59958,[263  44] ; [8 5],[259.990625  47.009375] ; [11.009375  1.990625],0
v2,1,0.040551,4.194667,[188 112] ; [4 8],[184.61538462 115.38461538] ; [7.38461538 4.61538462],0
d5,1,0.08176,3.029555,[268  42] ; [9 4],[265.85139319  44.14860681] ; [11.14860681  1.85139319],0
d4,1,0.099757,2.709421,[266  44] ; [9 4],[263.93188854  46.06811146] ; [11.06811146  1.93188854],0
b4,1,0.11858,2.435981,[171 140] ; [10  3],[173.73765432 137.26234568] ; [7.26234568 5.73765432],0
n3,1,0.118776,2.433382,[41 17] ; [4 5],[38.95522388 19.04477612] ; [6.04477612 2.95522388],0
p10,1,0.135345,2.230106,[277  31] ; [10  3],[275.37694704  32.62305296] ; [11.62305296  1.37694704],0
n1,1,0.169686,1.885714,[26 30] ; [7 3],[28. 28.] ; [5. 5.],0
v3,1,0.216978,1.524244,[154 145] ; [4 8],[151.90353698 147.09646302] ; [6.09646302 5.90353698],0
u3,1,0.22774,1.454924,[41 20] ; [1 2],[40.03125 20.96875] ; [1.96875 1.03125],0
d1,1,0.26789,1.22752,[213  98] ; [7 6],[211.17283951  99.82716049] ; [8.82716049 4.17283951],0
n2,1,0.274784,1.192706,[43 15] ; [9 1],[44.35294118 13.64705882] ; [7.64705882 2.35294118],0
p3,1,0.314464,1.011835,[187 124] ; [6 7],[185.25617284 125.74382716] ; [7.74382716 5.25617284],0
s2,1,0.321326,0.98354,[227  80] ; [8 5],[225.453125  81.546875] ; [9.546875 3.453125],0
r1,1,0.355132,0.855033,[266  43] ; [10  3],[264.85714286  44.14285714] ; [11.14285714  1.85714286],0
s5,1,0.377381,0.779216,[137 159] ; [4 8],[135.50649351 160.49350649] ; [5.49350649 6.50649351],0
p9,1,0.38226,0.763422,[283  26] ; [11  2],[282.13043478  26.86956522] ; [11.86956522  1.13043478],0
d2,1,0.391008,0.735805,[178 133] ; [9 4],[179.49691358 131.50308642] ; [7.50308642 5.49691358],0
r2,1,0.394305,0.725624,[297  11] ; [11  1],[296.45  11.55] ; [11.55  0.45],0
p2,1,0.417266,0.658002,[264  46] ; [10  3],[262.97213622  47.02786378] ; [11.02786378  1.97213622],0
p6,1,0.42825,0.627565,[153 155] ; [5 8],[151.60124611 156.39875389] ; [6.39875389 6.60124611],0
p1,1,0.439507,0.59757,[ 28 282] ; [ 2 11],[ 28.79256966 281.20743034] ; [ 1.20743034 11.79256966],0
b5,1,0.441852,0.591469,[182 129] ; [9 4],[183.33641975 127.66358025] ; [7.66358025 5.33641975],0
a4,1,0.448076,0.575514,[153 158] ; [5 8],[151.66049383 159.33950617] ; [6.33950617 6.66049383],0
p4,1,0.448252,0.575068,[221  89] ; [8 5],[219.78328173  90.21671827] ; [9.21671827 3.78328173],0
s1,1,0.448987,0.573207,[ 11 294] ; [ 1 12],[ 11.50943396 293.49056604] ; [ 0.49056604 12.50943396],0
u1,1,0.513416,0.427099,[ 72 239] ; [ 2 11],[ 71.0308642 239.9691358] ; [ 2.9691358 10.0308642],0
p8,1,0.538895,0.377591,[190 115] ; [7 6],[188.94654088 116.05345912] ; [8.05345912 4.94654088],0
b2,1,0.571092,0.320859,[ 96 117] ; [4 7],[ 95.08928571 117.91071429] ; [4.91071429 6.08928571],0
b3,1,0.571092,0.320859,[ 96 117] ; [4 7],[ 95.08928571 117.91071429] ; [4.91071429 6.08928571],0
p5,1,0.588998,0.291912,[ 53 254] ; [ 3 10],[ 53.725 253.275] ; [ 2.275 10.725],0
d3,1,0.598024,0.277987,[213  98] ; [8 5],[212.13271605  98.86728395] ; [8.86728395 4.13271605],0
a7,1,0.60371,0.269436,[212  98] ; [8 5],[211.14551084  98.85448916] ; [8.85448916 4.14551084],0
a2,1,0.681653,0.168271,[ 88 223] ; [ 3 10],[ 87.34876543 223.65123457] ; [3.65123457 9.34876543],0
s7,1,0.733252,0.116147,[239  57] ; [10  3],[238.52427184  57.47572816] ; [10.47572816  2.52427184],0
a5,1,0.735536,0.114089,[251  60] ; [10  3],[250.52777778  60.47222222] ; [10.47222222  2.52777778],0
a3,1,0.740036,0.110095,[250  60] ; [10  3],[249.53560372  60.46439628] ; [10.46439628  2.53560372],0
p12,1,0.773312,0.08297,[ 39 269] ; [ 2 11],[ 39.33956386 268.66043614] ; [ 1.66043614 11.33956386],0
s4,1,0.779814,0.078155,[ 57 252] ; [ 2 11],[ 56.61801242 252.38198758] ; [ 2.38198758 10.61801242],0
b1,1,0.808896,0.058492,[133 178] ; [6 7],[133.42283951 177.57716049] ; [5.57716049 7.42283951],0
n4,1,0.811843,0.056667,[280  30] ; [12  1],[280.24767802  29.75232198] ; [11.75232198  1.24767802],0
a6,1,0.816766,0.053688,[205 105] ; [9 4],[205.3869969 104.6130031] ; [8.6130031 4.3869969],0
u2,1,0.83497,0.043402,[37 24] ; [2 1],[37.171875 23.828125] ; [1.828125 1.171875],0
s3,1,0.927272,0.008332,[232  74] ; [10  3],[232.13793103  73.86206897] ; [9.86206897 3.13793103],0
n6,1,0.932216,0.007235,[289  22] ; [12  1],[288.92283951  22.07716049] ; [12.07716049  0.92283951],0
