Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1.9e-05,18.321905,[ 6 13] ; [58 13],[13.51111111  5.48888889] ; [50.48888889 20.51111111],1
r4,1,6.5e-05,15.938202,[ 4 15] ; [52 21],[11.56521739  7.43478261] ; [44.43478261 28.56521739],1
d5,1,0.000134,14.590689,[ 4 15] ; [50 22],[11.27472527  7.72527473] ; [42.72527473 29.27472527],1
p2,1,0.000897,11.029859,[ 6 13] ; [53 20],[12.18478261  6.81521739] ; [46.81521739 26.18478261],1
s6,1,0.001673,9.877315,[ 3 16] ; [40 31],[9.07777778 9.92222222] ; [33.92222222 37.07777778],0
u3,1,0.002927,8.852247,[ 2 12] ; [28 19],[6.8852459 7.1147541] ; [23.1147541 23.8852459],0
n6,1,0.004883,7.922109,[ 6 13] ; [49 24],[11.35869565  7.64130435] ; [43.64130435 29.35869565],0
d1,1,0.00743,7.166032,[ 1 18] ; [27 46],[ 5.7826087 13.2173913] ; [22.2173913 50.7826087],0
p9,1,0.008033,7.026144,[ 4 14] ; [39 29],[9. 9.] ; [34. 34.],0
a7,1,0.015715,5.83453,[ 6 13] ; [45 27],[10.64835165  8.35164835] ; [40.35164835 31.64835165],0
r2,1,0.017226,5.673165,[11  8] ; [60 12],[14.82417582  4.17582418] ; [56.17582418 15.82417582],0
s8,1,0.020309,5.385103,[ 1 18] ; [23 50],[ 4.95652174 14.04347826] ; [19.04347826 53.95652174],0
u2,1,0.025533,4.987336,[ 3 11] ; [25 20],[6.6440678 7.3559322] ; [21.3559322 23.6440678],0
d3,1,0.026682,4.91128,[ 5 14] ; [39 32],[9.28888889 9.71111111] ; [34.71111111 36.28888889],0
n4,1,0.026962,4.893225,[14  5] ; [33 40],[9.70652174 9.29347826] ; [37.29347826 35.70652174],0
p3,1,0.027013,4.889956,[ 2 17] ; [27 46],[ 5.98913043 13.01086957] ; [23.01086957 49.98913043],0
s7,1,0.031126,4.645992,[ 2 16] ; [25 41],[ 5.78571429 12.21428571] ; [21.21428571 44.78571429],0
p4,1,0.036894,4.355318,[ 3 16] ; [30 42],[ 6.89010989 12.10989011] ; [26.10989011 45.89010989],0
r1,1,0.052065,3.773679,[ 7 12] ; [45 28],[10.73913043  8.26086957] ; [41.26086957 31.73913043],0
n3,1,0.052685,3.753875,[2 6] ; [19 11],[4.42105263 3.57894737] ; [16.57894737 13.42105263],0
v2,1,0.054604,3.694135,[ 2 16] ; [24 46],[ 5.31818182 12.68181818] ; [20.68181818 49.31818182],0
s2,1,0.055803,3.65794,[ 4 15] ; [33 40],[ 7.64130435 11.35869565] ; [29.35869565 43.64130435],0
p8,1,0.062831,3.46104,[ 2 17] ; [23 49],[ 5.21978022 13.78021978] ; [19.78021978 52.21978022],0
p10,1,0.064807,3.409897,[ 5 13] ; [36 33],[8.48275862 9.51724138] ; [32.51724138 36.48275862],0
d4,1,0.066679,3.362942,[ 9 10] ; [51 22],[12.39130435  6.60869565] ; [47.60869565 25.39130435],0
s3,1,0.072502,3.225446,[ 5 13] ; [37 35],[8.4 9.6] ; [33.6 38.4],0
s5,1,0.083596,2.993565,[ 1 18] ; [16 54],[ 3.62921348 15.37078652] ; [13.37078652 56.62921348],0
b5,1,0.087234,2.924695,[ 9 10] ; [50 23],[12.18478261  6.81521739] ; [46.81521739 26.18478261],0
p7,1,0.111806,2.528508,[ 4 15] ; [29 42],[ 6.96666667 12.03333333] ; [26.03333333 44.96666667],0
b3,1,0.129388,2.299832,[6 8] ; [ 8 29],[ 3.84313725 10.15686275] ; [10.15686275 26.84313725],0
b2,1,0.129388,2.299832,[6 8] ; [ 8 29],[ 3.84313725 10.15686275] ; [10.15686275 26.84313725],0
s1,1,0.142084,2.15524,[ 3 16] ; [ 4 67],[ 1.47777778 17.52222222] ; [ 5.52222222 65.47777778],0
n5,1,0.240158,1.379668,[13  6] ; [39 34],[10.73913043  8.26086957] ; [41.26086957 31.73913043],0
p6,1,0.245103,1.351001,[ 2 16] ; [17 55],[ 3.8 14.2] ; [15.2 56.8],0
s4,1,0.264866,1.243144,[ 2 17] ; [16 57],[ 3.7173913 15.2826087] ; [14.2826087 58.7173913],0
a1,1,0.271764,1.20782,[ 2 17] ; [ 3 70],[ 1.0326087 17.9673913] ; [ 3.9673913 69.0326087],0
v1,1,0.291823,1.11119,[ 5 14] ; [28 43],[ 6.96666667 12.03333333] ; [26.03333333 44.96666667],0
p12,1,0.305564,1.049753,[ 1 18] ; [ 1 71],[ 0.41758242 18.58241758] ; [ 1.58241758 70.41758242],0
p1,1,0.43924,0.598266,[ 3 16] ; [ 7 66],[ 2.06521739 16.93478261] ; [ 7.93478261 65.06521739],0
a3,1,0.442139,0.590725,[ 5 14] ; [25 45],[ 6.40449438 12.59550562] ; [23.59550562 46.40449438],0
a4,1,0.541495,0.372775,[ 1 18] ; [ 7 65],[ 1.67032967 17.32967033] ; [ 6.32967033 65.67032967],0
b4,1,0.546734,0.3632,[10  9] ; [44 29],[11.15217391  7.84782609] ; [42.84782609 30.15217391],0
n1,1,0.548294,0.360382,[3 5] ; [ 8 22],[2.31578947 5.68421053] ; [ 8.68421053 21.31578947],0
p5,1,0.551106,0.35534,[ 1 18] ; [ 7 66],[ 1.65217391 17.34782609] ; [ 6.34782609 66.65217391],0
v3,1,0.568977,0.324397,[ 4 15] ; [19 50],[ 4.96590909 14.03409091] ; [18.03409091 50.96590909],0
n2,1,0.610745,0.259091,[4 4] ; [18 12],[4.63157895 3.36842105] ; [17.36842105 12.63157895],0
a6,1,0.736236,0.113462,[ 7 12] ; [30 43],[ 7.64130435 11.35869565] ; [29.35869565 43.64130435],0
b1,1,0.866108,0.028427,[10  9] ; [40 33],[10.32608696  8.67391304] ; [39.67391304 33.32608696],0
a8,1,0.896427,0.016946,[ 1 18] ; [ 3 63],[ 0.89411765 18.10588235] ; [ 3.10588235 62.89411765],0
d2,1,0.979655,0.00065,[ 5 14] ; [19 54],[ 4.95652174 14.04347826] ; [19.04347826 53.95652174],0
