Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,4.1e-05,16.832099,[ 5 41] ; [14 11],[12.30985915 33.69014085] ; [ 6.69014085 18.30985915],1
s6,1,0.000106,15.030653,[14 32] ; [19  5],[21.68571429 24.31428571] ; [11.31428571 12.68571429],1
s2,1,0.000327,12.911327,[10 37] ; [16  9],[16.97222222 30.02777778] ; [ 9.02777778 15.97222222],1
p4,1,0.001533,10.038519,[13 32] ; [17  8],[19.28571429 25.71428571] ; [10.71428571 14.28571429],0
s5,1,0.003446,8.554753,[ 7 38] ; [12 13],[12.21428571 32.78571429] ; [ 6.78571429 18.21428571],0
r3,1,0.005101,7.843404,[26 21] ; [22  3],[31.33333333 15.66666667] ; [16.66666667  8.33333333],0
n4,1,0.006696,7.352811,[26 21] ; [21  3],[31.11267606 15.88732394] ; [15.88732394  8.11267606],0
p2,1,0.008525,6.91973,[20 26] ; [19  6],[25.26760563 20.73239437] ; [13.73239437 11.26760563],0
p9,1,0.010265,6.588235,[18 27] ; [18  7],[23.14285714 21.85714286] ; [12.85714286 12.14285714],0
n5,1,0.019396,5.465446,[26 21] ; [20  4],[30.45070423 16.54929577] ; [15.54929577  8.45070423],0
n1,1,0.023587,5.124779,[ 4 13] ; [10  6],[7.21212121 9.78787879] ; [6.78787879 9.21212121],0
u2,1,0.026285,4.937143,[ 4 21] ; [4 3],[ 6.25 18.75] ; [1.75 5.25],0
p1,1,0.027488,4.859874,[ 1 46] ; [ 4 21],[ 3.26388889 43.73611111] ; [ 1.73611111 23.26388889],0
s3,1,0.030754,4.666667,[15 30] ; [15 10],[19.28571429 25.71428571] ; [10.71428571 14.28571429],0
a8,1,0.037645,4.320988,[ 2 43] ; [ 5 20],[ 4.5 40.5] ; [ 2.5 22.5],0
r1,1,0.039709,4.230262,[20 27] ; [17  8],[24.15277778 22.84722222] ; [12.84722222 12.15277778],0
b1,1,0.039984,4.218552,[24 23] ; [19  6],[28.06944444 18.93055556] ; [14.93055556 10.06944444],0
r4,1,0.040558,4.194383,[22 25] ; [18  7],[26.11111111 20.88888889] ; [13.88888889 11.11111111],0
v1,1,0.047354,3.932783,[13 33] ; [13 12],[16.84507042 29.15492958] ; [ 9.15492958 15.84507042],0
a3,1,0.049807,3.847941,[22 24] ; [18  7],[25.91549296 20.08450704] ; [14.08450704 10.91549296],0
p3,1,0.062273,3.475782,[12 34] ; [12 13],[15.54929577 30.45070423] ; [ 8.45070423 16.54929577],0
d3,1,0.084358,2.978877,[13 34] ; [12 13],[16.31944444 30.68055556] ; [ 8.68055556 16.31944444],0
d1,1,0.084358,2.978877,[13 34] ; [12 13],[16.31944444 30.68055556] ; [ 8.68055556 16.31944444],0
b4,1,0.086249,2.943027,[24 23] ; [18  7],[27.41666667 19.58333333] ; [14.58333333 10.41666667],0
p6,1,0.108134,2.581279,[ 7 38] ; [ 8 17],[ 9.64285714 35.35714286] ; [ 5.35714286 19.64285714],0
p10,1,0.122273,2.38796,[17 29] ; [14 11],[20.08450704 25.91549296] ; [10.91549296 14.08450704],0
