Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,86.038989,[146   2] ; [68 64],[113.11428571  34.88571429] ; [100.88571429  31.11428571],1
d2,1,0.0,79.407795,[105  44] ; [ 23 109],[67.87188612 81.12811388] ; [60.12811388 71.87188612],1
d3,1,0.0,77.478605,[131  18] ; [49 82],[95.78571429 53.21428571] ; [84.21428571 46.78571429],1
d5,1,0.0,75.628121,[147   2] ; [74 58],[117.18505338  31.81494662] ; [103.81494662  28.18505338],1
a5,1,0.0,30.564632,[127  22] ; [73 59],[106.04982206  42.95017794] ; [93.95017794 38.04982206],1
a3,1,0.0,29.471426,[120  28] ; [66 65],[98.66666667 49.33333333] ; [87.33333333 43.66666667],1
a2,1,1e-06,24.489466,[ 43 106] ; [  8 124],[ 27.04270463 121.95729537] ; [ 23.95729537 108.04270463],1
a4,1,4e-06,21.23207,[76 72] ; [32 99],[57.29032258 90.70967742] ; [50.70967742 80.29032258],1
r4,1,8e-06,19.981719,[145   4] ; [107  25],[133.6227758  15.3772242] ; [118.3772242  13.6227758],1
u1,1,1.2e-05,19.154174,[ 32 117] ; [  5 127],[ 19.61921708 129.38078292] ; [ 17.38078292 114.61921708],1
a6,1,0.000106,15.031987,[112  37] ; [70 62],[96.50533808 52.49466192] ; [85.49466192 46.50533808],1
r2,1,0.000198,13.849165,[142   4] ; [110  20],[133.30434783  12.69565217] ; [118.69565217  11.30434783],1
r1,1,0.001678,9.871776,[126  22] ; [91 40],[115.11111111  32.88888889] ; [101.88888889  29.11111111],0
p10,1,0.00243,9.192359,[126  21] ; [92 38],[115.68953069  31.31046931] ; [102.31046931  27.68953069],0
p9,1,0.004961,7.893627,[130  17] ; [99 32],[121.08992806  25.91007194] ; [107.91007194  23.08992806],0
n4,1,0.005324,7.766036,[121  28] ; [88 44],[110.82206406  38.17793594] ; [98.17793594 33.82206406],0
p8,1,0.007976,7.038796,[107  37] ; [77 53],[96.70072993 47.29927007] ; [87.29927007 42.70072993],0
s3,1,0.008563,6.911874,[ 29 117] ; [44 86],[ 38.61594203 107.38405797] ; [34.38405797 95.61594203],0
r3,1,0.011939,6.319974,[145   4] ; [119  13],[139.98576512   9.01423488] ; [124.01423488   7.98576512],0
