Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.017706,5.625,[14  2] ; [10 10],[10.66666667  5.33333333] ; [13.33333333  6.66666667],0
s7,1,0.409,0.681704,[ 5 10] ; [ 9 10],[6.17647059 8.82352941] ; [ 7.82352941 11.17647059],0
u1,1,0.418492,0.654545,[ 2 14] ; [ 1 19],[ 1.33333333 14.66666667] ; [ 1.66666667 18.33333333],0
p1,1,0.451259,0.567488,[ 4 12] ; [ 3 17],[ 3.11111111 12.88888889] ; [ 3.88888889 16.11111111],0
s5,1,0.477688,0.504137,[ 6 10] ; [ 5 14],[ 5.02857143 10.97142857] ; [ 5.97142857 13.02857143],0
r2,1,0.497378,0.460526,[12  4] ; [16  3],[12.8  3.2] ; [15.2  3.8],0
v1,1,0.502335,0.45,[7 9] ; [11  9],[8. 8.] ; [10. 10.],0
v3,1,0.502944,0.448718,[ 3 12] ; [ 6 14],[ 3.85714286 11.14285714] ; [ 5.14285714 14.85714286],0
p6,1,0.517482,0.418909,[ 4 12] ; [ 7 13],[ 4.88888889 11.11111111] ; [ 6.11111111 13.88888889],0
s8,1,0.587045,0.294983,[ 5 11] ; [ 8 12],[ 5.77777778 10.22222222] ; [ 7.22222222 12.77777778],0
n4,1,0.587045,0.294983,[11  5] ; [12  8],[10.22222222  5.77777778] ; [12.77777778  7.22222222],0
s2,1,0.587045,0.294983,[ 5 11] ; [ 8 12],[ 5.77777778 10.22222222] ; [ 7.22222222 12.77777778],0
b4,1,0.635256,0.225,[10  6] ; [14  6],[10.66666667  5.33333333] ; [13.33333333  6.66666667],0
a7,1,0.650147,0.205714,[10  6] ; [11  9],[9.33333333 6.66666667] ; [11.66666667  8.33333333],0
d3,1,0.650147,0.205714,[10  6] ; [11  9],[9.33333333 6.66666667] ; [11.66666667  8.33333333],0
n5,1,0.677392,0.173077,[11  5] ; [15  5],[11.55555556  4.44444444] ; [14.44444444  5.55555556],0
n1,1,0.69627,0.152381,[3 3] ; [6 4],[3.375 2.625] ; [5.625 4.375],0
a6,1,0.708959,0.139319,[9 7] ; [10 10],[8.44444444 7.55555556] ; [10.55555556  9.44444444],0
p8,1,0.708959,0.139319,[9 7] ; [10 10],[8.44444444 7.55555556] ; [10.55555556  9.44444444],0
s4,1,0.764177,0.09,[ 3 13] ; [ 3 17],[ 2.66666667 13.33333333] ; [ 3.33333333 16.66666667],0
s6,1,0.765243,0.089164,[8 8] ; [ 9 11],[7.55555556 8.44444444] ; [ 9.44444444 10.55555556],0
a2,1,0.829357,0.046452,[ 2 14] ; [ 3 17],[ 2.22222222 13.77777778] ; [ 2.77777778 17.22222222],0
u2,1,0.852876,0.034392,[2 2] ; [4 5],[1.84615385 2.15384615] ; [4.15384615 4.84615385],0
b5,1,0.878482,0.023377,[10  6] ; [12  8],[9.77777778 6.22222222] ; [12.22222222  7.77777778],0
v4,1,0.924978,0.008867,[13  3] ; [16  4],[12.88888889  3.11111111] ; [16.11111111  3.88888889],0
p5,1,0.924978,0.008867,[ 3 13] ; [ 4 16],[ 3.11111111 12.88888889] ; [ 3.88888889 16.11111111],0
p11,1,0.940215,0.005625,[9 7] ; [11  9],[8.88888889 7.11111111] ; [11.11111111  8.88888889],0
a4,1,0.967991,0.00161,[ 6 10] ; [ 7 12],[ 5.94285714 10.05714286] ; [ 7.05714286 11.94285714],0
