Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,6.8e-05,15.877633,[25 27] ; [ 56 204],[13.5 38.5] ; [ 67.5 192.5],1
s2,1,0.000303,13.052755,[39 16] ; [117 148],[26.8125 28.1875] ; [129.1875 135.8125],1
s6,1,0.005213,7.804124,[44 12] ; [156 110],[34.7826087 21.2173913] ; [165.2173913 100.7826087],0
n4,1,0.007607,7.123683,[32 24] ; [199  67],[40.17391304 15.82608696] ; [190.82608696  75.17391304],0
a8,1,0.007987,7.036367,[ 1 50] ; [ 39 206],[ 6.89189189 44.10810811] ; [ 33.10810811 211.89189189],0
s3,1,0.016173,5.783927,[38 17] ; [135 128],[29.92138365 25.07861635] ; [143.07861635 119.92138365],0
u2,1,0.017564,5.639085,[4 9] ; [53 28],[7.88297872 5.11702128] ; [49.11702128 31.88297872],0
v3,1,0.067604,3.34025,[13 43] ; [ 91 162],[18.84789644 37.15210356] ; [ 85.15210356 167.84789644],0
b3,1,0.083463,2.996142,[ 6 23] ; [59 99],[10.0802139 18.9197861] ; [ 54.9197861 103.0802139],0
b2,1,0.083463,2.996142,[ 6 23] ; [59 99],[10.0802139 18.9197861] ; [ 54.9197861 103.0802139],0
p11,1,0.084737,2.971626,[31 25] ; [180  87],[36.58204334 19.41795666] ; [174.41795666  92.58204334],0
b1,1,0.130607,2.285276,[16 40] ; [105 162],[20.97832817 35.02167183] ; [100.02167183 166.97832817],0
a6,1,0.130673,2.284496,[39 17] ; [210  56],[43.30434783 12.69565217] ; [205.69565217  60.30434783],0
b5,1,0.138571,2.193758,[43 13] ; [178  89],[38.31578947 17.68421053] ; [182.68421053  84.31578947],0
n5,1,0.157327,1.999728,[32 24] ; [177  87],[36.575 19.425] ; [172.425  91.575],0
n2,1,0.182297,1.778802,[14  4] ; [47 30],[11.55789474  6.44210526] ; [49.44210526 27.55789474],0
p9,1,0.201137,1.634099,[46  9] ; [199  64],[42.37421384 12.62578616] ; [202.62578616  60.37421384],0
a3,1,0.214962,1.537687,[43 13] ; [182  84],[39.13043478 16.86956522] ; [185.86956522  80.13043478],0
n1,1,0.239192,1.385352,[ 4 14] ; [28 48],[ 6.12765957 11.87234043] ; [25.87234043 50.12765957],0
r2,1,0.255069,1.295325,[53  2] ; [241  21],[51.00946372  3.99053628] ; [242.99053628  19.00946372],0
n6,1,0.25791,1.279939,[47  9] ; [205  61],[43.82608696 12.17391304] ; [208.17391304  57.82608696],0
