Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1.3e-05,18.978438,[111  43] ; [16 28],[98.77777778 55.22222222] ; [28.22222222 15.77777778],1
p11,1,1.5e-05,18.777707,[117  38] ; [18 26],[105.15075377  49.84924623] ; [29.84924623 14.15075377],1
r4,1,1.7e-05,18.520369,[138  17] ; [27 17],[128.51758794  26.48241206] ; [36.48241206  7.51758794],1
r3,1,5.3e-05,16.338108,[148   6] ; [34 10],[141.55555556  12.44444444] ; [40.44444444  3.55555556],1
n4,1,0.000291,13.126891,[118  37] ; [21 23],[108.26633166  46.73366834] ; [30.73366834 13.26633166],1
p10,1,0.000367,12.691136,[121  33] ; [22 21],[111.78680203  42.21319797] ; [31.21319797 11.78680203],1
s1,1,0.001483,10.099906,[  1 152] ; [ 4 39],[  3.90306122 149.09693878] ; [ 1.09693878 41.90306122],0
p2,1,0.001843,9.699595,[112  42] ; [21 23],[103.44444444  50.55555556] ; [29.55555556 14.44444444],0
p9,1,0.002412,9.206151,[121  29] ; [25 18],[113.47150259  36.52849741] ; [32.52849741 10.47150259],0
v4,1,0.004344,8.134166,[145  10] ; [34  9],[140.12626263  14.87373737] ; [38.87373737  4.12626263],0
r2,1,0.011028,6.460812,[149   4] ; [37  5],[145.93846154   7.06153846] ; [40.06153846  1.93846154],0
p7,1,0.015398,5.870362,[73 74] ; [12 30],[66.11111111 80.88888889] ; [18.88888889 23.11111111],0
a5,1,0.022632,5.19656,[127  28] ; [29 15],[121.50753769  33.49246231] ; [34.49246231  9.50753769],0
v3,1,0.02561,4.982189,[61 88] ; [ 9 32],[54.89473684 94.10526316] ; [15.10526316 25.89473684],0
a6,1,0.026488,4.923879,[122  32] ; [27 16],[116.47715736  37.52284264] ; [32.52284264 10.47715736],0
u1,1,0.03894,4.263494,[ 36 119] ; [ 4 40],[ 31.15577889 123.84422111] ; [ 8.84422111 35.15577889],0
s8,1,0.041291,4.164031,[65 90] ; [11 33],[59.1959799 95.8040201] ; [16.8040201 27.1959799],0
a8,1,0.075539,3.158362,[ 21 117] ; [ 2 40],[ 17.63333333 120.36666667] ; [ 5.36666667 36.63333333],0
b1,1,0.085011,2.96639,[ 52 103] ; [21 23],[56.85929648 98.14070352] ; [16.14070352 27.85929648],0
r1,1,0.100887,2.691471,[126  28] ; [31 13],[122.11111111  31.88888889] ; [34.88888889  9.11111111],0
a2,1,0.129027,2.304173,[ 54 101] ; [10 34],[ 49.84924623 105.15075377] ; [14.15075377 29.84924623],0
v2,1,0.155441,2.018023,[87 61] ; [19 22],[83.00529101 64.99470899] ; [22.99470899 18.00529101],0
d5,1,0.16576,1.920876,[153   2] ; [41  2],[151.86868687   3.13131313] ; [42.13131313  0.86868687],0
p6,1,0.173713,1.850608,[ 28 125] ; [ 4 38],[ 25.10769231 127.89230769] ; [ 6.89230769 35.10769231],0
b4,1,0.226072,1.465408,[90 65] ; [30 14],[93.46733668 61.53266332] ; [26.53266332 17.46733668],0
p8,1,0.241547,1.371545,[53 98] ; [11 32],[ 49.81443299 101.18556701] ; [14.18556701 28.81443299],0
s6,1,0.293429,1.103823,[85 68] ; [20 23],[81.96428571 71.03571429] ; [23.03571429 19.96428571],0
u2,1,0.346581,0.885937,[17 15] ; [7 3],[18.28571429 13.71428571] ; [5.71428571 4.28571429],0
s3,1,0.382186,0.763659,[76 78] ; [25 19],[78.55555556 75.44444444] ; [22.44444444 21.55555556],0
b3,1,0.408938,0.681887,[37 53] ; [ 8 17],[35.2173913 54.7826087] ; [ 9.7826087 15.2173913],0
b2,1,0.408938,0.681887,[37 53] ; [ 8 17],[35.2173913 54.7826087] ; [ 9.7826087 15.2173913],0
s7,1,0.419356,0.652118,[65 86] ; [14 25],[62.78421053 88.21578947] ; [16.21578947 22.78421053],0
p12,1,0.421629,0.645771,[  8 145] ; [ 1 42],[  7.0255102 145.9744898] ; [ 1.9744898 41.0255102],0
n2,1,0.423159,0.641525,[31 17] ; [12 10],[29.48571429 18.51428571] ; [13.51428571  8.48571429],0
p1,1,0.43649,0.605492,[  9 146] ; [ 4 40],[ 10.12562814 144.87437186] ; [ 2.87437186 41.12562814],0
n3,1,0.448869,0.573506,[32 16] ; [12  9],[30.60869565 17.39130435] ; [13.39130435  7.60869565],0
s4,1,0.557144,0.344673,[ 19 133] ; [ 7 37],[ 20.16326531 131.83673469] ; [ 5.83673469 38.16326531],0
a7,1,0.574735,0.314824,[115  39] ; [31 13],[113.55555556  40.44444444] ; [32.44444444 11.55555556],0
v1,1,0.604823,0.267782,[62 90] ; [19 23],[63.46391753 88.53608247] ; [17.53608247 24.46391753],0
d4,1,0.612569,0.256451,[152   2] ; [41  1],[151.64285714   2.35714286] ; [41.35714286  0.64285714],0
a3,1,0.70767,0.140616,[123  31] ; [34 10],[122.11111111  31.88888889] ; [34.88888889  9.11111111],0
n1,1,0.722586,0.126029,[18 29] ; [ 9 12],[18.66176471 28.33823529] ; [ 8.33823529 12.66176471],0
u3,1,0.728886,0.120137,[18 14] ; [5 5],[17.52380952 14.47619048] ; [5.47619048 4.52380952],0
p5,1,0.755955,0.096594,[  5 149] ; [ 1 42],[  4.69035533 149.30964467] ; [ 1.30964467 41.69035533],0
s2,1,0.817639,0.053169,[66 88] ; [18 26],[65.33333333 88.66666667] ; [18.66666667 25.33333333],0
s5,1,0.831567,0.045238,[ 40 110] ; [10 30],[ 39.47368421 110.52631579] ; [10.52631579 29.47368421],0
a1,1,0.840686,0.040407,[  6 149] ; [ 2 42],[  6.23115578 148.76884422] ; [ 1.76884422 42.23115578],0
p3,1,0.869756,0.026886,[ 34 120] ; [10 33],[ 34.39593909 119.60406091] ; [ 9.60406091 33.39593909],0
b5,1,0.882595,0.021809,[104  51] ; [29 15],[103.59296482  51.40703518] ; [29.40703518 14.59296482],0
u4,1,0.908304,0.013266,[  4 151] ; [ 1 43],[  3.89447236 151.10552764] ; [ 1.10552764 42.89447236],0
d2,1,0.913073,0.011917,[109  44] ; [31 12],[109.28571429  43.71428571] ; [30.71428571 12.28571429],0
d3,1,0.968116,0.001598,[133  22] ; [37  6],[133.08080808  21.91919192] ; [36.91919192  6.08080808],0
a4,1,0.969391,0.001472,[88 66] ; [25 19],[87.88888889 66.11111111] ; [25.11111111 18.88888889],0
