Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.0,31.958869,[97  6] ; [10 11],[88.87903226 14.12096774] ; [18.12096774  2.87903226],1
n4,1,0.0,29.21061,[96  7] ; [10 11],[88.0483871 14.9516129] ; [17.9516129  3.0483871],1
p2,1,0.000379,12.633593,[85 17] ; [10 11],[78.7804878 23.2195122] ; [16.2195122  4.7804878],1
s7,1,0.008648,6.894216,[85 16] ; [11  8],[80.8 20.2] ; [15.2  3.8],0
p7,1,0.01568,5.838421,[75 26] ; [10 11],[70.36885246 30.63114754] ; [14.63114754  6.36885246],0
p10,1,0.023269,5.148297,[91 11] ; [14  6],[87.78688525 14.21311475] ; [17.21311475  2.78688525],0
p11,1,0.027929,4.832417,[89 14] ; [14  7],[85.55645161 17.44354839] ; [17.44354839  3.55645161],0
a3,1,0.046767,3.953735,[84 19] ; [13  8],[80.57258065 22.42741935] ; [16.42741935  4.57258065],0
v3,1,0.056147,3.647687,[56 45] ; [ 6 13],[52.18333333 48.81666667] ; [9.81666667 9.18333333],0
p9,1,0.058452,3.580783,[92 10] ; [15  5],[89.45901639 12.54098361] ; [17.54098361  2.45901639],0
p4,1,0.075786,3.153028,[70 33] ; [10 11],[66.4516129 36.5483871] ; [13.5483871  7.4516129],0
p8,1,0.087366,2.922256,[63 37] ; [ 9 12],[59.50413223 40.49586777] ; [12.49586777  8.50413223],0
p1,1,0.115071,2.483155,[ 8 94] ; [ 4 17],[ 9.95121951 92.04878049] ; [ 2.04878049 18.95121951],0
b5,1,0.143281,2.142365,[41 62] ; [12  9],[44.02419355 58.97580645] ; [ 8.97580645 12.02419355],0
b4,1,0.149262,2.07978,[46 57] ; [13  8],[49.00806452 53.99193548] ; [ 9.99193548 11.00806452],0
s6,1,0.149889,2.073384,[83 18] ; [19  1],[85.14049587 15.85950413] ; [16.85950413  3.14049587],0
p6,1,0.176542,1.826498,[50 51] ; [ 7 14],[47.18852459 53.81147541] ; [ 9.81147541 11.18852459],0
n1,1,0.184963,1.757293,[14 12] ; [5 1],[15.4375 10.5625] ; [3.5625 2.4375],0
a5,1,0.237417,1.395864,[81 22] ; [14  7],[78.91129032 24.08870968] ; [16.08870968  4.91129032],0
b2,1,0.250143,1.322504,[40 35] ; [ 6 10],[37.91208791 37.08791209] ; [8.08791209 7.91208791],0
b3,1,0.250143,1.322504,[40 35] ; [ 6 10],[37.91208791 37.08791209] ; [8.08791209 7.91208791],0
r4,1,0.258061,1.279128,[89 14] ; [20  1],[90.54032258 12.45967742] ; [18.45967742  2.54032258],0
