Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.000657,11.607143,[12  1] ; [ 9 17],[7. 6.] ; [14. 12.],1
a8,1,0.001426,10.171482,[7 5] ; [ 2 21],[3.08571429 8.91428571] ; [ 5.91428571 17.08571429],0
v1,1,0.002993,8.811497,[10  3] ; [ 7 19],[5.66666667 7.33333333] ; [11.33333333 14.66666667],0
s2,1,0.003802,8.376068,[12  1] ; [12 15],[7.8 5.2] ; [16.2 10.8],0
s3,1,0.016309,5.769231,[12  1] ; [14 12],[8.66666667 4.33333333] ; [17.33333333  8.66666667],0
n4,1,0.016743,5.723095,[11  1] ; [14 13],[7.69230769 4.30769231] ; [17.30769231  9.69230769],0
p9,1,0.018856,5.514776,[9 4] ; [ 7 17],[5.62162162 7.37837838] ; [10.37837838 13.62162162],0
v2,1,0.040938,4.178571,[10  3] ; [11 15],[7. 6.] ; [14. 12.],0
a5,1,0.044991,4.018993,[11  2] ; [14 13],[8.125 4.875] ; [16.875 10.125],0
r1,1,0.05156,3.789978,[12  1] ; [17 10],[9.425 3.575] ; [19.575  7.425],0
p5,1,0.055754,3.659386,[ 3 10] ; [ 1 26],[ 1.3 11.7] ; [ 2.7 24.3],0
v3,1,0.098479,2.73,[7 6] ; [ 7 19],[4.66666667 8.33333333] ; [ 9.33333333 16.66666667],0
r4,1,0.119661,2.421755,[12  1] ; [19  8],[10.075  2.925] ; [20.925  6.075],0
p6,1,0.125383,2.348762,[4 9] ; [ 3 24],[ 2.275 10.725] ; [ 4.725 22.275],0
a6,1,0.141478,2.161815,[9 4] ; [12 15],[6.825 6.175] ; [14.175 12.825],0
b2,1,0.160475,1.969742,[5 7] ; [ 4 17],[3.27272727 8.72727273] ; [ 5.72727273 15.27272727],0
b3,1,0.160475,1.969742,[5 7] ; [ 4 17],[3.27272727 8.72727273] ; [ 5.72727273 15.27272727],0
n5,1,0.174963,1.8399,[9 3] ; [14 13],[7.07692308 4.92307692] ; [15.92307692 11.07692308],0
u3,1,0.200441,1.639156,[3 1] ; [5 8],[1.88235294 2.11764706] ; [6.11764706 6.88235294],0
a4,1,0.217311,1.522039,[8 5] ; [11 16],[6.175 6.825] ; [12.825 14.175],0
a2,1,0.237393,1.396011,[4 9] ; [ 4 23],[ 2.6 10.4] ; [ 5.4 21.6],0
n6,1,0.285735,1.13961,[10  2] ; [18  9],[8.61538462 3.38461538] ; [19.38461538  7.61538462],0
p4,1,0.311185,1.025641,[8 5] ; [12 15],[6.5 6.5] ; [13.5 13.5],0
p8,1,0.314188,1.012987,[5 8] ; [ 6 20],[3.66666667 9.33333333] ; [ 7.33333333 18.66666667],0
a3,1,0.357168,0.847826,[9 4] ; [14 12],[7.66666667 5.33333333] ; [15.33333333 10.66666667],0
p7,1,0.364873,0.821053,[8 5] ; [12 14],[6.66666667 6.33333333] ; [13.33333333 12.66666667],0
p3,1,0.432768,0.615385,[6 7] ; [ 9 18],[4.875 8.125] ; [10.125 16.875],0
d5,1,0.454591,0.559181,[11  2] ; [20  7],[10.075  2.925] ; [20.925  6.075],0
b5,1,0.54177,0.37227,[9 4] ; [16 11],[8.125 4.875] ; [16.875 10.125],0
u2,1,0.550985,0.355556,[2 2] ; [4 8],[1.5 2.5] ; [4.5 7.5],0
d3,1,0.56409,0.332671,[8 5] ; [14 13],[7.15 5.85] ; [14.85 12.15],0
b1,1,0.577046,0.311034,[7 6] ; [12 15],[6.175 6.825] ; [12.825 14.175],0
d1,1,0.577046,0.311034,[7 6] ; [12 15],[6.175 6.825] ; [12.825 14.175],0
n1,1,0.611541,0.257937,[1 2] ; [5 5],[1.38461538 1.61538462] ; [4.61538462 5.38461538],0
s4,1,0.663766,0.188981,[ 3 10] ; [ 8 19],[3.575 9.425] ; [ 7.425 19.575],0
b4,1,0.663766,0.188981,[10  3] ; [19  8],[9.425 3.575] ; [19.575  7.425],0
p2,1,0.697078,0.151529,[9 4] ; [17 10],[8.45 4.55] ; [17.55  9.45],0
p11,1,0.719958,0.128533,[8 5] ; [15 12],[7.475 5.525] ; [15.525 11.475],0
d2,1,0.817941,0.052989,[8 5] ; [15 11],[7.66666667 5.33333333] ; [15.33333333 10.66666667],0
a7,1,0.820789,0.051316,[6 7] ; [13 13],[6.33333333 6.66666667] ; [12.66666667 13.33333333],0
u1,1,0.962298,0.002235,[ 2 11] ; [ 4 23],[ 1.95 11.05] ; [ 4.05 22.95],0
s1,1,0.974439,0.001027,[ 1 12] ; [ 2 25],[ 0.975 12.025] ; [ 2.025 24.975],0
d4,1,1.0,0.0,[11  2] ; [22  4],[11.  2.] ; [22.  4.],0
