Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.014058,6.030842,[ 8 20] ; [15  9],[12.38461538 15.61538462] ; [10.61538462 13.38461538],0
a8,1,0.014689,5.953335,[ 1 25] ; [ 7 17],[ 4.16 21.84] ; [ 3.84 20.16],0
d5,1,0.01556,5.851935,[13 15] ; [19  5],[17.23076923 10.76923077] ; [14.76923077  9.23076923],0
r3,1,0.036324,4.38183,[13 15] ; [18  6],[16.69230769 11.30769231] ; [14.30769231  9.69230769],0
p1,1,0.069048,3.305518,[ 6 22] ; [ 1 23],[ 3.76923077 24.23076923] ; [ 3.23076923 20.76923077],0
a3,1,0.111406,2.534161,[12 16] ; [15  8],[14.82352941 13.17647059] ; [12.17647059 10.82352941],0
s4,1,0.123448,2.373016,[ 5 23] ; [ 1 23],[ 3.23076923 24.76923077] ; [ 2.76923077 21.23076923],0
b4,1,0.177227,1.820728,[16 12] ; [18  6],[18.30769231  9.69230769] ; [15.69230769  8.30769231],0
d3,1,0.181681,1.783822,[10 18] ; [13 11],[12.38461538 15.61538462] ; [10.61538462 13.38461538],0
s1,1,0.228385,1.450893,[ 1 27] ; [ 3 21],[ 2.15384615 25.84615385] ; [ 1.84615385 22.15384615],0
p8,1,0.254451,1.298701,[ 4 24] ; [ 6 16],[ 5.6 22.4] ; [ 4.4 17.6],0
p3,1,0.309749,1.031746,[ 8 20] ; [ 4 20],[ 6.46153846 21.53846154] ; [ 5.53846154 18.46153846],0
s8,1,0.31335,1.016504,[ 3 25] ; [ 5 19],[ 4.30769231 23.69230769] ; [ 3.69230769 20.30769231],0
s3,1,0.350837,0.870428,[10 17] ; [12 12],[11.64705882 15.35294118] ; [10.35294118 13.64705882],0
a4,1,0.355125,0.85506,[10 17] ; [ 6 18],[ 8.47058824 18.52941176] ; [ 7.52941176 16.47058824],0
b3,1,0.357527,0.846561,[10 10] ; [4 8],[ 8.75 11.25] ; [5.25 6.75],0
b2,1,0.357527,0.846561,[10 10] ; [4 8],[ 8.75 11.25] ; [5.25 6.75],0
a5,1,0.391691,0.733686,[13 15] ; [14 10],[14.53846154 13.46153846] ; [12.46153846 11.53846154],0
d4,1,0.403986,0.696429,[18 10] ; [18  6],[19.38461538  8.61538462] ; [16.61538462  7.38461538],0
b1,1,0.415801,0.662152,[16 12] ; [11 13],[14.53846154 13.46153846] ; [12.46153846 11.53846154],0
a2,1,0.462833,0.539035,[ 1 27] ; [ 2 22],[ 1.61538462 26.38461538] ; [ 1.38461538 22.61538462],0
p7,1,0.508459,0.437237,[ 7 21] ; [ 8 16],[ 8.07692308 19.92307692] ; [ 6.92307692 17.07692308],0
r4,1,0.508459,0.437237,[ 7 21] ; [ 8 16],[ 8.07692308 19.92307692] ; [ 6.92307692 17.07692308],0
a1,1,0.513589,0.426748,[ 2 26] ; [ 3 21],[ 2.69230769 25.30769231] ; [ 2.30769231 21.69230769],0
s2,1,0.52952,0.395312,[ 5 23] ; [ 6 18],[ 5.92307692 22.07692308] ; [ 5.07692308 18.92307692],0
p11,1,0.54789,0.361111,[14 14] ; [10 14],[12.92307692 15.07692308] ; [11.07692308 12.92307692],0
n2,1,0.551848,0.354016,[4 8] ; [5 6],[4.69565217 7.30434783] ; [4.30434783 6.69565217],0
v2,1,0.562262,0.335802,[ 7 20] ; [ 8 16],[ 7.94117647 19.05882353] ; [ 7.05882353 16.94117647],0
v3,1,0.564972,0.331169,[ 3 24] ; [ 4 20],[ 3.70588235 23.29411765] ; [ 3.29411765 20.70588235],0
p4,1,0.570866,0.321236,[ 9 19] ; [ 6 18],[ 8.07692308 19.92307692] ; [ 6.92307692 17.07692308],0
p6,1,0.601596,0.272596,[ 3 23] ; [ 4 20],[ 3.64 22.36] ; [ 3.36 20.64],0
b5,1,0.606498,0.265306,[12 16] ; [12 12],[12.92307692 15.07692308] ; [11.07692308 12.92307692],0
u2,1,0.656005,0.198413,[ 4 12] ; [3 6],[ 4.48 11.52] ; [2.52 6.48],0
r1,1,0.660059,0.193452,[10 18] ; [10 14],[10.76923077 17.23076923] ; [ 9.23076923 14.76923077],0
n3,1,0.664558,0.188034,[4 7] ; [5 6],[4.5 6.5] ; [4.5 6.5],0
n4,1,0.685622,0.163866,[19  9] ; [15  9],[18.30769231  9.69230769] ; [15.69230769  8.30769231],0
s7,1,0.69627,0.152381,[ 5 22] ; [ 3 18],[ 4.5 22.5] ; [ 3.5 17.5],0
p10,1,0.735359,0.114247,[10 17] ; [10 14],[10.58823529 16.41176471] ; [ 9.41176471 14.58823529],0
p2,1,0.75596,0.096591,[ 9 18] ; [ 9 15],[ 9.52941176 17.47058824] ; [ 8.47058824 15.52941176],0
s6,1,0.776011,0.080952,[ 8 19] ; [ 8 16],[ 8.47058824 18.52941176] ; [ 7.52941176 16.47058824],0
n1,1,0.827435,0.047521,[6 6] ; [5 6],[5.73913043 6.26086957] ; [5.26086957 5.73913043],0
s5,1,0.835366,0.043191,[ 5 22] ; [ 5 19],[ 5.29411765 21.70588235] ; [ 4.70588235 19.29411765],0
p5,1,0.837384,0.042124,[ 2 26] ; [ 2 21],[ 2.19607843 25.80392157] ; [ 1.80392157 21.19607843],0
n6,1,0.877192,0.02388,[14 14] ; [11 12],[13.7254902 14.2745098] ; [11.2745098 11.7254902],0
n5,1,0.893948,0.017772,[18 10] ; [15  9],[17.76923077 10.23076923] ; [15.23076923  8.76923077],0
d2,1,0.894949,0.017436,[13 14] ; [12 12],[13.23529412 13.76470588] ; [11.76470588 12.23529412],0
u3,1,0.918299,0.010522,[ 2 14] ; [1 8],[ 1.92 14.08] ; [1.08 7.92],0
p9,1,0.920746,0.009899,[12 15] ; [11 13],[12.17647059 14.82352941] ; [10.82352941 13.17647059],0
