Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,0.00114,10.584346,[30  2] ; [36 22],[23.46666667  8.53333333] ; [42.53333333 15.46666667],0
p6,1,0.002164,9.405176,[15 18] ; [ 9 48],[ 8.8 24.2] ; [15.2 41.8],0
n6,1,0.006392,7.436283,[28  5] ; [33 25],[22.12087912 10.87912088] ; [38.87912088 19.12087912],0
p7,1,0.009911,6.650898,[24  7] ; [28 29],[18.31818182 12.68181818] ; [33.68181818 23.31818182],0
v3,1,0.012628,6.220423,[15 16] ; [12 42],[ 9.84705882 21.15294118] ; [17.15294118 36.84705882],0
p9,1,0.014898,5.928524,[28  5] ; [35 23],[22.84615385 10.15384615] ; [40.15384615 17.84615385],0
p4,1,0.018887,5.511962,[20 13] ; [20 37],[14.66666667 18.33333333] ; [25.33333333 31.66666667],0
p10,1,0.027074,4.886084,[27  5] ; [36 22],[22.4  9.6] ; [40.6 17.4],0
d1,1,0.027748,4.843667,[21 12] ; [23 35],[15.95604396 17.04395604] ; [28.04395604 29.95604396],0
v4,1,0.029853,4.717732,[31  1] ; [45 11],[27.63636364  4.36363636] ; [48.36363636  7.63636364],0
p3,1,0.03529,4.431111,[18 14] ; [19 38],[13.30337079 18.69662921] ; [23.69662921 33.30337079],0
s8,1,0.054641,3.693019,[13 20] ; [12 46],[ 9.06593407 23.93406593] ; [15.93406593 42.06593407],0
v2,1,0.055794,3.658191,[19 13] ; [21 34],[14.71264368 17.28735632] ; [25.28735632 29.71264368],0
r4,1,0.061337,3.500853,[29  4] ; [41 17],[25.38461538  7.61538462] ; [44.61538462 13.38461538],0
d5,1,0.071983,3.237218,[25  8] ; [33 25],[21.03296703 11.96703297] ; [36.96703297 21.03296703],0
u3,1,0.09769,2.742857,[3 9] ; [11  9],[5.25 6.75] ; [ 8.75 11.25],0
a2,1,0.097953,2.738558,[ 6 27] ; [ 4 54],[ 3.62637363 29.37362637] ; [ 6.37362637 51.62637363],0
r1,1,0.099861,2.707757,[26  7] ; [36 22],[22.48351648 10.51648352] ; [39.51648352 18.48351648],0
r3,1,0.129643,2.296776,[31  2] ; [48 10],[28.64835165  4.35164835] ; [50.35164835  7.64835165],0
a7,1,0.133414,2.252324,[24  9] ; [33 25],[20.67032967 12.32967033] ; [36.32967033 21.67032967],0
p11,1,0.136228,2.22006,[26  7] ; [37 21],[22.84615385 10.15384615] ; [40.15384615 17.84615385],0
v1,1,0.208692,1.580474,[17 15] ; [22 34],[14.18181818 17.81818182] ; [24.81818182 31.18181818],0
d3,1,0.234316,1.414471,[24  9] ; [35 23],[21.3956044 11.6043956] ; [37.6043956 20.3956044],0
a4,1,0.234316,1.414471,[ 9 24] ; [23 35],[11.6043956 21.3956044] ; [20.3956044 37.6043956],0
n4,1,0.24112,1.374033,[26  7] ; [39 19],[23.57142857  9.42857143] ; [41.42857143 16.57142857],0
s4,1,0.256843,1.285695,[ 2 31] ; [ 8 50],[ 3.62637363 29.37362637] ; [ 6.37362637 51.62637363],0
d2,1,0.273134,1.200939,[17 16] ; [23 35],[14.50549451 18.49450549] ; [25.49450549 32.50549451],0
n5,1,0.275964,1.186859,[24  9] ; [35 22],[21.63333333 11.36666667] ; [37.36666667 19.63333333],0
n3,1,0.315286,1.008403,[2 2] ; [15  5],[2.83333333 1.16666667] ; [14.16666667  5.83333333],0
u1,1,0.338228,0.917138,[ 5 28] ; [ 5 53],[ 3.62637363 29.37362637] ; [ 6.37362637 51.62637363],0
s7,1,0.356201,0.851242,[13 19] ; [16 36],[11.04761905 20.95238095] ; [17.95238095 34.04761905],0
s1,1,0.426159,0.633268,[ 1 32] ; [ 4 53],[ 1.83333333 31.16666667] ; [ 3.16666667 53.83333333],0
b5,1,0.463402,0.537665,[18 15] ; [27 31],[16.31868132 16.68131868] ; [28.68131868 29.31868132],0
p1,1,0.536981,0.381165,[ 2 30] ; [ 2 56],[ 1.42222222 30.57777778] ; [ 2.57777778 55.42222222],0
u2,1,0.647434,0.20915,[5 7] ; [10 10],[5.625 6.375] ; [ 9.375 10.625],0
a5,1,0.660957,0.192364,[22 11] ; [36 22],[21.03296703 11.96703297] ; [36.96703297 21.03296703],0
