Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,35.677879,[596  19] ; [48 12],[586.75555556  28.24444444] ; [57.24444444  2.75555556],1
r4,1,1e-05,19.579865,[565  53] ; [44 16],[555.10619469  62.89380531] ; [53.89380531  6.10619469],1
p8,1,0.00012,14.793739,[360 249] ; [20 40],[345.91928251 263.08071749] ; [34.08071749 25.91928251],1
p9,1,0.000246,13.440998,[586  31] ; [49 10],[579.57840237  37.42159763] ; [55.42159763  3.57840237],1
n6,1,0.003019,8.796125,[540  74] ; [43 15],[532.68154762  81.31845238] ; [50.31845238  7.68154762],0
a6,1,0.004364,8.12573,[429 187] ; [31 29],[419.17159763 196.82840237] ; [40.82840237 19.17159763],0
n4,1,0.005674,7.651138,[496 122] ; [39 21],[487.65486726 130.34513274] ; [47.34513274 12.65486726],0
n5,1,0.011651,6.363282,[492 122] ; [39 20],[484.448737 129.551263] ; [46.551263 12.448737],0
v4,1,0.02317,5.155691,[589  23] ; [54  6],[585.58928571  26.41071429] ; [57.41071429  2.58928571],0
v2,1,0.029245,4.753157,[348 244] ; [26 33],[340.10445469 251.89554531] ; [33.89554531 25.10445469],0
s5,1,0.034832,4.453416,[210 389] ; [28 29],[217.32012195 381.67987805] ; [20.67987805 36.32012195],0
p2,1,0.040155,4.211327,[538  77] ; [46 13],[532.87833828  82.12166172] ; [51.12166172  7.87833828],0
a1,1,0.043366,4.081089,[ 26 592] ; [ 6 54],[ 29.16814159 588.83185841] ; [ 2.83185841 57.16814159],0
d2,1,0.064482,3.418176,[282 333] ; [35 25],[288.82222222 326.17777778] ; [28.17777778 31.82222222],0
p5,1,0.067761,3.33643,[ 82 532] ; [ 3 56],[ 77.54829123 536.45170877] ; [ 7.45170877 51.54829123],0
r2,1,0.069976,3.283575,[576  35] ; [53  7],[572.75558867  38.24441133] ; [56.24441133  3.75558867],0
d4,1,0.074791,3.174613,[509 107] ; [44 16],[503.91715976 112.08284024] ; [49.08284024 10.91715976],0
p7,1,0.07719,3.123091,[414 187] ; [34 25],[407.95151515 193.04848485] ; [40.04848485 18.95151515],0
s7,1,0.085983,2.948012,[300 294] ; [35 21],[306.13846154 287.86153846] ; [28.86153846 27.13846154],0
s2,1,0.087594,2.918038,[317 295] ; [38 22],[323.30357143 288.69642857] ; [31.69642857 28.30357143],0
a5,1,0.107918,2.584455,[470 148] ; [40 20],[464.86725664 153.13274336] ; [45.13274336 14.86725664],0
p4,1,0.156659,2.006185,[395 220] ; [33 27],[389.95555556 225.04444444] ; [38.04444444 21.95555556],0
d1,1,0.158869,1.984959,[367 251] ; [30 30],[361.86725664 256.13274336] ; [35.13274336 24.86725664],0
b3,1,0.161636,1.958852,[145 234] ; [ 7 21],[141.54299754 237.45700246] ; [10.45700246 17.54299754],0
b2,1,0.161636,1.958852,[145 234] ; [ 7 21],[141.54299754 237.45700246] ; [10.45700246 17.54299754],0
s1,1,0.232871,1.42324,[ 15 596] ; [ 3 56],[ 16.41492537 594.58507463] ; [ 1.58507463 57.41492537],0
p12,1,0.239622,1.382817,[ 59 556] ; [ 3 57],[ 56.48888889 558.51111111] ; [ 5.51111111 54.48888889],0
a7,1,0.250459,1.32074,[451 166] ; [39 20],[447.23372781 169.76627219] ; [42.76627219 16.23372781],0
v3,1,0.266696,1.233661,[243 354] ; [20 40],[238.98173516 358.01826484] ; [24.01826484 35.98173516],0
d3,1,0.274494,1.194148,[426 191] ; [36 22],[422.30222222 194.69777778] ; [39.69777778 18.30222222],0
d5,1,0.296203,1.091212,[504 112] ; [45 14],[501.01333333 114.98666667] ; [47.98666667 11.01333333],0
a8,1,0.298758,1.079728,[ 78 493] ; [ 5 52],[ 75.46656051 495.53343949] ; [ 7.53343949 49.46656051],0
p3,1,0.331517,0.942963,[333 283] ; [28 31],[329.44592593 286.55407407] ; [31.55407407 27.44592593],0
u3,1,0.3727,0.794644,[102  70] ; [10  4],[103.56989247  68.43010753] ; [8.43010753 5.56989247],0
u1,1,0.450177,0.570207,[106 512] ; [ 8 52],[103.91150442 514.08849558] ; [10.08849558 49.91150442],0
v1,1,0.471997,0.517297,[339 261] ; [31 29],[336.36363636 263.63636364] ; [33.63636364 26.36363636],0
r1,1,0.47877,0.501665,[495 120] ; [46 14],[492.91111111 122.08888889] ; [48.08888889 11.91111111],0
p1,1,0.513099,0.427742,[ 57 559] ; [ 7 52],[ 58.40592593 557.59407407] ; [ 5.59407407 53.40592593],0
